particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"5,669,534","1,920,140","23,324,311","2,045,306","36,873,226","6,845,322","19,128","11,927,322","6,356,716","5,862,505","720,126","2,515,225","11,126,911","14,766,414","1,848,541","569,353","1,106,240","1,776","168,812","448,104","1,808,082","39,803","106,296","136,069,193"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"453,936","106,319","21,810",203,"137,583","137,847",0,"2,681","92,632","8,498","98,808",0,"6,041","1,367,234","14,047","4,201","57,162",0,"19,677",0,"4,010",0,0,"2,532,689"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"86,739","13,544","3,714",18,"28,334","116,038",0,0,"34,315","1,093","51,820",0,"1,850","414,013","1,804","1,240","50,865",0,"17,164",0,642,0,0,"823,193"
               Senate Electoral Tribunal,619,626,615,0,839,900,0,0,"1,420",75,"2,418",0,89,"32,863",18,0,243,0,130,0,0,0,0,"40,855"
          Commission on Appointments,"1,152","2,179",644,0,"4,571","19,626",0,0,320,298,"3,820",0,380,"130,202",41,213,"1,723",0,136,0,0,0,0,"165,305"
          House of Representatives,"364,842","89,414","16,720",185,"102,964",0,0,"2,681","54,100","6,825","40,505",0,"3,682","764,878","12,184","2,728","4,200",0,"2,200",0,"3,368",0,0,"1,471,476"
               House Electoral Tribunal,584,556,117,0,875,"1,283",0,0,"2,477",207,245,0,40,"25,278",0,20,131,0,47,0,0,0,0,"31,860"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"656,501","90,865","261,509","1,483","187,170","57,830",0,"41,750","169,365","18,209","19,242","679,880","69,148","609,793","6,478","25,415","101,672",0,"4,912",285,"1,474",0,0,"3,002,981"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"656,501","90,865","261,509","1,483","187,170","57,830",0,"41,750","169,365","18,209","19,242","679,880","69,148","609,793","6,478","25,415","101,672",0,"4,912",285,"1,474",0,0,"3,002,981"
,,,,,,,,,,,,,,,,,,,,,,,,
