particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"6,991,192","3,166,426","24,155,049","519,642","39,974,322","5,376,361","103,986","30,456,179","8,325,287","8,689,068","680,962","1,337,629","1,059,750","15,687,796","1,353,911","803,419","1,218,133","2,603","223,093","1,196,715","76,882","48,603","9,845","151,456,853"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"728,096","124,075","48,337",402,"185,790","198,986",0,"2,700","109,626","13,408","101,220",0,"8,238","1,546,976","18,724","5,350","43,645",0,"13,997",0,"5,415",0,0,"3,154,985"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"115,741","24,477","6,728",117,"53,701","168,648",0,0,"43,152","2,696","15,124",0,"3,166","368,309","4,024","1,250","35,845",0,"10,788",0,"1,947",0,0,"855,713"
               Senate Electoral Tribunal,700,"1,079",500,100,"6,525","5,000",0,0,"1,900",200,394,0,250,"16,169",500,0,500,0,0,0,0,0,0,"33,817"
          Commission on Appointments,"3,230","3,721","1,403",0,"9,420","23,538",0,0,"2,000","2,212","4,112",0,566,"129,186",900,700,"2,600",0,373,0,100,0,0,"184,061"
          House of Representatives,"607,842","93,216","39,191",185,"108,713",0,0,"2,700","59,550","8,000","81,196",0,"3,866","1,017,613","13,000","3,000","4,200",0,"2,200",0,"3,368",0,0,"2,047,840"
               House Electoral Tribunal,583,"1,582",515,0,"7,431","1,800",0,0,"3,024",300,394,0,390,"15,699",300,400,500,0,636,0,0,0,0,"33,554"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"436,007","65,411","313,803","1,546","163,010","84,808",52,143,"105,118","9,914","18,340","650,000","71,881","298,883","4,200","7,222","69,613",103,"3,577",0,"1,597",0,0,"2,305,228"
