Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,"361,613","10,000",0,"5,127,922","15,126,828","6,071,469",0,"5,338,777","5,185,753","88,414,053","102,591",0,"125,739,006"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,"25,000","204,186",0,"5,504","2,300",0,0,0,"236,990"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Senate,0,0,0,0,"25,000","70,568",0,0,0,0,0,0,"95,568"
               Senate Electoral Tribunal,0,0,0,0,0,500,0,0,0,0,0,0,500
          Commission on Appointments,0,0,0,0,0,"3,100",0,504,"2,300",0,0,0,"5,904"
          House of Representatives,0,0,0,0,0,"130,018",0,"5,000",0,0,0,0,"135,018"
,,,,,,,,,,,,,
     Office of the President,0,0,0,"10,000","31,700","48,367",0,"1,272,100",0,0,0,0,"1,362,167"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,"10,000","31,700","48,367",0,"1,272,100",0,0,0,0,"1,362,167"
,,,,,,,,,,,,,
     Department of Agrarian Reform,0,0,0,0,"20,000","27,509",0,0,0,0,0,0,"47,509"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"21,764",0,0,0,0,0,0,"21,764"
          National Commission on Indigenous Peoples,0,0,0,0,"20,000","5,745",0,0,0,0,0,0,"25,745"
,,,,,,,,,,,,,
     Department of Agriculture,0,0,0,0,"56,000","31,615",0,"12,210",0,0,0,0,"99,825"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"54,000","26,615",0,"12,210",0,0,0,0,"92,825"
