particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,DEPARTMENTS,327308007,151456853,145590242,0,0,0,18919953,14180629,593661,308388054,137166605,144980581,0,109619,16000,0,0,0,1
,,,,,,,,,,,,,,,,,,,,
     Congress of the Philippines,     Congress of the Philippines,3211431,3154985,0,0,0,0,198847,0,0,3012584,3154985,0,0,0,0,0,0,0,1
          Senate,          Senate,1088201,855713,0,0,0,0,62613,0,0,1025588,855713,0,0,0,0,0,0,0,0
               Senate Electoral Tribunal,               Senate Electoral Tribunal,56644,33817,0,0,0,0,4663,0,0,51981,33817,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Commission on Appointments,          Commission on Appointments,114537,184061,0,0,0,0,8788,0,0,105749,184061,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          House of Representatives,          House of Representatives,1890145,2047840,0,0,0,0,117738,0,0,1772407,2047840,0,0,0,0,0,0,0,0
               House Electoral Tribunal,               House Electoral Tribunal,61904,33554,0,0,0,0,5045,0,0,56859,33554,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Office of the President,     Office of the President,651531,2305228,41270,0,0,0,25459,0,0,626072,2305228,41270,0,0,0,0,0,0,1
          The President's Offices,          The President's Offices,651531,2305228,41270,0,0,0,25459,0,0,626072,2305228,41270,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,     Office of the Vice-President,35080,147689,0,0,0,0,2314,0,0,32766,147689,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,     Department of Agrarian Reform,4009804,6968796,0,0,0,0,293671,0,0,3716133,6968796,0,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,4009804,6968796,0,0,0,0,293671,0,0,3716133,6968796,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,     Department of Agriculture,2770935,925703,125525,0,0,0,221935,0,0,2549000,925703,125525,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,2065444,558048,61281,0,0,0,164572,0,0,1900872,558048,61281,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Agricultural Credit Policy Council,          Agricultural Credit Policy Council,15000,7275,0,0,0,0,1154,0,0,13846,7275,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Fisheries and Aquatic Resources,          Bureau of Fisheries and Aquatic Resources,349006,149545,0,0,0,0,28553,0,0,320453,149545,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Post-Harvest Research and Extension,          Bureau of Post-Harvest Research and Extension,53767,41048,12953,0,0,0,3715,0,0,50052,41048,12953,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Cotton Development Administration,          Cotton Development Administration,38791,6630,1427,0,0,0,3239,0,0,35552,6630,1427,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Fertilizer and Pesticide Authority,          Fertilizer and Pesticide Authority,26260,22175,45695,0,0,0,2204,0,0,24056,22175,45695,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Fiber Industry Development Authority,          Fiber Industry Development Authority,140982,73401,3710,0,0,0,11851,0,0,129131,73401,3710,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Livestock Development Council,          Livestock Development Council,8286,9012,459,0,0,0,657,0,0,7629,9012,459,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Agricultural and Fishery Council,          National Agricultural and Fishery Council,41177,23219,0,0,0,0,3322,0,0,37855,23219,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Meat Inspection Service,          National Meat Inspection Service,6848,14788,0,0,0,0,558,0,0,6290,14788,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Carabao Center,          Philippine Carabao Center,25374,20562,0,0,0,0,2110,0,0,23264,20562,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,     Department of Budget and Management,347936,274287,227706,0,0,0,28307,0,0,319629,274287,227706,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,347936,274287,227706,0,0,0,28307,0,0,319629,274287,227706,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Education,     Department of Education,136820994,20268105,8852870,0,0,0,11258320,0,0,125562674,20268105,8852870,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,136733907,20152177,8837575,0,0,0,11251362,0,0,125482545,20152177,8837575,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Book Development Board,          National Book Development Board,10860,12096,1000,0,0,0,838,0,0,10022,12096,1000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Council for Children's Television,          National Council for Children's Television,1698,8281,295,0,0,0,94,0,0,1604,8281,295,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Museum,          National Museum,63051,63634,10000,0,0,0,5100,0,0,57951,63634,10000,0,0,0,0,0,0,0
