flag,dsc,act_nga,act_gc,act_lgu,act_cred,adj_nga,adj_gc,adj_lgu,adj_cred,pro_nga,pro_gc,pro_lgu,pro_cred,seq_no
1,Personal Services,341146010,0,602141,0,383970182,0,27923,0,429695445,0,32147,0,1
1,Maintenance and Other Operating Expenses,145574608,0,6838721,0,161296910,0,9952653,0,200181343,0,6738814,0,2
1,Allotment to LGUs (IRA),0,0,147150079.2,0,0,0,168584162.4,0,0,0,199991093.6,0,3
1,Subsidy,0,47898182,0,0,0,10372948,0,0,0,10567936,0,0,5
1,Interest Payments,0,0,0,267800000,0,0,0,269847000,0,0,0,302650000,6
2,Infrastructure,109101965,0,2436574,0,112310801,0,3057562,0,135959133,0,3298858,0,1
2,Capital Transfer to LGUs (IRA),0,0,36787519.8,0,0,0,42146040.6,0,0,0,49997773.4,0,2
2,Special Shares to LGUs,0,0,4013042,0,0,0,7972068,0,0,0,11026685,0,3
2,Equity,0,11686476,0,0,0,2142795,0,0,0,6630500,0,0,4
2,Other Capital Outlays,24723440,0,0,0,43018955,0,0,0,46073272,0,0,0,5
3,NET LENDING,0,9750000,0,0,0,12000000,0,0,0,12157000,0,0,1
