dptspf_dsc,ps_a,mooe_a,co_a,ps_b,mooe_b,co_b,ps_c,mooe_c,co_c,sw
DEPARTMENTS,396611311,205422996,213221361,338977350,187087256,184871161,433652279,198716765,174368810,1
,,,,,,,,,,
     Congress of the Philippines,3382770,4425094,205145,3656042,4866450,511007,3856245,3881488,300,
     Office of the President,1872157,3697714,117972,1687913,2646127,32990,1695130,2482147,16504,
     Office of the Vice-President,34715,162689,62,35902,151479,0,39268,137301,3236,
     Department of Agrarian Reform,4449138,5204784,1687949,4079607,9780735,7199764,4608653,9246677,2850086,
     Department of Agriculture,3259858,18439898,19046574,2900229,12695503,25574715,3098624,12005667,22594085,
     Department of Budget and Management,1046048,262308,238559,355268,374975,231300,351354,397906,31620,
     Department of Education,138638610,23833828,9223300,140876959,22038141,10050417,165447618,25180163,15643237,
     State Universities and Colleges,19103646,2729130,2093350,18144417,3903881,1796337,20602803,2804392,0,
     Department of Energy,207176,2814741,56992,188798,3877899,44404,227217,1095115,44308,
     Department of Environment and Natural Resources,6404266,4411625,2323544,5624362,4961364,2268953,6205054,4263281,2609188,
     Department of Finance,5295055,20603214,1461060,5602537,4841397,381579,5695732,4945520,1585068,
     Department of Foreign Affairs,5053912,5649500,216822,5534920,6869244,392861,5305722,5643699,151745,
     Department of Health,7930511,8828051,4514007,7547234,15270910,6466276,8504887,15889773,8937031,
     Department of the Interior and Local Government,71297153,17646399,3884640,53382181,9107339,3969729,74935418,10022010,3216188,
     Department of Justice,5257236,2268610,730470,4471443,2066567,342295,5499297,2134097,64391,
     Department of Labor and Employment,2896545,8158634,761554,2850858,3584367,182358,3155116,3299074,169463,
     Department of National Defense,79838325,18083396,2957840,41419005,16269807,147115,82500774,17083582,5085752,
     Department of Public Works and Highways,4221229,12965125,141608385,3860241,14953900,116760316,4184102,15758565,90687201,
     Department of Science and Technology,1587998,3031272,1252352,1313582,3767324,246854,1421715,4062874,611764,
     Department of Social Welfare and Development,755247,12729637,409004,734553,14616932,90800,816793,33148524,354101,
     Department of Tourism,477211,1365624,36572,305994,1246006,51000,311933,1140082,0,
     Department of Trade and Industry,1141395,1569312,411799,948407,1541324,24250,1048481,1243436,271424,
     Department of Transportation and Communications,3496056,6529872,15445218,2716689,8389833,6051583,3575222,11063847,17707000,
     National Economic and Development Authority,1178539,1099726,791837,1071524,2901994,119111,1171114,970749,45837,
     Presidential Communications Operations Office,607565,668696,55796,491466,537173,131539,552164,391551,32442,
     Other Executive Offices,2231035,4238298,628821,2011034,4489126,371038,2254680,3434939,89463,
     Autonomous Region in Muslim Mindanao,6697116,1890045,1797356,6974429,1951983,922225,8153620,2222783,1476398,
     Joint Legislative-Executive Councils,259,199,0,800,500,0,1625,500,60,
     The Judiciary,10786035,2662720,254946,9474506,3500519,362545,10721753,3500519,85118,
     Civil Service Commission,530551,141851,11613,497896,150659,1000,579879,128179,5800,
     Commission on Audit,4006571,313499,100000,3872001,203583,50000,4311884,181289,0,
     Commission on Elections,1900147,8730346,773993,5311300,5232900,0,1671352,709331,0,
     Office of the Ombudsman,825271,207599,104717,835787,204866,86800,920936,188353,0,
     Commission on Human Rights,201965,59560,19112,199466,92449,10000,226114,59352,0,
,,,,,,,,,,
SPECIAL PURPOSE FUNDS,33727,606252372,12603787,154164714,635947113,39552406,106729868,694277723,37254555,1
,,,,,,,,,,
     Budgetary Support to Government Corporations,0,57417420,9706612,0,17217163,22081200,0,7276811,16005550,
     Allocations to Local Government Units,33727,269968952,2897175,33026,292868485,4590245,28998,299709592,265505,
     AFP  Modernization Program,0,0,0,0,0,5000000,0,0,0,
     Calamity Fund,0,0,0,0,1200000,800000,0,3450000,1550000,
     Contingent Fund,0,0,0,0,640000,160000,0,740000,260000,
     DepEd - School Building Program,0,0,0,0,0,2000000,0,0,1000000,
     E-Government Fund,0,0,0,0,0,1000000,0,0,1190000,
     General Fund Adjustments,0,0,0,0,500000,500000,0,0,0,
     International Commitments Fund,0,0,0,0,1677215,0,0,3174820,0,
     Miscellaneous Personnel Benefits Fund,0,0,0,74167442,0,0,71700870,0,0,
     National Unification Fund,0,0,0,0,43750,6250,0,0,0,
     Retirement Benefits Fund (Pension and Gratuity Fund),0,0,0,79964246,0,0,35000000,0,0,
     Priority Development Assistance Fund,0,0,0,0,7446500,3414711,0,7836500,16983500,
     Tax Expenditures Fund,0,0,0,0,38142000,0,0,15000000,0,
     Debt Service Fund-Interest Payment,0,278866000,0,0,276212000,0,0,357090000,0,
,,,,,,,,,,
GRAND TOTAL ,396645038,811675368,225825148,493142064,823034369,224423567,540382147,892994488,211623365,3
