particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"182,853,483","51,549,447","4,670,241","6,820,324","902,503","33,248","30,374","88,507","22,416,865","579,605","1,097,906","365,183","2,152,074","598,255","1,083,672","365,928","3,842,758","19,804,268","992,808","51,573,586","33,834,188","47,997,056","433,652,279"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"1,930,776",0,"242,340",0,"902,503","33,248","30,374",360,"231,695",0,"7,856",0,"19,632",0,"7,852",0,"54,804","193,626",0,0,"201,179",0,"3,856,245"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"614,556",0,"21,479",0,"391,085","6,267","5,347",0,"73,747",0,"2,595",0,"6,404",0,"2,592",0,"20,294","62,023",0,0,"66,397",0,"1,272,786"
               Senate Electoral Tribunal,"46,192",0,150,0,0,70,0,360,"5,543",0,204,0,497,0,204,0,"2,808","4,700",0,0,"5,216",0,"65,944"
          Commission on Appointments,"89,140",0,"5,583",0,0,"3,526","19,250",0,"10,697",0,346,0,921,0,346,0,"7,552","8,869",0,0,"8,863",0,"155,093"
          House of Representatives,"1,131,086",0,"215,128",0,"511,418","23,007","3,685",0,"135,731",0,"4,479",0,"11,274",0,"4,478",0,"20,750","112,918",0,0,"114,788",0,"2,288,742"
               House Electoral Tribunal,"49,802",0,0,0,0,378,"2,092",0,"5,977",0,232,0,536,0,232,0,"3,400","5,116",0,0,"5,915",0,"73,680"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"983,196",0,"219,469","5,000",0,0,0,0,"117,943",0,"6,679",0,"11,408",0,"6,679",0,"31,604","109,747",331,0,"203,074",0,"1,695,130"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"983,196",0,"219,469","5,000",0,0,0,0,"117,943",0,"6,679",0,"11,408",0,"6,679",0,"31,604","109,747",331,0,"203,074",0,"1,695,130"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"22,477",0,"7,175",0,0,0,0,0,"2,698",0,102,0,247,0,102,0,"1,596","2,294",0,0,"2,577",0,"39,268"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"2,832,148",0,"477,173",0,0,0,0,0,"339,903",0,"15,497",0,"29,855",0,"15,497",0,"204,591","300,460",0,0,"393,529",0,"4,608,653"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"2,832,148",0,"477,173",0,0,0,0,0,"339,903",0,"15,497",0,"29,855",0,"15,497",0,"204,591","300,460",0,0,"393,529",0,"4,608,653"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"2,086,659",0,"59,193",0,0,0,0,0,"250,471",0,"12,607",0,"24,338",0,"12,607",0,"38,553","226,214",0,0,"387,982",0,"3,098,624"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,471,271",0,"50,424",0,0,0,0,0,"176,591",0,"9,100",0,"17,438",0,"9,100",0,"22,039","160,409",0,0,"288,767",0,"2,205,139"
          Agricultural Credit Policy Council,"11,211",0,0,0,0,0,0,0,"1,346",0,45,0,111,0,45,0,"2,132","1,121",0,0,"1,140",0,"17,151"
          Bureau of Fisheries and Aquatic Resources,"260,781",0,"4,293",0,0,0,0,0,"31,314",0,"1,595",0,"3,086",0,"1,595",0,"4,836","28,322",0,0,"42,226",0,"378,048"
          Cotton Development Administration,"29,910",0,0,0,0,0,0,0,"3,590",0,150,0,346,0,150,0,"1,628","3,114",0,0,"3,796",0,"42,684"
          Fertilizer and Pesticide Authority,"18,874",0,112,0,0,0,0,0,"2,266",0,96,0,217,0,96,0,708,"1,966",0,0,"2,390",0,"26,725"
          Fiber Industry Development Authority,"103,790",0,734,0,0,0,0,0,"12,457",0,588,0,"1,237",0,588,0,"1,104","11,087",0,0,"14,872",0,"146,457"
          Livestock Development Council,"5,726",0,355,0,0,0,0,0,688,0,33,0,68,0,33,0,252,614,0,0,826,0,"8,595"
          National Agricultural and Fishery Council,"27,285",0,"3,275",0,0,0,0,0,"3,276",0,149,0,320,0,149,0,598,"2,894",0,0,"3,789",0,"41,735"
          National Meat Inspection Service,"86,313",0,0,0,0,0,0,0,"10,358",0,438,0,803,0,438,0,"2,136","9,015",0,0,"11,137",0,"120,638"
          Philippine Carabao Center,"44,334",0,0,0,0,0,0,0,"5,324",0,280,0,408,0,280,0,"1,968","4,857",0,0,"7,074",0,"64,525"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization (formerly BPHRE),"27,164",0,0,0,0,0,0,0,"3,261",0,133,0,304,0,133,0,"1,152","2,815",0,0,"11,965",0,"46,927"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"229,875",0,"18,622",0,0,0,0,0,"27,601",0,"1,008",0,"2,495",0,"1,008",0,"22,100","23,298",0,0,"25,347",0,"351,354"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"229,875",0,"5,700",0,0,0,0,0,"27,601",0,"1,008",0,"2,495",0,"1,008",0,"22,100","23,298",0,0,"25,347",0,"338,432"
          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,,,,,
                Technical Support Office,0,0,"12,922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,922"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"111,774,402",0,"811,463","6,308,822",0,0,0,0,"13,958,162",0,"685,160",0,"1,363,351",0,"684,504",0,"109,803","12,161,757",0,0,"17,590,194",0,"165,447,618"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"111,710,335",0,"811,348","6,308,822",0,0,0,0,"13,950,468",0,"684,749",0,"1,362,606",0,"684,093",0,"106,345","12,154,716",0,0,"17,579,859",0,"165,353,341"
          National Book Development Board,"6,943",0,0,0,0,0,0,0,835,0,35,0,80,0,35,0,"1,092",721,0,0,859,0,"10,600"
          National Council for Children's Television,"1,189",0,0,0,0,0,0,0,143,0,5,0,13,0,5,0,168,120,0,0,123,0,"1,766"
          National Museum,"46,792",0,84,0,0,0,0,0,"5,618",0,321,0,543,0,321,0,"1,756","5,232",0,0,"8,099",0,"68,766"
          Philippine High School for the Arts,"9,143",0,31,0,0,0,0,0,"1,098",0,50,0,109,0,50,0,442,968,0,0,"1,254",0,"13,145"
,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"14,088,089",0,"404,931","6,041",0,0,0,0,"1,689,774",0,"74,351",0,"158,899",0,"74,175",0,"589,187","1,482,294",0,0,"2,035,062",0,"20,602,803"
