Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,"206,306","315,481","506,921","11,617,107","10,353,833","9,308,845","5,669","4,524,978","9,361,146","166,152,924","868,151",0,"213,221,361"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,0,"199,052",0,"1,603","4,490",0,0,0,"205,145"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Senate,0,0,0,0,0,"7,670",0,70,"4,044",0,0,0,"11,784"
               Senate Electoral Tribunal,0,0,0,0,0,"1,737",0,"1,533",411,0,0,0,"3,681"
          Commission on Appointments,0,0,0,0,0,21,0,0,35,0,0,0,56
          House of Representatives,0,0,0,0,0,"189,500",0,0,0,0,0,0,"189,500"
               House Electoral Tribunal,0,0,0,0,0,124,0,0,0,0,0,0,124
,,,,,,,,,,,,,
     Office of the President,0,0,0,"19,728",0,"70,672",0,"2,600","24,972",0,0,0,"117,972"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,"19,728",0,"70,672",0,"2,600","24,972",0,0,0,"117,972"
,,,,,,,,,,,,,
     Office of the Vice-President,0,0,0,0,0,62,0,0,0,0,0,0,62
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
     Department of Agrarian Reform,0,0,0,0,"1,804","35,499",0,"900,599","5,110","744,937",0,0,"1,687,949"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"1,804","35,499",0,"900,599","5,110","744,937",0,0,"1,687,949"
,,,,,,,,,,,,,
     Department of Agriculture,0,"307,981","506,586","405,813","769,905","269,236","5,015","246,714","2,400,978","14,134,296",50,0,"19,046,574"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,"307,981","162,086","379,042","299,043","166,708","5,015","163,410","2,271,490","14,134,296",50,0,"17,889,121"
          Bureau of Fisheries and Aquatic Resources,0,0,0,"26,771","394,182","79,494",0,"60,785","48,391",0,0,0,"609,623"
          Fertilizer and Pesticide Authority,0,0,0,0,0,295,0,0,"33,879",0,0,0,"34,174"
          Fiber Industry Development Authority,0,0,0,0,0,322,0,0,792,0,0,0,"1,114"
          Livestock Development Council,0,0,0,0,0,451,0,0,0,0,0,0,451
          National Agricultural and Fishery Council,0,0,"162,000",0,0,"15,746",0,0,"29,000",0,0,0,"206,746"
          National Meat Inspection Service,0,0,0,0,"12,910","1,711",0,"1,917","3,706",0,0,0,"20,244"
          Philippine Carabao Center,0,0,"182,500",0,"63,770","4,509",0,"20,602","3,211",0,0,0,"274,592"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,
                and Mechanization (formerly BPHRE),0,0,0,0,0,0,0,0,"10,509",0,0,0,"10,509"
,,,,,,,,,,,,,
     Department of Budget and Management,0,0,0,361,"9,368","199,292",0,"24,100","5,438",0,0,0,"238,559"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
