particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_dsc,ssect_dsc,agy_type,owner_cd,dept,agy,owner_dsc,sect_cd
             Office of the Secretary,35974582,35917196,33081608,0,0,2011,1,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Agricultural Credit Policy Council,23561,22368,25710,0,0,2011,2,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Bureau of Fisheries and Aquatic Resources,2264947,3335637,2366619,0,0,2011,3,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Philippine Center for Postharvest Development
                and Mechanization (formerly BPHRE),676991,116664,101477,0,0,2011,4,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Cotton Development Administration,48389,45849,57663,0,0,2011,5,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Fertilizer and Pesticide Authority,81065,93577,49518,0,0,2011,6,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Fiber Industry Development Authority,221061,211550,214906,0,0,2011,7,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Livestock Development Council,16883,17057,17677,0,0,2011,8,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             National Agricultural and Fishery Council,633950,534297,935813,0,0,2011,9,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             National Meat Inspection Service ,193024,201535,242062,0,0,2011,10,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Philippine Carabao Center,503298,674717,605323,0,0,2011,11,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Department of Agrarian Reform,11208181,19781199,12739306,0,0,2011,12,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
"             Philippine Council for Agriculture, Forestry and
                Natural Resources Research and Development",458885,268722,296216,0,0,2011,13,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Philippine Council for Aquatic and Marine Research
                and Development,44322,35710,37715,0,0,2011,14,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Dairy Authority,52200,72200,51619,0,0,2011,15,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Agribusiness Corporation,0,0,0,0,0,2011,16,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Food Authority,24522117,8000000,0,0,0,2011,17,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Irrigation Administration,0,0,0,0,0,2011,18,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Tobacco Administration,116480,115000,77454,0,0,2011,19,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Philippine Coconut Authority,591623,655690,549915,0,0,2011,20,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Philippine Crop Insurance Corporation,144271,214271,113771,0,0,2011,21,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Philippine Fisheries Development Authority,0,0,0,0,0,2011,22,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Philippine Rice Research Institute,394253,435000,91000,0,0,2011,23,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Southern Philippines Development Authority,121943,30000,59000,0,0,2011,24,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Quedan and Rural Credit Guarantee Corporation,200000,190250,0,0,0,2011,25,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Bases Conversion Development Authority,2919906,0,0,0,0,2011,26,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Municipal Development Fund,10139,13739,0,0,0,2011,27,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Calamity Fund,0,302000,755000,0,0,2011,28,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,1631684,1577419,0,0,2011,29,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Priority Development Assistance Fund,0,2954249,6751040,0,0,2011,30,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Tax Expenditures Fund,0,13349700,5250000,0,0,2011,31,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Office of the Secretary,9308326,9305188,9347590,0,0,2011,32,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Environmental Management Bureau,478774,807814,752279,0,0,2011,33,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Land Registration Authority,906044,673172,790201,0,0,2011,34,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Mines and Geo-Sciences Bureau,594665,573409,717439,0,0,2011,35,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             National Mapping and Resource Information Authority,1001765,765159,681764,0,0,2011,36,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Forest Products Research and Development Institute,110128,86792,96128,0,0,2011,37,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
      Laguna Lake Development Authority,21595,0,0,0,0,2011,38,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
      Natural Resources Development Corporation,45000,0,0,0,0,2011,39,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,1335014,1290616,0,0,2011,40,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Pasig River Rehabilitation Commission,1883756,1180396,157737,0,0,2011,41,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
      Priority Development Assistance Fund,0,10861,24820,0,0,2011,42,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Industrial Technology Development Institute,215800,157505,172753,0,0,2011,43,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Metals Industry Research and Development Center,104190,95629,128078,0,0,2011,44,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
"             Philippine Council for Industry, Energy and Emerging
                Technology Research and Development",0,0,0,0,0,2011,45,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Philippine Council for Industry and Energy Research
                and Development,466249,43780,45979,0,0,2011,46,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Philippine Textile Research Institute,58094,39963,60345,0,0,2011,47,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Technology Application and Promotion Institute,73166,53663,72981,0,0,2011,48,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Office of the Secretary,2711494,2164252,2179700,0,0,2011,49,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Board of Investments,249002,204037,233562,0,0,2011,50,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Construction Industry Authority of the Philippines,42283,40421,42968,0,0,2011,51,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Construction Manpower Development Foundation,22011,20999,21372,0,0,2011,52,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Philippine Trade Training Center,38782,34772,35157,0,0,2011,53,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Product Development and Design Center of the Philippines,49007,49500,50582,0,0,2011,54,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Securities and Exchange Commission,269412,256692,254602,0,0,2011,55,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Cagayan Economic Zone Authority,1141290,1114450,294550,0,0,2011,56,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Center for International Trade Expositions and Missions,67831,73746,79686,0,0,2011,57,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Cottage Industry Technology Center,10000,10000,8000,0,0,2011,58,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Aurora Pacific Economic and Freeport Zone (formerly ASEZA),400000,800000,145000,0,0,2011,59,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Zamboanga City Special Economic Zone Authority,90000,70000,60100,0,0,2011,60,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Small Business Corporation,48064,0,0,0,0,2011,61,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Authority of the Freeport Area of Bataan,0,100000,100000,0,0,2011,63,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,222502,215103,0,0,2011,64,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
      Priority Development Assistance Fund,0,97751,223380,0,0,2011,65,0,ECONOMIC SERVICES,Trade and Industry,,,,,,1
             Office of the Secretary,1593614,1388514,1303978,0,0,2011,66,0,ECONOMIC SERVICES,Tourism,,,,,,1
             Intramuros Administration,36953,90421,32766,0,0,2011,67,0,ECONOMIC SERVICES,Tourism,,,,,,1
             National Parks Development Committee,161425,124065,115271,0,0,2011,68,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Cultural Center of the Philippines,216461,145000,200000,0,0,2011,69,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Development Academy of the Philippines,79000,70000,45000,0,0,2011,70,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Philippine Convention and Visitors Corporation,65000,65000,0,0,0,2011,71,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Philippine Tourism Authority,5000,360000,0,0,0,2011,72,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Tourism Promotions Board,0,0,65000,0,0,2011,73,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,74167,71701,0,0,2011,74,0,ECONOMIC SERVICES,Tourism,,,,,,1
      Department of Energy,3078197,4111101,1366640,0,0,2011,75,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
             Philippine Nuclear Research Institute,153210,107054,140646,0,0,2011,76,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
             Energy Regulatory Commission,212523,190642,206170,0,0,2011,77,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
      National Power Corporation,8915735,0,0,0,0,2011,78,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
      National Electrification Administration,527788,644186,0,0,0,2011,79,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,74167,71701,0,0,2011,80,0,ECONOMIC SERVICES,Power and Energy,,,,,,1
             Office of the Secretary,20631856,17624679,14381883,0,0,2011,81,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
             National Water Resources Board,45078,38408,0,0,0,2011,82,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
             National Water Resources Board,0,0,45102,0,0,2011,83,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
      Local Water Utilities Administration,1957473,0,0,0,0,2011,84,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
      Tax Expenditures Fund,0,381420,150000,0,0,2011,85,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
      General Fund Adjustments,0,500000,0,0,0,2011,86,0,ECONOMIC SERVICES,Water Resources Development and Flood Control,,,,,,1
             Office of the Secretary,137598609,117543054,95916096,0,0,2011,87,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Office of the Secretary,24265005,16487798,31630623,0,0,2011,88,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Civil Aeronautics Board,44004,40136,40556,0,0,2011,89,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Maritime Industry Authority,349674,303223,339722,0,0,2011,90,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Office of Transportation Cooperatives,14478,12870,14679,0,0,2011,91,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Office for Transportation Security,337407,302003,307191,0,0,2011,92,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Toll Regulatory Board,13258,12075,13298,0,0,2011,93,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Light Rail Transit Authority,68918,0,0,0,0,2011,94,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Civil Aviation Authority of the Philippines,811740,0,0,0,0,2011,95,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Philippine National Railways,908583,35000,131000,0,0,2011,96,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      North Luzon Railways Corporation,2238627,0,0,0,0,2011,97,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Philippine Postal Corporation,277648,0,0,0,0,2011,98,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Municipal Development Fund,230152,311880,0,0,0,2011,99,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Calamity Fund,0,796000,1990000,0,0,2011,100,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Miscellaneous Personnel Benefits Fund,0,1557516,1505718,0,0,2011,101,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Priority Development Assistance Fund,0,3443004,7867940,0,0,2011,102,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
      Tax Expenditures Fund,0,10679760,4200000,0,0,2011,103,0,ECONOMIC SERVICES,"Communications, Roads and Other Transport",,,,,,1
             Office of the Secretary,885387,2256948,2281426,0,0,2011,104,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Advanced Science and Technology Institute,38447,38108,55451,0,0,2011,105,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             National Academy of Science and Technology,34284,36221,37842,0,0,2011,106,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Philippine Council for Advanced Science and Technology
                Research and Development,184477,91227,95521,0,0,2011,107,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Science and Technology Information Institute,58744,34243,43699,0,0,2011,108,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Palawan Council for Sustainable Development Staff,52771,72262,52021,0,0,2011,109,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
      Equity/Subsidy (Unallocated),0,13610,13606,0,0,2011,110,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
      Technology Resource Center,25000,0,0,0,0,2011,111,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Special Shares of Local Government Units in the Proceeds of National Taxes,5650795,14163463,11871126,0,0,2011,112,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
             Municipal Development Fund,414679,561933,0,0,0,2011,113,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,74167,71701,0,0,2011,114,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
      Kalayaan Barangay Program Fund,0,670000,0,0,0,2011,115,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
      Kilos Asenso Support Fund,995081,670000,0,0,0,2011,116,0,ECONOMIC SERVICES,Other Economic Services,,,,,,1
         ,87496103,93030832,100430484,0,0,2011,117,0,ECONOMIC SERVICES,Subsidy to Local Government Units,,,,,,1
             Office of the Secretary,170860653,172743323,206057195,0,0,2011,118,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Philippine High School for the Arts,47080,58704,47285,0,0,2011,119,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Council for Children's Television,7832,14805,6343,0,0,2011,120,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Museum,131078,127091,138328,0,0,2011,121,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Book Development Board,21076,21594,21867,0,0,2011,122,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
      State Universities and Colleges,23684040,23844635,23407195,0,0,2011,123,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Local Government Academy,80993,88398,106503,0,0,2011,124,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Philippine Public Safety College,890147,1000808,1079423,0,0,2011,125,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             National Maritime Polytechnic,96879,67385,95906,0,0,2011,126,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Technical Education and Skills Development Authority,7870973,2991267,2961423,0,0,2011,127,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
