flag,dsc,act_nga,act_gc,act_lgu,act_cred,adj_nga,adj_gc,adj_lgu,adj_cred,pro_nga,pro_gc,pro_lgu,pro_cred,seq_no
1,Personal Services,396611311,0,33727,0,493109038,0,33026,0,540353149,0,28998,0,1
1,Maintenance and Other Operating Expenses,205422996,0,14329290,0,236736721,0,12902645,0,228918085,0,894227,0,2
1,Allotment to LGUs (IRA),0,0,199991093.6,0,0,0,212641901.6,0,0,0,229555391.2,0,3
1,Subsidy,0,57417420,0,0,0,17217163,0,0,0,7276811,0,0,5
1,Interest Payments,0,0,0,278866000,0,0,0,276212000,0,0,0,357090000,6
2,Infrastructure,176420089,0,2897175,0,153418572,0,4590245,0,135323619,0,265505,0,1
2,Capital Transfer to LGUs (IRA),0,0,49997773.4,0,0,0,53160475.4,0,0,0,57388847.8,0,2
2,Special Shares to LGUs,0,0,5650795,0,0,0,14163463,0,0,0,11871126,0,3
2,Equity,0,4642612,0,0,0,7081200,0,0,0,1005550,0,0,4
2,Other Capital Outlays,36801272,0,0,0,44333550,0,0,0,60028691,0,0,0,5
3,NET LENDING,0,5064000,0,0,0,15000000,0,0,0,15000000,0,0,1
