particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"8,514,603","3,683,014","26,289,734","805,683","43,654,486","11,330,056","220,677","54,785,349","8,570,571","13,732,616","674,064","1,141,578","1,686,741","1,000,000","18,138,904","1,246,187","1,063,905","1,755,720","31,901","244,243","1,600,171","52,831","60,789","54,241","200,338,064"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"737,216","128,153","56,095",302,"186,271","196,782",0,"2,700","113,232","18,092","112,646",0,"9,361",0,"3,152,705","19,487","4,350","54,579",0,"13,863",1,"5,653",0,0,"4,811,488"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"115,741","24,477","6,728",117,"53,701","168,648",0,0,"43,152","2,696","15,124",0,"3,166",0,"889,094","4,024","1,250","35,845",0,"10,328",0,"1,947",0,0,"1,376,038"
               Senate Electoral Tribunal,"1,650","1,500",600,0,"2,500","4,400",0,0,"2,500",300,"3,706",0,200,0,"16,923",0,0,750,0,0,0,0,0,0,"35,029"
          Commission on Appointments,"1,479","4,388","3,012",0,"11,437","21,774",0,0,0,"1,000","9,708",0,700,0,"176,181",0,0,"11,964",0,300,1,1,0,0,"241,945"
          House of Representatives,"618,102","96,060","45,555",185,"111,413",0,0,"2,700","63,800","13,796","81,196",0,"4,905",0,"2,045,748","15,213","3,000","5,620",0,"3,085",0,"3,705",0,0,"3,114,083"
               House Electoral Tribunal,244,"1,728",200,0,"7,220","1,960",0,0,"3,780",300,"2,912",0,390,0,"24,759",250,100,400,0,150,0,0,0,0,"44,393"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"338,958","53,598","300,630",434,"120,497","152,388",0,300,"104,212","12,305","14,131","400,000","80,101",0,"192,468","3,063","5,885","56,320",0,"2,791",0,0,0,0,"1,838,081"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"338,958","53,598","300,630",434,"120,497","152,388",0,300,"104,212","12,305","14,131","400,000","80,101",0,"192,468","3,063","5,885","56,320",0,"2,791",0,0,0,0,"1,838,081"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"8,310","4,580","2,858",0,"5,760","10,080",0,"84,500",855,297,454,"6,000",385,0,"10,152",0,0,"10,800",0,270,0,0,0,0,"145,301"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"850,658","264,692","408,864","89,763","975,963","289,962",0,"4,572,266","186,975","774,542","11,743",0,"70,207",0,"965,414","65,323","126,416","70,967",0,"14,110","671,993","6,575",0,0,"10,416,433"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"850,658","264,692","408,864","89,763","975,963","289,962",0,"4,572,266","186,975","774,542","11,743",0,"70,207",0,"965,414","65,323","126,416","70,967",0,"14,110","671,993","6,575",0,0,"10,416,433"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"748,881","181,142","303,810","28,334","4,536,477","130,970",500,"3,005,583","251,637","936,962","7,230",0,"102,623",0,"1,425,018","56,286","37,517","282,987",511,"7,597","50,251","1,643","3,897","5,811","12,105,667"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"533,548","133,491","116,214","24,112","3,574,049","82,987",500,"2,386,964","167,696","675,197","3,970",0,"24,543",0,"996,402","40,671","32,136","277,105",401,"4,388","50,251",820,"3,136","5,721","9,134,302"
          Agricultural Credit Policy Council,700,620,200,0,610,"2,640",0,0,"1,808",227,110,0,89,0,"1,235",100,0,170,0,50,0,0,0,0,"8,559"
          Bureau of Fisheries and Aquatic Resources,"126,853","25,897","159,557","2,414","802,176","31,838",0,0,"42,633","122,262","1,416",0,"70,231",0,"304,016","4,402","3,301","3,537",110,"1,621",0,145,361,0,"1,702,770"
          Cotton Development Administration,"1,203",450,"1,000",30,"1,958",160,0,0,430,90,209,0,201,0,"2,396",100,0,160,0,50,0,30,0,0,"8,467"
          Fertilizer and Pesticide Authority,"3,823","1,272","2,088",11,"6,307",118,0,0,"3,261",327,110,0,626,0,"4,044",521,10,211,0,64,0,0,0,0,"22,793"
          Fiber Industry Development Authority,"9,542","2,533","1,553",619,"14,531","8,149",0,0,"5,046","2,709",768,0,937,0,"15,313","1,078",281,687,0,173,0,130,0,0,"64,049"
          Livestock Development Council,935,618,200,0,"1,323",226,0,0,475,610,190,0,200,0,"3,529",318,50,200,0,10,0,198,0,0,"9,082"
          National Agricultural and Fishery Council,"48,831","8,297","1,812",0,"61,984",15,0,"618,556","8,050","114,052",72,0,942,0,"25,200","2,470",489,270,0,50,0,20,0,90,"891,200"
          National Meat Inspection Service,"7,900","2,081","4,150",50,"7,399",450,0,0,"7,070","5,400",150,0,580,0,"17,265","2,700",50,0,0,179,0,0,0,0,"55,424"
          Philippine Carabao Center,"8,495","4,111","12,926",879,"53,946","4,100",0,63,"11,498","13,699",125,0,"3,311",0,"41,917","1,441","1,130",280,0,900,0,250,400,0,"159,471"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization,"7,051","1,772","4,110",219,"12,194",287,0,0,"3,670","2,389",110,0,963,0,"13,701","2,485",70,367,0,112,0,50,0,0,"49,550"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"19,486","11,944","9,879",0,"31,243","6,398",72,0,"43,760","7,794","5,116",0,"2,720",0,"224,200","13,762","1,955","18,459",0,636,0,265,217,0,"397,906"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"14,286","11,464","9,479",0,"30,378","6,098",12,0,"43,365","7,794","5,006",0,"2,720",0,"223,720","13,742","1,005","17,959",0,611,0,15,217,0,"387,871"
          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,,,,,,,
                Technical Support Office,"5,200",480,400,0,865,300,60,0,395,0,110,0,0,0,480,20,950,500,0,25,0,250,0,0,"10,035"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"1,039,026","893,157","1,569,236","50,575","5,358,742","42,569",0,"10,969,785","1,341,761","2,665,290","14,678",0,"130,084",0,"317,442","353,746","42,417","52,343",0,"29,937",0,10,"9,256",0,"24,880,054"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,032,202","890,644","1,555,586","50,521","5,340,572","40,484",0,"10,969,785","1,318,376","2,661,532","14,348",0,"129,143",0,"267,799","351,091","41,857","50,841",0,"29,834",0,0,"9,256",0,"24,753,871"
          National Book Development Board,280,455,300,0,777,"1,750",0,0,600,300,110,0,80,0,"3,542","1,620",165,"1,250",0,33,0,5,0,0,"11,267"
          National Council for Children's Television,700,199,0,49,49,0,0,0,0,"1,661",0,0,30,0,"1,000",440,240,89,0,20,0,0,0,0,"4,477"
          National Museum,"4,500","1,515","6,200",0,"5,310",0,0,0,"18,546",150,110,0,235,0,"30,440",476,100,75,0,0,0,0,0,0,"67,657"
          Philippine High School for the Arts,"1,344",344,"7,150",5,"12,034",335,0,0,"4,239","1,647",110,0,596,0,"14,661",119,55,88,0,50,0,5,0,0,"42,782"
,,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"158,162","93,575","225,666","13,689","839,243","12,376","26,816","325,728","575,169","246,161","32,235",0,"47,770",0,"413,604","23,728","6,477","41,738",30,"18,189",391,"11,514","1,470",991,"3,114,722"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"19,851","36,849","45,153",427,"342,650","6,165","26,786","243,405","214,139","57,210","13,964",0,"15,720",0,"110,058","8,659",858,"12,713",0,"2,538",0,542,0,0,"1,157,687"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,566,"1,000","1,435",0,"6,083",0,0,0,"11,201","1,778",110,0,200,0,355,125,75,0,0,70,0,75,0,0,"23,073"
               Marikina Polytechnic College,78,240,240,0,504,0,0,0,"4,300",136,110,0,25,0,60,0,0,0,0,0,0,0,0,0,"5,693"
               Philippine Normal University,"1,921","2,472","2,252",0,"11,345",85,0,"1,911","14,290","3,228",419,0,"1,700",0,"13,004",95,130,0,0,204,0,100,0,0,"53,156"
               Philippine State College of Aeronautics,350,503,"2,213",0,"2,372",826,0,0,450,500,94,0,"1,040",0,150,0,200,585,0,100,0,0,0,0,"9,383"
               Polytechnic University of the Philippines,"1,225","5,314","1,780",50,"15,964",266,0,"4,930","36,105","1,000",110,0,"2,103",0,"23,228",0,0,"3,539",0,0,0,0,0,0,"95,614"
               Rizal Technological University,912,454,640,0,"3,160",0,0,5,"3,674",930,485,0,500,0,"9,629",50,20,588,0,0,0,0,0,0,"21,047"
               Technological University of the Philippines,"1,990","1,520","2,850",0,"9,885",0,0,"8,760","21,373","1,850",590,0,840,0,"15,890",0,0,"4,050",0,0,0,0,0,0,"69,598"
               University of the Philippines System,"12,809","25,346","33,743",377,"293,337","4,988","26,786","227,799","122,746","47,788","12,046",0,"9,312",0,"47,742","8,389",433,"3,951",0,"2,164",0,367,0,0,"880,123"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"9,472","5,018","20,715","3,019","42,057",229,0,"1,977","35,055","6,854",606,0,"1,242",0,"28,542","2,204",273,"4,767",0,"1,722",0,662,237,229,"164,880"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"1,368","2,018","3,343","2,832","8,702",0,0,25,"10,155","2,436",98,0,225,0,"5,455",869,0,"1,536",0,343,0,65,80,0,"39,550"
               Ilocos Sur Polytechnic State College,840,101,569,0,"5,636",0,0,31,655,157,76,0,22,0,820,0,0,0,0,0,0,0,0,0,"8,907"
               Mariano Marcos State University,"2,263",825,"6,684",136,"7,129",150,0,"1,277","9,251","1,730",162,0,550,0,"14,612",259,100,"1,976",0,460,0,230,150,150,"48,094"
               North Luzon Philippines State College,50,70,150,0,"1,050",0,0,0,900,20,0,0,30,0,110,50,0,30,0,40,0,40,0,0,"2,540"
               Pangasinan State University,"3,389","1,248","6,932",45,"7,594",43,0,644,"6,593","1,937",160,0,114,0,"6,478",500,100,760,0,400,0,100,7,79,"37,123"
