particulars,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,amt_u_34,sw1
,,,,,,,,,,,,
DEPARTMENTS,710475546,230507971,0,41562240,19368669,668756864,211099349,156442,39953,0,0,1
,,,,,,,,,,,,
     Congress of the Philippines,8731578,146300,0,237121,0,8494457,146300,0,0,0,0,1
          Senate,2694987,45000,0,76736,0,2618251,45000,0,0,0,0,0
               Senate Electoral Tribunal,89743,300,0,4641,0,85102,300,0,0,0,0,0
,,,,,,,,,,,,
          Commission on Appointments,415991,1000,0,9373,0,406618,1000,0,0,0,0,0
,,,,,,,,,,,,
          House of Representatives,5427022,100000,0,141747,0,5285275,100000,0,0,0,0,0
               House Electoral Tribunal,103835,0,0,4624,0,99211,0,0,0,0,0,0
,,,,,,,,,,,,
     Office of the President,2571180,150637,0,26395,0,2544785,150637,0,0,0,0,1
          The President's Offices,2571180,150637,0,26395,0,2544785,150637,0,0,0,0,0
,,,,,,,,,,,,
     Office of the Vice-President,299040,105762,0,3016,0,296024,105762,0,0,0,0,0
,,,,,,,,,,,,
     Department of Agrarian Reform,14749242,3534259,0,362656,0,14386586,3534259,0,0,0,0,1
          Office of the Secretary,14749242,3534259,0,362656,0,14386586,3534259,0,0,0,0,0
,,,,,,,,,,,,
     Department of Agriculture,16839718,37227102,0,323797,0,16470921,37227102,45000,0,0,0,1
          Office of the Secretary,13613314,36607103,0,241925,0,13371389,36607103,0,0,0,0,0
,,,,,,,,,,,,
          Agricultural Credit Policy Council,27532,0,0,1522,0,26010,0,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Fisheries and Aquatic Resources,2156885,363309,0,34568,0,2122317,363309,0,0,0,0,0
,,,,,,,,,,,,
          Cotton Development Administration,53830,0,0,3879,0,49951,0,0,0,0,0,0
,,,,,,,,,,,,
          Fertilizer and Pesticide Authority,52219,800,0,2489,0,49730,800,0,0,0,0,0
,,,,,,,,,,,,
          Fiber Industry Development Authority,219319,300,0,13223,0,206096,300,0,0,0,0,0
,,,,,,,,,,,,
          Livestock Development Council,17662,1000,0,710,0,16952,1000,0,0,0,0,0
,,,,,,,,,,,,
          National Agricultural and Fishery Council,85941,0,0,3613,0,82328,0,0,0,0,0,0
,,,,,,,,,,,,
          National Meat Inspection Service,228095,0,0,11623,0,171472,0,45000,0,0,0,0
,,,,,,,,,,,,
          Philippine Carabao Center,271491,227980,0,5870,0,265621,227980,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Center for Postharvest Development,,,,,,,,,,,,
                and Mechanization,113430,26610,0,4375,0,109055,26610,0,0,0,0,0
,,,,,,,,,,,,
     Department of Budget and Management,772432,93076,0,28731,0,743701,93076,0,0,0,0,1
          Office of the Secretary,749987,91876,0,28731,0,721256,91876,0,0,0,0,0
,,,,,,,,,,,,
          Government Procurement Policy Board -,,,,,,,,,,,,
                Technical Support Office,22445,1200,0,0,0,22445,1200,0,0,0,0,0
,,,,,,,,,,,,
     Department of Education,208092759,20778422,0,14532213,0,193560546,20778422,0,0,0,0,1
          Office of the Secretary,207856759,20681531,0,14523749,0,193333010,20681531,0,0,0,0,0
,,,,,,,,,,,,
          National Book Development Board,22083,0,0,757,0,21326,0,0,0,0,0,0
,,,,,,,,,,,,
          National Council for Children's Television,6405,200,0,169,0,6236,200,0,0,0,0,0
,,,,,,,,,,,,
          National Museum,149175,95491,0,6493,0,142682,95491,0,0,0,0,0
,,,,,,,,,,,,
          Philippine High School for the Arts,58337,1200,0,1045,0,57292,1200,0,0,0,0,0
,,,,,,,,,,,,
     State Universities and Colleges,23608964,0,0,1716319,0,21892645,0,0,0,0,0,1
          NATIONAL CAPITAL REGION,7876562,0,0,553948,0,7322614,0,0,0,0,0,1
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,
                     Science and Technology,135604,0,0,9697,0,125907,0,0,0,0,0,0
               Marikina Polytechnic College,57761,0,0,4301,0,53460,0,0,0,0,0,0
               Philippine Normal University,302500,0,0,17544,0,284956,0,0,0,0,0,0
               Philippine State College of Aeronautics,58189,0,0,4120,0,54069,0,0,0,0,0,0
               Polytechnic University of the Philippines,785642,0,0,50859,0,734783,0,0,0,0,0,0
               Rizal Technological University,177707,0,0,12491,0,165216,0,0,0,0,0,0
               Technological University of the Philippines,385552,0,0,25069,0,360483,0,0,0,0,0,0
               University of the Philippines System,5973607,0,0,429867,0,5543740,0,0,0,0,0,0
,,,,,,,,,,,,
          Region I - ILOCOS,1279542,0,0,95671,0,1183871,0,0,0,0,0,1
               Don Mariano Marcos Memorial State University,409277,0,0,32018,0,377259,0,0,0,0,0,0
               Ilocos Sur Polytechnic State College,103068,0,0,7808,0,95260,0,0,0,0,0,0
               Mariano Marcos State University,290093,0,0,20654,0,269439,0,0,0,0,0,0
               North Luzon Philippines State College,20394,0,0,1486,0,18908,0,0,0,0,0,0
               Pangasinan State University,239570,0,0,17228,0,222342,0,0,0,0,0,0
               University of Northern Philippines,217140,0,0,16477,0,200663,0,0,0,0,0,0
,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,628314,0,0,45348,0,582966,0,0,0,0,0,1
               Abra State Institute of Science and Technology,73505,0,0,5294,0,68211,0,0,0,0,0,0
               Apayao State College,39661,0,0,2903,0,36758,0,0,0,0,0,0
               Benguet State University,273828,0,0,20182,0,253646,0,0,0,0,0,0
               Ifugao State University,98637,0,0,7061,0,91576,0,0,0,0,0,0
               Kalinga-Apayao State College,69027,0,0,5018,0,64009,0,0,0,0,0,0
               Mountain Province State Polytechnic College,73656,0,0,4890,0,68766,0,0,0,0,0,0
,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,997526,0,0,74654,0,922872,0,0,0,0,0,1
               Batanes State College (Batanes,,,,,,,,,,,,
                     Polytechnic College),17995,0,0,1165,0,16830,0,0,0,0,0,0
               Cagayan State University,321105,0,0,23110,0,297995,0,0,0,0,0,0
               Isabela State University,422915,0,0,32466,0,390449,0,0,0,0,0,0
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,
                     and NVSPC),200459,0,0,15368,0,185091,0,0,0,0,0,0
               Quirino State College,35052,0,0,2545,0,32507,0,0,0,0,0,0
,,,,,,,,,,,,
          Region III - CENTRAL LUZON,1577295,0,0,113271,0,1464024,0,0,0,0,0,1
               Aurora State College of Technology,36780,0,0,2399,0,34381,0,0,0,0,0,0
               Bataan Peninsula State University,157306,0,0,11118,0,146188,0,0,0,0,0,0
               Central Luzon State University,301242,0,0,23011,0,278231,0,0,0,0,0,0
               Bulacan State University,219212,0,0,14619,0,204593,0,0,0,0,0,0
               Bulacan Agricultural State College,44720,0,0,3420,0,41300,0,0,0,0,0,0
               Don Honorio Ventura Technological State,,,,,,,,,,,,
                     University (DHVCAT),101168,0,0,7568,0,93600,0,0,0,0,0,0
               Nueva Ecija University of Science and Technology,176132,0,0,12995,0,163137,0,0,0,0,0,0
               Pampanga Agricultural College,101233,0,0,7557,0,93676,0,0,0,0,0,0
               Philippine Merchant Marine Academy,98361,0,0,4837,0,93524,0,0,0,0,0,0
               Ramon Magsaysay Technological University,102508,0,0,7455,0,95053,0,0,0,0,0,0
               Tarlac College of Agriculture,96503,0,0,7588,0,88915,0,0,0,0,0,0
               Tarlac State University,142130,0,0,10704,0,131426,0,0,0,0,0,0
,,,,,,,,,,,,
          Region IV-A - CALABARZON,989030,0,0,68972,0,920058,0,0,0,0,0,1
               Batangas State University,225236,0,0,14833,0,210403,0,0,0,0,0,0
               Cavite State University,195544,0,0,13433,0,182111,0,0,0,0,0,0
               Laguna State Polytechnic University,,,,,,,,,,,,
                     (Laguna State Polytechnic College),166982,0,0,11963,0,155019,0,0,0,0,0,0
               Southern Luzon State University,,,,,,,,,,,,
