particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
,,,,,,,,,,,
DEPARTMENTS,502801245,211047355,169592610,397193802,252354305,227710571,472467764,300473401,252360953,1,
,,,,,,,,,,,
   Congress of the Philippines,4236603,5041764,23478,4541141,4914770,151350,5066952,4808859,4878,1,
     Senate,1429391,1452807,10414,1417297,1462678,50050,1670074,1391193,0,,
        Senate Electoral Tribunal,62403,59856,53,74592,35483,300,92794,36007,0,,
     Commission on Appointments,130763,288977,2161,156990,294354,1000,208312,296747,0,,
     House of Representatives,2539516,3187244,10000,2806761,3077059,100000,2991453,3043301,0,,
        House Electoral Tribunal,74530,52880,850,85501,45196,0,104319,41611,4878,,
,,,,,,,,,,,
   Office of the President,495870,1378681,139954,513937,1957243,150637,552966,1880153,300453,1,
     The President's Offices,495870,1378681,139954,513937,1957243,150637,552966,1880153,300453,,
,,,,,,,,,,,
   Office of the Vice-President,44306,157747,773,42169,256871,105762,51971,264827,103750,,
,,,,,,,,,,,
   Department of Agrarian Reform,5181296,4664342,1735129,4825748,9905871,3534259,5106846,14410707,1915841,1,
     Office of the Secretary,5181296,4664342,1735129,4825748,9905871,3534259,5106846,14410707,1915841,,
,,,,,,,,,,,
   Department of Agriculture,3782761,11404326,17463368,3300737,14454381,35500702,3848527,19667158,40210924,1,
     Office of the Secretary,2700169,8444702,16210931,2329815,11783499,34796103,2620694,15461675,37548114,,
     Agricultural Credit Policy Council,22724,8559,0,18768,8764,0,21634,8978,1000000,,
     Bureau of Fisheries and Aquatic Resources,453935,1833538,1074402,409733,2162552,447909,577771,3015299,1055874,,
     Cotton Development Administration,50962,8657,5850,45160,8670,0,53232,8882,0,,
     Fertilizer and Pesticide Authority,31965,21602,42275,28879,23340,800,32111,26772,1843,,
     Fiber Industry Development Authority,177628,70825,7178,153585,65734,300,173353,72824,19220,,
     Livestock Development Council,9930,19228,300,8862,8800,1000,10444,32174,5000,,
     National Agricultural and Fishery Council,51669,696007,26814,43374,42567,0,49842,525200,145915,,
     National Meat Inspection Service,143170,58985,21206,133509,94586,0,160119,143137,311650,,
     Philippine Carabao Center,76485,188515,66534,69861,201630,227980,78652,278157,115448,,
     Philippine Center for Postharvest,,,,,,,,,,,
        Development and Mechanization,64124,53708,7878,59191,54239,26610,70675,94060,7860,,
,,,,,,,,,,,
   Department of Budget and Management,1467310,776077,185614,357533,414899,93076,439390,454333,104435,1,
     Office of the Secretary,1458991,771001,185173,343467,406520,91876,423742,436834,103792,,
     Government Procurement Policy Board -,,,,,,,,,,,
        Technical Support Office,8319,5076,441,14066,8379,1200,15648,17499,643,,
,,,,,,,,,,,
   Department of Education,186819707,21642350,10607222,169764811,26647512,19941362,204931908,29993168,14280208,1,
     Office of the Secretary,186704782,21517065,10595052,169661718,26514605,19844471,204812486,29795448,13929514,,
