particulars,own_type,amta1,amta2,amta3,amta4,amta5,amtb1,amtb2,amtb3,amtb4,amtb5,amtc1,amtc2,amtc3,amtc4,amtc5,sw
,,,,,,,,,,,,,,,,,
DEPARTMENTS,,156818640,23556278,507996304,159482687,35587301,51818167,36831864,529340269,219671764,39596614,72585772,39428615,602111962,272991271,38184498,1
,,,,,,,,,,,,,,,,,
     Congress of the Philippines,,3889663,0,4915644,496538,0,4497937,0,4327981,781343,0,4999425,0,4157571,723693,0,
     Office of the President,,1444874,0,569631,0,0,1643660,0,978157,0,0,1734430,0,999142,0,0,
     Office of the Vice-President,,52808,0,150018,0,0,47555,0,157247,200000,0,47809,0,172739,200000,0,
     Department of Agrarian Reform,,1395525,137680,7279251,275152,2493159,426978,130260,11456845,1676806,4574989,256851,143682,15131247,3028697,2872917,
     Department of Agriculture,,2152025,871019,13962905,8777848,6886658,1091951,930800,17879370,26780166,6573533,1388635,1031681,22086877,33237597,5981819,
     Department of Budget and Management,,1378369,41995,307837,668146,32654,321135,34706,280632,229035,0,400994,50778,322965,223421,0,
     Department of Education,,1715815,577089,211285856,5488031,2488,1808111,723654,207340412,6481508,0,2297009,747012,239903765,6257498,0,
     State Universities and Colleges,,5291898,970178,21553263,184100,0,4265907,809411,18529524,209122,0,5683466,981978,24887910,3370570,0,
     Department of Energy,,224618,143303,247687,350398,319159,202713,136289,249851,7492953,732921,237303,168500,293227,779258,2868779,
     Department of Environment and Natural Resources,,2807356,1396701,7967734,334790,714424,1830171,1351580,13455211,275000,552850,2202774,1495965,16446558,1792218,1690989,
     Department of Finance,,15466306,811370,5667287,547207,1508285,2464442,1001990,16626490,1890464,1191625,11792299,1021395,14088302,3944046,2968,
     Department of Foreign Affairs,,4349608,28796,8460063,127183,0,876499,61731,9525546,524371,0,1732207,68508,9911719,0,0,
     Department of Health,,1122379,526710,27812600,1009720,332010,432386,14585971,25322506,3000000,131051,490975,15928241,24265204,15600,269860,
     Department of the Interior and Local Government,,27185133,4296271,69966297,1372186,0,2801143,4671064,65048508,3779411,0,3086782,4858500,77643442,6143846,0,
     Department of Justice,,1908956,167476,7798007,94177,0,916107,175394,8059076,286486,0,1014297,208516,9303962,311315,0,
     Department of Labor and Employment,,1983560,225985,4388096,1259412,0,1284609,248043,4810172,882316,0,1599973,286497,5283137,913681,0,
     Department of National Defense,,55340616,10379783,49995211,1294795,0,7222645,8452459,52016373,5030000,0,10250683,8810777,56550641,5000000,0,
     Department of Public Works and Highways,,2927573,703370,13510568,87584933,17278379,924340,874743,23527163,82809661,17605949,1222365,914466,22851019,124860986,15724946,
     Department of Science and Technology,,1668318,81784,8132767,139561,36192,955767,104159,7748688,403366,136479,1422231,148815,7927655,509850,81251,
     Department of Social Welfare and Development,,7249034,0,2706315,26722573,1521034,357796,0,2492376,44671651,1325128,372615,0,3051046,52175168,650370,
     Department of Tourism,,209574,144499,1328747,15000,0,194261,155005,1286332,18600,0,225419,160911,1378437,1214500,0,
     Department of Trade and Industry,,1426465,277371,1252179,13757,45121,973397,345173,1429333,0,36758,921039,348601,1543549,51000,0,
     Department of Transportation and Communications,,1668616,755139,4660170,18921331,3935110,2394795,1016594,4253390,20434894,6017974,3692492,903046,5530726,14742490,7879161,
     National Economic and Development Authority,,943462,92697,1077568,384095,9369,746677,109815,1321694,757136,0,871717,132980,1918801,2156808,0,
     Presidential Communications Operations Office,,268342,61989,796537,0,11328,203102,61033,783811,0,0,251204,69053,991876,0,0,
     Other Executive Offices,,4166140,357795,3967520,1235379,41444,1605657,349906,4257768,1916429,59217,2199665,429856,4821426,3538608,0,
     Autonomous Region in Muslim Mindanao,,1073811,27122,10385124,1025500,420487,872129,24479,9913875,1000000,658140,901303,27766,11397737,1510181,161438,
     Joint Legislative-Executive Councils,,0,0,2145,0,0,0,0,2137,0,0,0,0,2137,0,0,
     The Judiciary,,3991052,22149,11873075,30000,0,6016252,12373,9655671,30000,0,6296558,13669,11270729,189500,0,
     Civil Service Commission,,357323,24115,440557,0,0,360429,34517,404781,22051,0,414215,47369,504402,26950,0,
     Commission on Audit,,1750361,393825,3285599,0,0,2418229,398806,4184989,0,0,2664809,387884,5050383,0,0,
     Commission on Elections,,561752,15697,1511751,1128819,0,674112,13202,1380401,8085460,0,756976,20128,1627118,6012276,0,
     Office of the Ombudsman,,749458,10834,528390,0,0,918925,4671,430097,0,0,1088544,5929,565964,57979,0,
     Commission on Human Rights,,97850,13536,209905,2056,0,68350,14036,203862,3535,0,68708,16112,230549,3535,0,
,,,,,,,,,,,,,,,,,
SPECIAL PURPOSE FUNDS,,11570124,6668213,47810542,333475459,0,330677,873966,19387229,562042450,0,415295,721893,24737334,594421360,0,1
,,,,,,,,,,,,,,,,,
     Budgetary Support to Government Corporations,,11570124,6668213,46690623,18840457,0,330677,873966,15650512,4957648,0,415295,721893,20899769,22272252,0,
     Allocations to Local Government Units,,0,0,1119919,314635002,0,0,0,1053469,290561487,0,0,0,1200842,318634822,0,
     Calamity Fund,,0,0,0,0,0,0,0,0,7500000,0,0,0,0,7500000,0,
     Contingent Fund,,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000,0,
     Department of Education - School Building Program,,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000,0,
     E-Government Fund,,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000,0,
     International Commitments Fund,,0,0,0,0,0,0,0,2683248,0,0,0,0,2636723,0,0,
     Miscellaneous Personnel Benefits Fund,,0,0,0,0,0,0,0,0,109296738,0,0,0,0,70088990,0,
     Payapa at Masaganang Pamayanan Fund,,0,0,0,0,0,0,0,0,1764300,0,0,0,0,0,0,
     Pension and Gratuity Fund,,0,0,0,0,0,0,0,0,87029277,0,0,0,0,98715143,0,
     Priority Social and Economic Projects Fund,,0,0,0,0,0,0,0,0,0,0,0,0,0,22420153,0,
     Priority Development Assistance Fund,,0,0,0,0,0,0,0,0,24890000,0,0,0,0,24890000,0,
     Tax Expenditures Fund,,0,0,0,0,0,0,0,0,33043000,0,0,0,0,26900000,0,
