particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"237,312,118","69,770,199","5,857,549","6,095,621","932,815","58,739","14,372","2,192,478","28,140,130","1,060,768","363,282","2,586,619","794,142","1,059,297","363,282","4,465,193","24,154,270","1,312,022",0,"34,057,584","51,877,284","472,467,764"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"2,449,796",0,"242,340","475,110","932,815","57,343","14,372",360,"293,979","7,115",0,"19,170",0,"7,115",0,"143,783","233,788",0,0,"189,866",0,"5,066,952"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"835,272",0,"21,479","104,401","396,085","6,267","5,347",0,"100,233","2,337",0,"6,305",0,"2,337",0,"48,224","79,341",0,0,"62,446",0,"1,670,074"
               Senate Electoral Tribunal,"49,105",0,150,"25,938",0,0,0,360,"5,893",142,0,374,0,142,0,"2,225","4,683",0,0,"3,782",0,"92,794"
          Commission on Appointments,"101,437",0,"5,583","42,191",0,"15,837","5,340",0,"12,173",256,0,733,0,256,0,"8,129","9,519",0,0,"6,858",0,"208,312"
          House of Representatives,"1,415,319",0,"215,128","269,736","536,730","31,736","3,685",0,"169,839","4,227",0,"11,375",0,"4,227",0,"81,176","135,554",0,0,"112,721",0,"2,991,453"
               House Electoral Tribunal,"48,663",0,0,"32,844",0,"3,503",0,0,"5,841",153,0,383,0,153,0,"4,029","4,691",0,0,"4,059",0,"104,319"
,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"271,553",0,"174,806",0,0,0,0,0,"32,590","1,036",0,"2,426",0,"1,036",0,"14,878","26,937",331,0,"27,373",0,"552,966"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"271,553",0,"174,806",0,0,0,0,0,"32,590","1,036",0,"2,426",0,"1,036",0,"14,878","26,937",331,0,"27,373",0,"552,966"
,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"33,106",0,"7,175",0,0,0,0,0,"3,973",103,0,276,0,103,0,"1,332","3,185",0,0,"2,718",0,"51,971"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"3,287,680",0,"477,173",0,0,0,0,0,"394,570","13,742",0,"33,330",0,"13,741",0,"193,405","331,090",0,0,"362,115",0,"5,106,846"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"3,287,680",0,"477,173",0,0,0,0,0,"394,570","13,742",0,"33,330",0,"13,741",0,"193,405","331,090",0,0,"362,115",0,"5,106,846"
,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"2,606,468",0,"195,995",0,0,0,0,0,"312,852","11,829",0,"27,390",0,"11,818",0,"38,906","266,274",0,0,"376,995",0,"3,848,527"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,814,886",0,"66,534",0,0,0,0,0,"217,829","8,471",0,"19,296",0,"8,463",0,"22,438","186,418",0,0,"276,359",0,"2,620,694"
          Agricultural Credit Policy Council,"15,142",0,0,0,0,0,0,0,"1,818",40,0,104,0,40,0,"2,036","1,423",0,0,"1,031",0,"21,634"
          Bureau of Fisheries and Aquatic Resources,"327,104",0,"126,140",0,0,0,0,0,"39,272","1,514",0,"3,464",0,"1,512",0,"4,740","33,503",0,0,"40,522",0,"577,771"
          Cotton Development Administration,"38,892",0,0,0,0,0,0,0,"4,668",145,0,392,0,145,0,"1,328","3,843",0,0,"3,819",0,"53,232"
          Fertilizer and Pesticide Authority,"23,508",0,112,0,0,0,0,0,"2,823",84,0,227,0,84,0,768,"2,306",0,0,"2,199",0,"32,111"
