particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A023,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"11,917,207","4,203,311","26,446,627","1,256,213","53,717,667","9,717,077","317,165","102,585,019","10,828,838","17,420,483","894,050","852,735","551,926","2,036,524","15,518,556","2,182,808","30,355,126","1,692,444","1,811,659","2,168,985","14,008","317,490","3,218,921","72,181","151,746","224,635","300,473,401"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"909,082","134,125","68,749","5,434","213,782","205,170",0,"3,642","154,529","14,686","179,698",0,0,"9,186",0,0,"2,685,819","40,410","5,778","153,123","6,000","14,494",1,"5,151",0,0,"4,808,859"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"287,801","25,548","9,006","2,199","69,753","171,577",0,0,"60,520","6,886","72,182",0,0,"1,843",0,0,"591,251","3,292","1,216","76,113",0,"10,561",0,"1,445",0,0,"1,391,193"
               Senate Electoral Tribunal,"1,000","1,500",550,200,"2,500","4,400",0,0,"4,000",300,"3,706",0,0,200,0,0,"16,701",200,0,750,0,0,0,0,0,0,"36,007"
          Commission on Appointments,"1,450","4,888","2,912",0,"11,291","24,703",0,0,"1,500","1,500","5,052",0,0,"1,000",0,0,"219,409","1,250","1,250","20,040",0,500,1,1,0,0,"296,747"
          House of Representatives,"618,267","100,279","55,000",185,"123,230",200,0,"3,642","85,009","5,000","95,000",0,0,"5,169",0,0,"1,853,207","33,511","3,000","55,620",0,"3,277",0,"3,705",0,0,"3,043,301"
               House Electoral Tribunal,564,"1,910","1,281","2,850","7,008","4,290",0,0,"3,500","1,000","3,758",0,0,974,0,0,"5,251","2,157",312,600,"6,000",156,0,0,0,0,"41,611"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"328,794","50,463","212,545","4,592","181,086","32,548",0,220,"101,844","44,816","13,618","500,000",0,"59,079",0,0,"243,274","6,020","4,978","90,129","1,000","1,633",0,"3,500",0,14,"1,880,153"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"328,794","50,463","212,545","4,592","181,086","32,548",0,220,"101,844","44,816","13,618","500,000",0,"59,079",0,0,"243,274","6,020","4,978","90,129","1,000","1,633",0,"3,500",0,14,"1,880,153"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"24,366","4,362","2,258",0,"8,403","8,385",0,"185,000","3,366",510,454,0,0,270,0,0,"13,023",0,0,"14,150",0,280,0,0,0,0,"264,827"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"885,070","117,980","328,227","57,979","1,104,156","238,412",0,"7,471,414","123,283","849,959","10,968",0,0,"80,196",0,0,"983,208","72,895","63,703","84,845",0,"7,845","1,930,495",72,0,0,"14,410,707"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"885,070","117,980","328,227","57,979","1,104,156","238,412",0,"7,471,414","123,283","849,959","10,968",0,0,"80,196",0,0,"983,208","72,895","63,703","84,845",0,"7,845","1,930,495",72,0,0,"14,410,707"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"1,044,799","208,700","843,475","23,330","4,534,164","151,394",864,"8,510,444","313,822","1,428,152","8,095",0,0,"58,463",0,0,"2,107,301","82,028","93,103","145,680","1,050","15,096","3,345","2,475","90,288","1,090","19,667,158"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"702,184","150,963","691,006","18,981","2,715,666","104,703",824,"8,026,824","197,522","1,076,863","4,724",0,0,"29,088",0,0,"1,372,847","48,395","85,894","128,539",845,"12,459","2,345",995,"88,968","1,040","15,461,675"
          Agricultural Credit Policy Council,615,800,410,0,700,"2,179",0,0,"1,605",250,110,0,0,69,0,0,"1,800",50,10,300,0,80,0,0,0,0,"8,978"
          Bureau of Fisheries and Aquatic Resources,"237,408","37,228","127,670","2,849","1,639,386","29,873",40,"51,136","74,252","231,031","1,475",0,0,"21,774",0,0,"537,116","11,783","4,027","4,551",205,"1,789",0,406,"1,300",0,"3,015,299"
          Cotton Development Administration,750,510,"1,025",46,"2,352",110,0,0,560,300,226,0,0,130,0,0,"2,440",100,0,258,0,45,0,30,0,0,"8,882"
