department,agency,agency_ocd,num_of_paps_cc_expenditure_gaa,CC_Expenditure_Food_Security_GAA,CC_Expenditure_Water_Sufficiency,CC_Expenditure_Ecological_And_Environmental_Stability_GAA,CC_Expenditure_Human_Security_GAA,CC_Expenditure_Climate_Smart_Industries_And_Services_GAA,CC_Expenditure_Sustainable_Energy_GAA,CC_Expenditure_Knowledge_And_Capacity_Building_GAA,CC_Expenditure_Finance_GAA,CC_Expenditure_Multiple_Strategic_Priority_GAA,cc_expenditure_as_share_of_appropriations_for_CC_tagged_PAPs_GAA,cc_expenditures_as_share_of_total_cc_expenditures_GAA,percent_of_cc_expenditures_for_adaptation_GAA,percent_of_cc_expenditure_for_mitigation_GAA,CC_Expenditure_Locally_Funded_Projects_GAA,CC_Expenditure_Foreign_Assisted_Projects_GAA
Department of Agriculture,Office of the Secretary,DA-OSEC,48,3623177,845008, -   , -   ,15868,2031731, -   , -   ,-,6515785,5.1,100,0,2015731,2965
Department of Agriculture,Agricultural Credit Policy Council,DA-ACPC,1, -   , -   , -   ,150000, -   , -   , -   , -   ,-,150000,0.1,100,0,0,0
Department of Agriculture,Bureau of Fisheries and Aquatic Resources,DA-BFAR,10,168592,184868,151367,9004, -   , -   , -   , -   ,-,513831,0.4,100,0,0,0
Department of Agriculture,Philippine Carabao Center,DA-PCC,3,202290, -   , -   , -   , -   , -   , -   , -   ,-,202290,0.2,100,0,0,0
Department of Agriculture,Philippine Center for Post-Harvest Development and Mechanization,DA-PhilMech,1,69693, -   , -   , -   , -   , -   , -   , -   ,-,69693,0.1,100,0,0,0
Department of Environment and Natural Resources,Office of the Secretary,DENR-OSEC,14,150000, -   ,9372044, -   ,153000, -   ,211791, -   ,-,9886835,7.7,100,0,150000,62761
Department of Environment and Natural Resources,Environmental Management Bureau,DENR-EMB,4, -   ,108241,136230, -   ,292971, -   ,14232, -   ,-,551674,0.4,100,0,0,0
Department of Environment and Natural Resources,Mines and Geo-Sciences Bureau,DENR-MGB,1, -   ,45238, -   ,102542, -   , -   , -   , -   ,-,147780,0.1,100,0,0,0
Department of Environment and Natural Resources,National Mapping and Resource Information Authority ,DENR-NAMRIA,1, -   , -   , -   ,15690, -   , -   , -   , -   ,-,15690,0,100,0,0,0
Department of Environment and Natural Resources,National Water Resources Board,DENR-NWRB,2, -   ,20071, -   , -   , -   , -   , -   , -   ,-,20071,0,100,0,0,0
Department of Environment and Natural Resources,Palawan Council for Sustainable Development,DENR-PCSD,13,548,294,576,223,169, -   ,699, -   ,-,2509,0,100,0,0,0
Department of Education,Office of the Secretary,DEPED-OSEC,0, -   , -   , -   , -   , -   , -   , -   , -   ,-, -   ,0,0,0,0,0
Department of Education,National Museum,DEPED-NATMU,1, -   , -   , -   , -   , -   , -   ,3381, -   ,-,3381,0,100,0,0,0
Department of Education,Early Childhood Care and Development Council,DEPED-ECCDC,0, -   , -   , -   , -   , -   , -   , -   , -   ,-, -   ,0,N/A,0,0,0
Department of Foreign Affairs,Technical Cooperation Council of the Philippines,DFA-TCCP,1, -   , -   , -   , -   , -   , -   ,1590, -   ,-,1590,0,100,0,0,0
Department of Interior and Local Government,Office of the Secretary,DILG-OSEC,1, -   , -   , -   , -   , -   , -   ,76000, -   ,-,76000,0.1,100,0,76000,0
Department of Interior and Local Government,Local Government Academy,DILG-LGA,1, -   , -   , -   , -   , -   , -   ,4000, -   ,-,4000,0,100,0,0,0
Department of National Defense,National Defense College of the Philippines,DND-NDCP,1, -   , -   , -   , -   , -   , -   ,697, -   ,-,697,0,100,0,0,0
Department of National Defense,Office of Civil Defense,DND-OCD,2, -   , -   , -   , -   , -   , -   ,556596, -   ,-,556596,0.4,100,0,0,0
Department of National Defense,Philippine Navy,DND-PN,1, -   ,461,20370, -   , -   , -   , -   , -   ,-,20831,0,100,0,0,0
Department of Energy,Office of the Secretary,DOE-OSEC,10, -   , -   , -   , -   , -   ,2865087, -   , -   ,-,2865087,2.2,0,100,3320,2580010
Department of Labor and Employment,Office of the Secretary,DOLE-OSEC,2, -   , -   , -   ,1151591, -   , -   , -   , -   ,-,1151591,0.9,100,0,0,0
Department of Labor and Employment,Institute for Labor Studies,DOLE-ILS,1, -   , -   , -   , -   ,54, -   , -   , -   ,-,54,0,0,100,0,0
Department of Labor and Employment,National Wage and Productivity Commmission,DOLE-NWPC,1,8767, -   , -   , -   , -   , -   , -   , -   ,-,8767,0,100,0,0,0
Department of Labor and Employment,Technical Education and Skills Development Authority,DOLE-TESDA,3, -   , -   , -   , -   , -   , -   ,-, -   ,1674,1674,0,0,0,0,0
Department of Science and Technology,Office of the Secretary,DOST-OSEC,1, -   , -   , -   , -   , -   , -   ,734573, -   ,264811,999384,0.6,74,0,0,0
Department of Science and Technology,Information and Communications Technology Office,DOST-ICTO,1, -   , -   , -   , -   , -   , -   ,982, -   ,-,982,0,100,0,0,0
Department of Science and Technology,"Philippine Atmospheric, Geophysical and Astronomical Services Administration",DOST-PAGASA,20, -   , -   , -   ,3254272, -   , -   , -   , -   ,-,3254272,2.5,100,0,14900,115850
Department of Science and Technology,"Philippine Council for Agriculture, Aquatic and Natural Resources Research and Development",DOST-PCAARD,30,76430, -   ,10280, -   , -   ,1602, -   , -   ,-,88312,0.1,100,0,0,0
Department of Science and Technology," Philippine Council for Industry, Energy and Emerging Technology",DOST-PCIEERD,1, -   , -   , -   , -   , -   , -   , -   , -   ,-, -   ,0.2,0,0,0,0
Department of Science and Technology,Philippine Institute of Volcanology and Seismology,DOST-PHIVOLCS,13, -   , -   , -   ,267204, -   , -   , -   , -   ,-,267204,0.2,100,0,61041,0
Department of Tourism,Office of the Secretary,DOT-OSEC,1, -   , -   , -   , -   ,654, -   , -   , -   ,788,1442,0,45,0,0,0
Department of Tourism,National Parks Development Committee,DOT-NPDC,2, -   , -   , -   , -   , -   , -   ,123, -   ,-,123,0,100,0,0,0
Department of Transportation and Communication,Philippine Coast Guard,DOTC-PCG,1, -   , -   ,2189, -   , -   ,762,1650, -   ,-,4601,0,83,17,0,0
Department of Public Works and Highways,Office of the Secretary,DPWH-OSEC,19, -   ,68235197, -   , -   , -   ,28379714, -   , -   ,-,96614911,75,100,0,1159805,3610672
Department of Social Welfare and Development,Office of the Secretary,DSWD-OSEC,1, -   , -   , -   ,799286, -   , -   , -   , -   ,-,799286,0.6,100,0,0,0
Department of Social Welfare and Development,Council for the Welfare of Children,DSWD-CWC,1, -   , -   , -   ,105, -   , -   , -   , -   ,-,105,0,100,0,0,0
Department of Social Welfare and Development,National Youth Commssion,DSWD-NYC,1, -   , -   , -   , -   ,1469, -   , -   , -   ,-,1469,0,0,100,0,0
Department of Trade and Industry,Design Center of the Philippines,DTI-DCP,3, -   , -   , -   , -   , -   , -   , -   , -   ,22000,22000,0,0,0,0,0
Metropolitan Development Authority,,MMDA,91, -   ,554047,1031246, -   , -   ,581681, -   , -   ,-,2166974,1.7,100,0,756062,0
National Economic and Development Authority,Philippine Statistics Authority,NEDA-PSA,1, -   , -   ,7149, -   , -   , -   , -   , -   ,-,7149,0,100,0,7149,0
National Economic and Development Authority,Philippine National Volunteer Service Coordinating Agency,NEDA-PNVSCA,1, -   , -   , -   , -   , -   , -   , -   , -   ,-, -   ,0,0,0,0,0
Other Executive Offices,Climate Change Commission,OEO-CCC,8,220, -   , -   ,36720,790, -   ,6662,1000200,-,1044592,0.8,100,0,0,0
Other Executive Offices,Housing and Land Use Regulatory Board,OEO-HLURB,9, -   , -   ,2915, -   , -   , -   , -   , -   ,-,2915,0,100,0,0,0
Other Executive Offices,Housing and Urban Development Coordinating Council,OEO-HUDCC,1, -   , -   , -   , -   ,11500, -   , -   , -   ,-,11500,0,100,0,11500,0
Other Executive Offices,Mindanao Development Authority,OEO-MINDA,0, -   , -   , -   , -   , -   , -   , -   , -   ,-, -   ,0,#VALUE!,0,0,0
Other Executive Offices,National Anti-Poverty Commission,OEO-NAPC,3, -   , -   , -   ,53504, -   , -   , -   , -   ,-,53504,0,100,0,0,0
Other Executive Offices,National Historical Commission of the Philippines,OEO-NHCP,19, -   , -   , -   , -   , -   , -   ,691463, -   ,-,691463,0.5,100,0,624000,0
Other Executive Offices,National Commission on Indigenous People,OEO-NCIP,2, -   , -   , -   ,8834, -   , -   , -   , -   ,-,8834,0,100,0,0,0
Other Executive Offices,National Commission on Muslim Filipino,OEO-NCMF,0, -   , -   , -   , -   , -   , -   , -   , -   ,-, -   ,0,0,0,0,0
Other Executive Offices,Pasig River Rehabilitation Commission,OEO-PRRC,4, -   ,19662, -   ,44741, -   , -   , -   , -   ,-,64403,0,100,0,7165,0
Presidential Communications Operations Office,Bureau of Broadcast Services,PCOO-BBS,2, -   , -   , -   ,2280, -   , -   , -   , -   ,-,2280,0,100,0,0,0
Presidential Communications Operations Office,Philippine Information Agency,PCOO-PIA,1, -   , -   , -   , -   , -   , -   ,1041, -   ,-,1041,0,100,0,0,0
TOTAL,TOTAL,TOTAL,360,4299717,70013088,10734366,5895996,476475,33860577,2305480,1000200,289273,128875172,100,98,2,4886673,6372258
,,,,,,,,,,,,,,,,,,
"*Most PAPs were coded with a single CC typology based on the primary CC objective. In a few instances, NGAs included multiple typology codes. These PAPs will be revised in conjunction with the 2016 for forward compatibility.",,,,,,,,,,,,,,,,,,
