implementing_office_1,implementing_office_2,implementing_office_3,voluntary_payments, preliminary_or_final_assessments , delinquent_accts , total_collections 
Percent Distribution,Percent Distribution,Percent Distribution,96.97,2.8,0.23,100
Bureau of Internal Revenue Operations,Large Taxpayers Service,Large Taxpayers Service,729656.19,23723.23,1880,755259.42
Bureau of Internal Revenue Operations,Revenue Regions,Revenue Regions,412971.51,10349.8,935.74,424257.05
Bureau of Internal Revenue Operations,Revenue Regions,"Calasiao, Pangasinan",7596.11,437.72,17.66,8051.49
Bureau of Internal Revenue Operations,Revenue Regions,Cordillera Adm. Region,3765.47,6.67,2.52,3774.66
Bureau of Internal Revenue Operations,Revenue Regions,"Tuguegarao, Cagayan",5759.12,82.82,18.02,5859.96
Bureau of Internal Revenue Operations,Revenue Regions,"San Fernando, Pampanga",17939.66,349.4,40.32,18329.37
Bureau of Internal Revenue Operations,Revenue Regions,Caloocan,15106.85,739.36,26.19,15872.41
Bureau of Internal Revenue Operations,Revenue Regions,Manila,34204.51,796.95,65.09,35066.55
Bureau of Internal Revenue Operations,Revenue Regions,Quezon City,96425.59,1552.59,124.38,98102.55
Bureau of Internal Revenue Operations,Revenue Regions,Makati City,123956.33,3743.63,377.26,128077.22
Bureau of Internal Revenue Operations,Revenue Regions,San Pablo City,34327.38,620.75,33.15,34981.29
Bureau of Internal Revenue Operations,Revenue Regions,Legaspi City,6338.1,53.3,5.61,6397
Bureau of Internal Revenue Operations,Revenue Regions,Iloilo City,7044.36,186.95,3.93,7235.24
Bureau of Internal Revenue Operations,Revenue Regions,Bacolod City,6430.86,388.65,21.19,6840.69
Bureau of Internal Revenue Operations,Revenue Regions,Cebu City,16890.07,356.56,38.57,17285.2
Bureau of Internal Revenue Operations,Revenue Regions,Tacloban City,4917.31,89.22,12.98,5019.52
Bureau of Internal Revenue Operations,Revenue Regions,Zamboanga City,4224.09,180.74,7,4411.83
Bureau of Internal Revenue Operations,Revenue Regions,Cagayan de Oro City,8386.34,214.68,32.92,8633.93
Bureau of Internal Revenue Operations,Revenue Regions,Butuan City,3334.14,102.66,8.58,3445.38
Bureau of Internal Revenue Operations,Revenue Regions,Koronadal City,5778.5,109.13,39.44,5927.08
Bureau of Internal Revenue Operations,Revenue Regions,Davao City,10546.74,338.03,60.92,10945.68
