brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
83701001,83701001,LEYTE,ABUYOG,Alangilan,2009,80,318,2,31,48,4,8.3000002,16,51.599998,15,19,-,-,-,-,31,79,4,12.9,0,0,1,1.3,2,2.5,70,87.5,67,8,10,16,20,83.800003,0,0,0,0,94,4,4.3000002,-,-,-,-,-,-,-,-,-,37,1,3701001
83701002,83701002,LEYTE,ABUYOG,Anibongan,2009,80,286,6,45,40,7,17.5,10,47.599998,12,19.700001,-,-,-,-,21,61,0,0,0,0,10,12.5,4,5,45,56.299999,34,5,6.3000002,31,38.799999,42.5,0,0,5,6.3000002,91,5,5.5,-,-,-,-,-,-,-,-,-,37,1,3701002
83701004,83701004,LEYTE,ABUYOG,Bagacay,2009,113,472,19,78,97,20,20.6,24,48,27,18.4,-,-,-,-,50,147,11,14.1,0,0,2,1.8,1,0.89999998,83,73.5,70,0,0,23,20.4,61.900002,0,0,0,0,167,0,0,-,-,-,-,-,-,-,-,-,37,1,3701004
83701005,83701005,LEYTE,ABUYOG,Bahay,2009,70,310,8,42,49,9,18.4,9,30,10,12.7,-,-,-,-,30,79,0,0,0,0,0,0,0,0,54,77.099998,44,70,100,37,52.900002,62.900002,0,0,0,0,108,0,0,-,-,-,-,-,-,-,-,-,37,1,3701005
83701006,83701006,LEYTE,ABUYOG,Balinsasayao,2009,494,2261,57,309,406,66,16.299999,90,39.799999,95,15,-,-,-,-,226,632,7,2.3,0,0,10,2,46,9.3000002,317,64.199997,283,21,4.3000002,147,29.799999,57.299999,10,0.40000001,104,21.1,619,24,3.9000001,-,-,-,-,-,-,-,-,-,37,1,3701006
83701007,83701007,LEYTE,ABUYOG,Balocawe,2009,326,1511,36,216,271,47,17.299999,74,41.799999,54,12.1,-,-,-,-,177,448,0,0,0,0,1,0.30000001,6,1.8,181,55.5,128,179,54.900002,48,14.7,39.299999,0,0,2,0.60000002,433,12,2.8,-,-,-,-,-,-,-,-,-,37,1,3701007
83701008,83701008,LEYTE,ABUYOG,Balocawehay,2009,766,3490,83,462,540,111,20.6,142,40.799999,143,16.1,-,-,-,-,348,888,1,0.2,0,0,22,2.9000001,21,2.7,551,71.900002,500,108,14.1,138,18,65.300003,0,0,0,0,971,55,5.6999998,-,-,-,-,-,-,-,-,-,37,1,3701008
83701009,83701009,LEYTE,ABUYOG,Barayong,2009,297,1304,41,180,203,36,17.700001,57,41.900002,57,16.799999,-,-,-,-,136,339,2,1.1,2,4.6999998,65,21.9,8,2.7,190,64,154,90,30.299999,31,10.4,51.900002,3,0.2,42,14.1,413,3,0.69999999,-,-,-,-,-,-,-,-,-,37,1,3701009
83701010,83701010,LEYTE,ABUYOG,Bayabas,2009,169,776,22,125,155,25,16.1,42,53.799999,42,18,-,-,-,-,78,233,0,0,0,0,55,32.5,8,4.6999998,122,72.199997,105,5,3,85,50.299999,62.099998,1,0.1,83,49.099998,169,0,0,-,-,-,-,-,-,-,-,-,37,1,3701010
83701011,83701011,LEYTE,ABUYOG,Bito (Pob.),2009,221,1036,39,144,144,42,29.200001,32,34,43,18.1,-,-,-,-,94,238,0,0,0,0,3,1.4,5,2.3,105,47.5,90,7,3.2,16,7.1999998,40.700001,0,0,0,0,296,7,2.4000001,-,-,-,-,-,-,-,-,-,37,1,3701011
