brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
13301001,13301001,LA UNION,AGOO,Ambitacay,2011,63,283,6,29,60,15,25,11,35.5,7,7.6999998,-,-,-,-,31,91,0,0,0,0,2,3.2,1,1.6,50,79.400002,45,13,20.6,7,11.1,71.400002,0,0,0,0,101,1,1,-,-,-,-,-,-,-,-,-,33,1,3301001
13301002,13301002,LA UNION,AGOO,Balawarte,2011,290,1351,30,192,239,33,13.8,56,44.099998,47,12.8,-,-,-,-,127,366,0,0,0,0,0,0,0,0,37,12.8,8,0,0,1,0.30000001,2.8,0,0,0,0,468,1,0.2,-,-,-,-,-,-,-,-,-,33,1,3301002
13301003,13301003,LA UNION,AGOO,Capas,2011,199,969,16,120,164,27,16.5,40,40.799999,18,6.9000001,-,-,-,-,98,262,12,10,0,0,40,20.1,2,1,125,62.799999,110,85,42.700001,15,7.5,55.299999,0,0,0,0,290,15,5.1999998,-,-,-,-,-,-,-,-,-,33,1,3301003
13301004,13301004,LA UNION,AGOO,Consolacion (Pob.),2011,247,1238,21,153,154,28,18.200001,31,34.799999,12,4.9000001,-,-,-,-,89,243,0,0,1,4.5,7,2.8,10,4,67,27.1,42,8,3.2,7,2.8,17,0,0,0,0,434,22,5.0999999,-,-,-,-,-,-,-,-,-,33,1,3301004
13301005,13301005,LA UNION,AGOO,Macalva Central,2011,129,606,11,54,85,20,23.5,13,27.1,9,6.8000002,-,-,-,-,48,133,1,1.9,0,0,19,14.7,0,0,79,61.200001,67,15,11.6,4,3.0999999,51.900002,0,0,0,0,227,23,10.1,-,-,-,-,-,-,-,-,-,33,1,3301005
13301006,13301006,LA UNION,AGOO,Macalva Norte,2011,245,1100,22,145,169,29,17.200001,34,41,20,7.9000001,-,-,-,-,83,252,39,26.9,0,0,1,0.40000001,10,4.0999999,137,55.900002,100,46,18.799999,3,1.2,40.799999,0,0,0,0,424,0,0,-,-,-,-,-,-,-,-,-,33,1,3301006
13301007,13301007,LA UNION,AGOO,Macalva Sur,2011,274,1217,16,140,162,19,11.7,12,12.1,3,1.1,-,-,-,-,99,261,0,0,0,0,2,0.69999999,1,0.40000001,100,36.5,67,34,12.4,1,0.40000001,24.5,0,0,0,0,504,14,2.8,-,-,-,-,-,-,-,-,-,33,1,3301007
13301008,13301008,LA UNION,AGOO,Nazareno,2011,406,1883,40,247,276,42,15.2,43,31.9,44,10.7,-,-,-,-,135,411,30,12.1,0,0,18,4.4000001,3,0.69999999,177,43.599998,111,18,4.4000001,3,0.69999999,27.299999,0,0,0,0,545,31,5.6999998,-,-,-,-,-,-,-,-,-,33,1,3301008
13301009,13301009,LA UNION,AGOO,Purok,2011,163,754,11,96,91,14,15.4,18,28.6,12,7.8000002,-,-,-,-,63,154,4,4.1999998,0,0,1,0.60000002,0,0,69,42.299999,50,16,9.8000002,7,4.3000002,30.700001,0,0,0,0,255,6,2.4000001,-,-,-,-,-,-,-,-,-,33,1,3301009
13301010,13301010,LA UNION,AGOO,San Agustin East,2011,502,2392,53,307,328,68,20.700001,54,30.299999,26,5.0999999,-,-,-,-,178,506,8,2.5999999,0,0,10,2,1,0.2,181,36.099998,100,30,6,3,0.60000002,19.9,19,0.80000001,0,0,904,11,1.2,-,-,-,-,-,-,-,-,-,33,1,3301010
13301012,13301012,LA UNION,AGOO,San Agustin Sur,2011,229,1029,15,112,132,21,15.9,30,41.099998,34,16.6,-,-,-,-,73,205,0,0,0,0,9,3.9000001,2,0.89999998,171,74.699997,153,2,0.89999998,1,0.40000001,66.800003,0,0,0,0,371,29,7.8000002,-,-,-,-,-,-,-,-,-,33,1,3301012
13301013,13301013,LA UNION,AGOO,San Antonino,2011,189,919,19,120,126,22,17.5,26,34.700001,10,5,-,-,-,-,75,201,0,0,0,0,8,4.1999998,2,1.1,62,32.799999,40,6,3.2,0,0,21.200001,1,0.1,0,0,301,22,7.3000002,-,-,-,-,-,-,-,-,-,33,1,3301013
13301014,13301014,LA UNION,AGOO,San Antonio,2011,444,1980,37,226,270,54,20,36,22.6,22,5.0999999,-,-,-,-,159,429,3,1.3,0,0,35,7.9000001,13,2.9000001,150,33.799999,111,9,2,5,1.1,25,5,0.30000001,1,0.2,663,22,3.3,-,-,-,-,-,-,-,-,-,33,1,3301014
13301015,13301015,LA UNION,AGOO,San Francisco,2011,192,875,22,120,136,22,16.200001,28,35,20,9.3000002,-,-,-,-,80,216,1,0.80000001,0,0,1,0.5,2,1,117,60.900002,83,104,54.200001,10,5.1999998,43.200001,0,0,0,0,300,17,5.6999998,-,-,-,-,-,-,-,-,-,33,1,3301015
13301016,13301016,LA UNION,AGOO,San Isidro,2011,402,1859,38,298,281,72,25.6,85,48.299999,94,20.6,-,-,-,-,176,457,1,0.30000001,0,0,18,4.5,190,47.299999,331,82.300003,294,86,21.4,120,29.9,73.099998,0,0,7,1.7,642,51,7.9000001,-,-,-,-,-,-,-,-,-,33,1,3301016
13301017,13301017,LA UNION,AGOO,San Joaquin Norte,2011,253,1155,16,145,192,36,18.799999,30,33.299999,33,11.7,-,-,-,-,90,282,59,40.700001,0,0,1,0.40000001,6,2.4000001,71,28.1,47,4,1.6,2,0.80000001,18.6,4,0.30000001,2,0.80000001,378,19,5,-,-,-,-,-,-,-,-,-,33,1,3301017
13301019,13301019,LA UNION,AGOO,San Jose Norte,2011,168,781,10,86,109,27,24.799999,25,36.200001,16,9,-,-,-,-,69,178,27,31.4,0,0,21,12.5,0,0,78,46.400002,64,1,0.60000002,0,0,38.099998,3,0.40000001,0,0,264,21,8,-,-,-,-,-,-,-,-,-,33,1,3301019
13301020,13301020,LA UNION,AGOO,San Jose Sur,2011,114,438,8,45,60,14,23.299999,10,31.299999,12,13,-,-,-,-,32,92,1,2.2,1,11.1,8,7,8,7,37,32.5,24,8,7,10,8.8000002,21.1,4,0.89999998,1,0.89999998,143,1,0.69999999,-,-,-,-,-,-,-,-,-,33,1,3301020
13301021,13301021,LA UNION,AGOO,San Juan,2011,215,977,19,123,127,20,15.7,22,24.700001,15,6.9000001,-,-,-,-,89,216,11,8.8999996,0,0,9,4.1999998,3,1.4,81,37.700001,48,3,1.4,0,0,22.299999,0,0,1,0.5,303,3,1,-,-,-,-,-,-,-,-,-,33,1,3301021
13301022,13301022,LA UNION,AGOO,San Julian Central,2011,132,608,15,64,73,20,27.4,11,18,5,3.7,-,-,-,-,61,134,2,3.0999999,0,0,1,0.80000001,1,0.80000001,31,23.5,18,1,0.80000001,1,0.80000001,13.6,0,0,0,0,250,35,14,-,-,-,-,-,-,-,-,-,33,1,3301022
13301023,13301023,LA UNION,AGOO,San Julian East,2011,246,1057,22,141,146,19,13,17,23.9,20,9.1999998,-,-,-,-,71,217,4,2.8,0,0,15,6.0999999,2,0.80000001,84,34.099998,53,1,0.40000001,4,1.6,21.5,3,0.30000001,0,0,346,14,4,-,-,-,-,-,-,-,-,-,33,1,3301023
13301024,13301024,LA UNION,AGOO,San Julian Norte,2011,66,309,7,29,39,5,12.8,5,20.799999,4,6.3000002,-,-,-,-,24,63,0,0,0,0,1,1.5,3,4.5,19,28.799999,11,3,4.5,7,10.6,16.700001,0,0,1,1.5,110,4,3.5999999,-,-,-,-,-,-,-,-,-,33,1,3301024
13301025,13301025,LA UNION,AGOO,San Julian West,2011,290,1219,22,166,198,40,20.200001,78,62.900002,74,23,-,-,-,-,124,322,1,0.60000002,0,0,14,4.8000002,13,4.5,187,64.5,168,16,5.5,76,26.200001,57.900002,0,0,0,0,330,6,1.8,-,-,-,-,-,-,-,-,-,33,1,3301025
