brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
51702003,51702003,CAMARINES SUR,BALATAN,Cabungan,2009,160,892,24,137,187,33,17.6,31,29.200001,29,9.8999996,-,-,-,-,106,293,8,5.8000002,0,0,2,1.3,1,0.60000002,111,69.400002,89,64,40,46,28.799999,55.599998,0,0,3,1.9,193,1,0.5,-,-,-,-,-,-,-,-,-,17,2,1702003
51702004,51702004,CAMARINES SUR,BALATAN,Camangahan (Caorasan),2009,81,435,8,64,104,18,17.299999,32,68.099998,34,22.5,-,-,-,-,47,151,29,45.299999,0,0,0,0,0,0,70,86.400002,60,79,97.5,2,2.5,74.099998,0,0,0,0,183,3,1.6,-,-,-,-,-,-,-,-,-,17,2,1702004
51702006,51702006,CAMARINES SUR,BALATAN,Cayogcog,2009,73,350,5,62,76,10,13.2,18,54.5,18,16.5,-,-,-,-,33,109,2,3.2,0,0,0,0,0,0,70,95.900002,66,35,47.900002,43,58.900002,90.400002,0,0,14,19.200001,117,4,3.4000001,-,-,-,-,-,-,-,-,-,17,2,1702006
51702007,51702007,CAMARINES SUR,BALATAN,Coguit,2009,320,1601,47,284,335,62,18.5,72,41.099998,74,14.5,-,-,-,-,175,510,4,1.4,1,2.0999999,13,4.0999999,7,2.2,223,69.699997,176,7,2.2,98,30.6,55,4,0.2,24,7.5,466,4,0.89999998,-,-,-,-,-,-,-,-,-,17,2,1702007
51702011,51702011,CAMARINES SUR,BALATAN,Montenegro (Maguiron),2009,76,350,11,63,78,6,7.6999998,16,48.5,10,9,-,-,-,-,33,111,27,42.900002,1,8.3000002,0,0,0,0,46,60.5,32,19,25,24,31.6,42.099998,17,4.9000001,35,46.099998,117,3,2.5999999,-,-,-,-,-,-,-,-,-,17,2,1702011
51702014,51702014,CAMARINES SUR,BALATAN,Pulang Daga,2009,188,905,34,186,175,26,14.9,34,35.400002,27,10,-,-,-,-,96,271,5,2.7,0,0,2,1.1,2,1.1,160,85.099998,139,79,42,46,24.5,73.900002,0,0,5,2.7,226,3,1.3,-,-,-,-,-,-,-,-,-,17,2,1702014
51702015,51702015,CAMARINES SUR,BALATAN,Sagrada Nacacale,2009,125,686,17,121,136,26,19.1,34,45.900002,39,18.6,-,-,-,-,74,210,4,3.3,0,0,0,0,3,2.4000001,110,88,97,61,48.799999,47,37.599998,77.599998,1,0.1,10,8,182,10,5.5,-,-,-,-,-,-,-,-,-,17,2,1702015
51702016,51702016,CAMARINES SUR,BALATAN,San Francisco,2009,220,1103,22,210,215,40,18.6,29,33.700001,26,8.6000004,-,-,-,-,86,301,8,3.8,0,0,6,2.7,1,0.5,168,76.400002,144,0,0,33,15,65.5,0,0,0,0,291,1,0.30000001,-,-,-,-,-,-,-,-,-,17,2,1702016
51702017,51702017,CAMARINES SUR,BALATAN,Santiago Nacacale,2009,69,342,7,48,72,10,13.9,21,39.599998,11,8.8000002,-,-,-,-,53,125,27,56.299999,0,0,0,0,0,0,48,69.599998,35,1,1.4,1,1.4,50.700001,0,0,0,0,113,2,1.8,-,-,-,-,-,-,-,-,-,17,2,1702017
51702019,51702019,CAMARINES SUR,BALATAN,Tomatarayo,2009,78,376,14,81,90,18,20,14,48.299999,15,12.6,-,-,-,-,29,119,2,2.5,0,0,1,1.3,2,2.5999999,57,73.099998,43,24,30.799999,31,39.700001,55.099998,1,0.30000001,0,0,91,7,7.6999998,-,-,-,-,-,-,-,-,-,17,2,1702019
51704005,51704005,CAMARINES SUR,BOMBON,Pagao (San Juan),2009,92,393,7,56,72,8,11.1,24,52.200001,24,20.299999,-,-,-,-,46,118,1,1.8,0,0,3,3.3,2,2.2,70,76.099998,52,5,5.4000001,8,8.6999998,56.5,0,0,2,2.2,149,1,0.69999999,-,-,-,-,-,-,-,-,-,17,4,1704005
51704001,51704001,CAMARINES SUR,BOMBON,San Antonio,2009,714,3610,85,561,678,170,25.1,147,42.400002,163,15.9,-,-,-,-,347,1025,2,0.40000001,0,0,4,0.60000002,15,2.0999999,510,71.400002,410,33,4.5999999,80,11.2,57.400002,10,0.30000001,0,0,1179,147,12.5,-,-,-,-,-,-,-,-,-,17,4,1704001
51704002,51704002,CAMARINES SUR,BOMBON,San Francisco,2009,329,1713,49,303,356,81,22.799999,82,51.599998,78,15.1,-,-,-,-,159,515,15,5,0,0,4,1.2,3,0.89999998,244,74.199997,200,3,0.89999998,107,32.5,60.799999,8,0.5,25,7.5999999,554,20,3.5999999,-,-,-,-,-,-,-,-,-,17,4,1704002
51704003,51704003,CAMARINES SUR,BOMBON,San Isidro (Pob.),2009,229,1187,28,134,205,32,15.6,28,22.6,17,5.1999998,-,-,-,-,124,329,18,13.4,0,0,13,5.6999998,0,0,96,41.900002,53,1,0.40000001,21,9.1999998,23.1,0,0,1,0.40000001,428,18,4.1999998,-,-,-,-,-,-,-,-,-,17,4,1704003
51704004,51704004,CAMARINES SUR,BOMBON,San Jose (Pob.),2009,271,1279,35,188,226,38,16.799999,23,16.9,14,3.9000001,-,-,-,-,136,362,0,0,0,0,0,0,2,0.69999999,162,59.799999,122,0,0,21,7.6999998,45,0,0,0,0,386,33,8.5,-,-,-,-,-,-,-,-,-,17,4,1704004
51704006,51704006,CAMARINES SUR,BOMBON,San Roque (Pob.),2009,530,2534,56,342,443,92,20.799999,63,26.5,46,6.8000002,-,-,-,-,238,681,14,4.0999999,0,0,7,1.3,20,3.8,286,54,211,1,0.2,45,8.5,39.799999,2,0.1,1,0.2,937,67,7.1999998,-,-,-,-,-,-,-,-,-,17,4,1704006
51704008,51704008,CAMARINES SUR,BOMBON,Santo Domingo,2009,400,1990,57,314,389,59,15.2,71,36.599998,52,8.8999996,-,-,-,-,194,583,15,4.8000002,0,0,4,1,14,3.5,210,52.5,162,2,0.5,70,17.5,40.5,11,0.60000002,1,0.30000001,614,31,5,-,-,-,-,-,-,-,-,-,17,4,1704008
51704007,51704007,CAMARINES SUR,BOMBON,Siembre,2009,403,1989,50,318,401,91,22.700001,76,41.299999,78,13.3,-,-,-,-,184,585,3,0.89999998,0,0,2,0.5,2,0.5,338,83.900002,300,26,6.5,127,31.5,74.400002,0,0,9,2.2,645,63,9.8000002,-,-,-,-,-,-,-,-,-,17,4,1704007
51707001,51707001,CAMARINES SUR,CABUSAO,Barcelonita,2008,540,2457,58,380,460,86,18.700001,85,36.200001,72,10.4,-,-,-,-,235,695,41,10.8,0,0,31,5.6999998,25,4.5999999,311,57.599998,247,25,4.5999999,124,23,45.700001,1,0,28,5.1999998,653,24,3.7,-,-,-,-,-,-,-,-,-,17,7,1707001
51707002,51707002,CAMARINES SUR,CABUSAO,Biong,2008,289,1404,37,243,302,44,14.6,51,40.200001,53,12.4,-,-,-,-,127,429,2,0.80000001,0,0,6,2.0999999,8,2.8,224,77.5,189,12,4.1999998,17,5.9000001,65.400002,0,0,43,14.9,336,8,2.4000001,-,-,-,-,-,-,-,-,-,17,7,1707002
51707004,51707004,CAMARINES SUR,CABUSAO,Camagong,2008,267,1254,39,178,225,38,16.9,48,38.099998,36,10.3,-,-,-,-,126,351,19,10.7,0,0,11,4.0999999,3,1.1,149,55.799999,96,2,0.69999999,19,7.0999999,36,14,1.1,27,10.1,453,19,4.1999998,-,-,-,-,-,-,-,-,-,17,7,1707004
51707005,51707005,CAMARINES SUR,CABUSAO,Castillo,2008,1048,4740,104,684,838,166,19.799999,173,33.299999,160,11.8,-,-,-,-,519,1357,78,11.4,0,0,92,8.8000002,66,6.3000002,734,70,588,56,5.3000002,237,22.6,56.099998,0,0,248,23.700001,1303,63,4.8000002,-,-,-,-,-,-,-,-,-,17,7,1707005
51707006,51707006,CAMARINES SUR,CABUSAO,New Poblacion,2008,276,1145,26,168,173,40,23.1,31,26.700001,26,9,-,-,-,-,116,289,42,25,0,0,44,15.9,72,26.1,153,55.400002,100,19,6.9000001,37,13.4,36.200001,1,0.1,26,9.3999996,339,11,3.2,-,-,-,-,-,-,-,-,-,17,7,1707006
