brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
76101001,76101001,SIQUIJOR,ENRIQUE VILLANUEVA,Balolong,2006,30,132,2,23,13,2,15.4,0,0,0,0,-,-,-,-,11,24,1,4.3000002,0,0,2,6.6999998,0,0,17,56.700001,16,1,3.3,3,10,53.299999,0,0,0,0,51,2,3.9000001,-,-,-,-,-,-,-,-,-,61,1,6101001
76101002,76101002,SIQUIJOR,ENRIQUE VILLANUEVA,Bino-ongan,2006,114,462,10,34,60,12,20,10,27,9,9.3000002,-,-,-,-,37,97,2,5.9000001,0,0,0,0,1,0.89999998,78,68.400002,74,0,0,15,13.2,64.900002,0,0,12,10.5,182,12,6.5999999,-,-,-,-,-,-,-,-,-,61,1,6101002
76101003,76101003,SIQUIJOR,ENRIQUE VILLANUEVA,Bitaug,2006,172,800,11,90,136,25,18.4,23,27.700001,26,11.9,-,-,-,-,83,219,1,1.1,0,0,10,5.8000002,11,6.4000001,135,78.5,123,0,0,10,5.8000002,71.5,0,0,55,32,284,28,9.8999996,-,-,-,-,-,-,-,-,-,61,1,6101003
76101004,76101004,SIQUIJOR,ENRIQUE VILLANUEVA,Bolot,2006,31,149,0,16,26,6,23.1,5,35.700001,6,15,-,-,-,-,14,40,0,0,0,0,0,0,4,12.9,27,87.099998,27,0,0,0,0,87.099998,0,0,0,0,67,10,14.9,-,-,-,-,-,-,-,-,-,61,1,6101004
76101005,76101005,SIQUIJOR,ENRIQUE VILLANUEVA,Camogao,2006,51,269,0,29,31,5,16.1,3,15.8,1,2,-,-,-,-,19,50,0,0,0,0,0,0,0,0,19,37.299999,13,0,0,10,19.6,25.5,0,0,0,0,113,11,9.6999998,-,-,-,-,-,-,-,-,-,61,1,6101005
76101006,76101006,SIQUIJOR,ENRIQUE VILLANUEVA,Cangmangki,2006,100,409,0,34,41,9,22,9,39.099998,7,10.9,-,-,-,-,23,64,0,0,0,0,0,0,0,0,63,63,53,0,0,15,15,53,0,0,0,0,151,24,15.9,-,-,-,-,-,-,-,-,-,61,1,6101006
76101007,76101007,SIQUIJOR,ENRIQUE VILLANUEVA,Libo,2006,175,772,13,83,96,17,17.700001,22,34.900002,16,10.1,-,-,-,-,63,159,0,0,0,0,2,1.1,1,0.60000002,76,43.400002,58,0,0,7,4,33.099998,8,1,37,21.1,297,49,16.5,-,-,-,-,-,-,-,-,-,61,1,6101007
76101008,76101008,SIQUIJOR,ENRIQUE VILLANUEVA,Lomangcapan,2006,153,608,0,70,91,25,27.5,20,40.799999,19,13.6,-,-,-,-,49,140,2,2.9000001,1,100,2,1.3,1,0.69999999,90,58.799999,75,0,0,12,7.8000002,49,0,0,1,0.69999999,196,23,11.7,-,-,-,-,-,-,-,-,-,61,1,6101008
76101009,76101009,SIQUIJOR,ENRIQUE VILLANUEVA,Lotloton,2006,111,489,8,54,57,15,26.299999,7,18.9,7,7.4000001,-,-,-,-,37,94,0,0,0,0,6,5.4000001,2,1.8,83,74.800003,68,0,0,16,14.4,61.299999,0,0,0,0,199,50,25.1,-,-,-,-,-,-,-,-,-,61,1,6101009
76101010,76101010,SIQUIJOR,ENRIQUE VILLANUEVA,Manan-ao,2006,30,122,1,12,16,2,12.5,4,40,4,15.4,-,-,-,-,10,26,1,8.3000002,0,0,0,0,0,0,12,40,9,3,10,9,30,30,0,0,8,26.700001,58,4,6.9000001,-,-,-,-,-,-,-,-,-,61,1,6101010
