brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
160201001,160201001,AGUSAN DEL NORTE,BUENAVISTA,Abilan,2007,339,1659,36,281,300,48,16,80,48.799999,60,12.9,-,-,-,-,164,464,0,0,0,0,6,1.8,7,2.0999999,198,58.400002,143,74,21.799999,40,11.8,42.200001,0,0,0,0,559,43,7.6999998,-,-,-,-,-,-,-,-,-,2,1,201001
160201002,160201002,AGUSAN DEL NORTE,BUENAVISTA,Agong-ong,2007,250,1117,19,127,188,25,13.3,38,27.1,24,7.3000002,-,-,-,-,140,328,0,0,0,0,3,1.2,1,0.40000001,124,49.599998,90,2,0.80000001,10,4,36,0,0,0,0,304,11,3.5999999,-,-,-,-,-,-,-,-,-,2,1,201002
160201003,160201003,AGUSAN DEL NORTE,BUENAVISTA,Alubijid,2007,568,2558,54,344,463,80,17.299999,117,50.599998,100,14.4,-,-,-,-,231,694,16,4.6999998,2,3.5999999,18,3.2,11,1.9,307,54,194,59,10.4,77,13.6,34.200001,14,0.5,140,24.6,973,80,8.1999998,-,-,-,-,-,-,-,-,-,2,1,201003
160201004,160201004,AGUSAN DEL NORTE,BUENAVISTA,Guinabsan,2007,701,3484,106,603,677,152,22.5,176,51.599998,191,18.799999,-,-,-,-,341,1018,131,21.700001,5,4.5,53,7.5999999,25,3.5999999,507,72.300003,401,208,29.700001,275,39.200001,57.200001,142,4.0999999,92,13.1,1078,125,11.6,-,-,-,-,-,-,-,-,-,2,1,201004
160201027,160201027,AGUSAN DEL NORTE,BUENAVISTA,Lower Olave,2007,293,1514,54,270,329,72,21.9,116,60.700001,115,22.1,-,-,-,-,191,520,4,1.5,0,0,6,2,5,1.7,123,42,58,5,1.7,179,61.099998,19.799999,0,0,0,0,422,11,2.5999999,-,-,-,-,-,-,-,-,-,2,1,201027
160201007,160201007,AGUSAN DEL NORTE,BUENAVISTA,Macalang,2007,345,1623,30,225,317,75,23.700001,82,49.099998,92,19,-,-,-,-,167,484,28,12.4,0,0,5,1.4,3,0.89999998,174,50.400002,99,41,11.9,69,20,28.700001,2,0.1,0,0,541,96,17.700001,-,-,-,-,-,-,-,-,-,2,1,201007
160201008,160201008,AGUSAN DEL NORTE,BUENAVISTA,Malapong,2007,221,1065,22,147,182,43,23.6,65,53.299999,51,16.799999,-,-,-,-,122,304,1,0.69999999,0,0,0,0,4,1.8,119,53.799999,90,12,5.4000001,68,30.799999,40.700001,0,0,0,0,360,2,0.60000002,-,-,-,-,-,-,-,-,-,2,1,201008
160201009,160201009,AGUSAN DEL NORTE,BUENAVISTA,Malpoc,2007,235,1067,19,145,191,33,17.299999,49,53.299999,61,21.6,-,-,-,-,92,283,11,7.5999999,1,5,20,8.5,2,0.89999998,122,51.900002,83,6,2.5999999,58,24.700001,35.299999,1,0.1,1,0.40000001,326,24,7.4000001,-,-,-,-,-,-,-,-,-,2,1,201009
160201010,160201010,AGUSAN DEL NORTE,BUENAVISTA,Manapa,2007,732,3481,74,481,635,150,23.6,133,42,148,15.5,-,-,-,-,317,952,14,2.9000001,0,0,78,10.7,16,2.2,238,32.5,145,21,2.9000001,110,15,19.799999,7,0.2,0,0,1059,24,2.3,-,-,-,-,-,-,-,-,-,2,1,201010
160201011,160201011,AGUSAN DEL NORTE,BUENAVISTA,Matabao,2007,692,3247,1,456,542,126,23.200001,109,34.200001,140,16.299999,-,-,-,-,319,861,0,0,0,0,10,1.4,1,0.1,168,24.299999,86,1,0.1,151,21.799999,12.4,0,0,1,0.1,989,60,6.0999999,-,-,-,-,-,-,-,-,-,2,1,201011
