brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
97302001,97302001,ZAMBOANGA DEL SUR,Aurora,Acad,2007,-,-,20,160,191,49,25.700001,63,59.400002,65,21.9,-,-,-,-,-,297,6,3.8,0,0,2,1.1,8,4.4000001,-,97.800003,-,18,9.8999996,-,72.900002,94.5,2,0.2,17,9.3999996,-,0,0,130,0,0,-,-,-,-,-,-,73,2,7302001
97302002,97302002,ZAMBOANGA DEL SUR,Aurora,Alang-alang,2007,-,-,7,66,90,16,17.799999,19,36.5,15,10.6,-,-,-,-,-,142,2,3,0,0,1,1,1,1,-,64.900002,-,1,1,-,27.1,48.5,0,0,5,5.1999998,-,1,0.80000001,50,3,5.6999998,-,-,-,-,-,-,73,2,7302002
97302003,97302003,ZAMBOANGA DEL SUR,Aurora,Alegria,2007,-,-,7,49,58,14,24.1,12,34.299999,14,15.1,-,-,-,-,-,93,7,14.3,0,0,0,0,0,0,-,60.5,-,1,1.2,-,14.8,44.400002,0,0,0,0,-,0,0,38,0,0,-,-,-,-,-,-,73,2,7302003
97302004,97302004,ZAMBOANGA DEL SUR,Aurora,Anonang,2007,-,-,26,217,285,73,25.6,89,42.599998,104,21.1,-,-,-,-,-,494,1,0.5,0,0,1,0.30000001,7,2.2,-,56.700001,-,11,3.5,-,30.4,38.5,0,0,1,0.30000001,-,4,0.89999998,184,0,0,-,-,-,-,-,-,73,2,7302004
97302005,97302005,ZAMBOANGA DEL SUR,Aurora,Bagong Mandaue,2007,-,-,10,64,62,14,22.6,27,69.199997,27,26.700001,-,-,-,-,-,101,13,20.299999,0,0,0,0,2,2.7,-,67.599998,-,72,98.599998,-,51.400002,55.400002,0,0,4,5.4000001,-,1,0.69999999,54,0,0,-,-,-,-,-,-,73,2,7302005
97302007,97302007,ZAMBOANGA DEL SUR,Aurora,Bagong Maslog,2007,-,-,11,95,99,21,21.200001,34,72.300003,23,15.8,-,-,-,-,-,146,0,0,0,0,0,0,0,0,-,70,-,82,74.5,-,73.599998,44.5,0,0,0,0,-,0,0,76,0,0,-,-,-,-,-,-,73,2,7302007
97302008,97302008,ZAMBOANGA DEL SUR,Aurora,Bagong Oslob,2007,-,-,17,94,98,26,26.5,24,44.400002,29,19.1,-,-,-,-,-,152,0,0,0,0,38,31.4,0,0,-,93.400002,-,119,98.300003,-,54.200001,85.099998,0,0,0,0,-,0,0,81,1,1.2,-,-,-,-,-,-,73,2,7302008
97302009,97302009,ZAMBOANGA DEL SUR,Aurora,Bagong Pitogo,2007,-,-,6,49,65,21,32.299999,22,61.099998,33,32.700001,-,-,-,-,-,101,0,0,0,0,1,1.2,0,0,-,77.800003,-,42,51.900002,-,87.699997,53.099998,0,0,0,0,-,0,0,40,0,0,-,-,-,-,-,-,73,2,7302009
97302010,97302010,ZAMBOANGA DEL SUR,Aurora,Baki,2007,-,-,3,45,66,12,18.200001,23,45.099998,6,5.0999999,-,-,-,-,-,117,0,0,0,0,5,6.1999998,2,2.5,-,82.699997,-,80,98.800003,-,46.900002,71.599998,0,0,6,7.4000001,-,0,0,37,0,0,-,-,-,-,-,-,73,2,7302010
97302011,97302011,ZAMBOANGA DEL SUR,Aurora,Balas,2007,-,-,72,346,352,88,25,101,53.200001,127,23.4,-,-,-,-,-,542,11,3.2,1,0,40,11.5,31,8.8999996,-,54.200001,-,1,0.30000001,-,91.699997,37,2,0.1,94,26.9,-,2,0.30000001,284,2,0.69999999,-,-,-,-,-,-,73,2,7302011
