province_or_city,position,name,nickname,party_affiliation,votes_obtained
Abra,Representative- Lone District,"Bernos, Maria Jocelyn Valera",Joy,Philippine Democratic Socialist Party,48227
Agusan Del Norte,Representative- 1st District,"Aquino, Jose II Sabijon",Joboy,Lakas-Kampi,88656
Agusan Del Norte,Representative- 2nd District,"Amante, Angelica Malbas",Angel,Lakas-Kampi,97196
Agusan Del Sur,Representative- 1st District,"Plaza, Maria Valentina Galido",Tina,Lakas-Kampi,75986
Agusan Del Sur,Representative- 2nd District,"Mellana, Evelyn Plaza",Bebs,Lakas-Kampi,61018
Aklan,Representative- Lone District,"Miraflores, Florencio Tumbocon",Joeben,Lakas-Kampi,178190
Albay,Representative- 1st District,"Lagman, Edcel Castelar",Edcel,Lakas-Kampi,129083
Albay,Representative- 2nd District,"Bichara, Al Francis Del Castillo",Al,Nacionalista Party ,117611
Albay,Representative- 3rd District,"Gonzalez, Fernando Vallejo",Nando,Liberal Party,96000
Antique,Representative- Lone District,"Javier, Paolo Everardo Sales",Paolo,Lakas-Kampi,93081
Apayao,Representative- Lone District,"Begtang, Eleanor Bulut",Leah,Lakas-Kampi,37006
Aurora,Representative- Lone District,"Angara, Juan Edgardo Manalang",Sonny,Laban ng Demokratikong Pilipino,60440
Basilan,Representative- Lone District,"Hataman-Salliman, Hadjiman Sabbihi",Jim,Independentependent,48459
Bataan,Representative- 1st District,"Roman, Herminia Batista",Minia,Lakas-Kampi,80400
Bataan,Representative- 2nd District,"Garcia, Albert Raymond Sandejas",Abet,Lakas-Kampi,121106
Batanes,Representative- Lone District,"Abad, Henedina Razon",Dina,Liberal Party,3143
Batangas,Representative- 1st District,"Apacible, Tomas Villadolid",Tom,Liberal Party,124916
Batangas,Representative- 2nd District,"Mandanas, Hermilando Ingco",Dodo,Liberal Party,155516
Batangas,Representative- 3rd District,"Collantes, Nelson Perez",Sonny,Puwersa ng Masang Pilipino,67238
Batangas,Representative- 4th District,"Mendoza, Mark Llandro Latorre",Dong,Nationalist People's Coalition,248491
Benguet,Representative- Lone District,"Cosalan, Ronald Morales",Ronnie,Liberal Party,48732
Benguet,Representative- Lone District,"Vergara, Bernardo Mangaoang",Bernie,Lakas-Kampi,27020
Biliran,Representative- Lone District,"Espina, Rogelio Jimenez",Roger,Nacionalista Party ,40010
Bohol,Representative- 1st District,"Relampagos, Rene Lopez",Rene,Laban ng Demokratikong Pilipino,92220
Bohol,Representative- 2nd District,"Aumentado, Erico Boyles",Rico,Lakas-Kampi,100391
Bohol,Representative- 3rd District,"Yap, Arthur Cua",Art,Lakas-Kampi,158344
Bukidnon,Representative- 1st District,"Paras, Jesus Emmanuel Magbag",Jess,Nationalist People's Coalition,76432
Bukidnon,Representative- 2nd District,"Flores, Florencio, Jr. Tadiar",Doc Boy,Lakas-Kampi,120283
Bukidnon,Representative- 3rd District,"Zubiri, Jose Ma. III Fernandez",Joey,Lakas-Kampi,132682
