Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Disbursement_Rate,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Time_Elapsed,Utilization_Rate,Balance,Loan_Status
PH-7153,ARMM Social Fund for Peace and Development,WB,Project,ARG,ARMM,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00%,0.00,3.19,3.19,30.41,30.92,33.60,33.60,98.35%,0.51,0,0.00%,6/30/08,5/31/10,5/19/03,79.91%,90.51%,3.19,Ongoing
PH-P235,ARMM Social Fund for Peace and Development,GOJ-JICA,Project,ARG,ARMM,0.10,0.72,1.28,1.45,3.55,1.79,3.35,4.30,2.61,12.05,0.00,0.00,0.00,0.00,29.49%,0.00,15.22,15.22,12.16,20.06,27.22,27.22,60.65%,7.89,0,23.35%,4/6/11,12/6/12,4/6/04,54.64%,44.69%,15.06,Ongoing
PH-P226,Subic-Clark-Tarlac Expressway Project,GOJ-JICA,Project,BCDA,III,30.58,11.05,13.61,12.02,67.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,28.55,28.55,489.77,592.92,650.55,650.55,82.60%,103.15,0,235.57%,12/1/09,12/17/10,12/1/01,78.32%,75.29%,160.77,Ongoing
PH-7431,National Program Support for Tax Administration,WB,Program,BIR,Nationwide,0.23,0.01,0.05,0.00,0.30,0.92,0.92,0.92,0.92,3.68,0.00,0.00,0.00,0.00,8.07%,0.00,10.90,10.90,0.40,4.76,11.00,11.00,8.40%,4.36,0,2.73%,12/31/11,6/30/13,6/25/07,25.26%,3.64%,10.60,Ongoing
CHI-3,Non-Intrusive Container Inspection System Project,China,Project,BOC,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,12.54,12.54,50.00,50.00,50.00,50.00,100.00%,0.00,0,0.00%,3/16/10,,6/20/06,67.77%,100.00%,0.00,Closed
CHI-4,Non-Intrusive Container Inspection System Project II,China,Project,BOC,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,17.80,17.80,100.00,100.00,100.00,100.00,100.00%,0.00,0,0.00%,3/16/10,,3/16/07,59.85%,100.00%,0.00,Closed
1224P,Second Cordillera Highland Agricultural Resource Management Project,OFID,Project,DA,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0,0.00,0,0.00%,7/31/13,7/31/14,2/4/09,-1.75%,0.00%,10.00,Newly Signed
1772-PHI,Infrastructure for Rural Productivity  Enhancement Sector,ADB,Project,DA,Multi-Regional,1.65,2.62,1.95,2.75,8.97,1.50,3.00,4.00,6.50,15.00,0.00,0.00,0.00,0.00,59.77%,0.00,58.34,58.34,25.63,61.65,75.00,75.00,41.57%,36.03,0,15.37%,6/30/08,8/16/12,2/4/02,65.57%,34.17%,49.37,Ongoing
749-PH,Second Cordillera Highland Agricultural Resource Management Project,IFAD,Project,DA,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,26.60,0.00,0.00,26.60,26.60,0,0.00,0,0.00%,6/30/16,,11/14/08,1.69%,0.00%,26.60,Newly Effective
CHI-2,General Santos Fishing Port Complex Expansion/Improvement Project,China,Project,DA,XI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,24.98,24.49,24.99,24.99,102.02%,-0.49,0,0.00%,3/15/09,,3/15/03,96.62%,99.98%,0.01,Ongoing
PH-7236,National Program Support for Diversified Farm Income and Market Development Project,WB,Program,DA,Multi-Regional,4.34,6.77,4.98,0.00,16.09,5.94,5.94,5.94,5.94,23.76,0.00,0.00,0.00,0.00,67.71%,0.00,48.72,48.72,27.32,50.00,60.00,60.00,54.65%,22.68,0,33.02%,6/30/09,,10/29/04,89.38%,45.54%,32.68,Ongoing
PH-7440,Mindanao Rural Development Project-Phase 2,WB,Project,DA,Mindanao Wide,1.00,0.50,0.35,0.20,2.05,1.50,0.92,0.92,0.92,4.26,0.00,0.00,0.00,0.00,48.12%,0.00,82.75,82.75,3.05,13.50,83.75,83.75,22.59%,10.45,0,2.48%,12/31/12,12/31/14,7/3/07,19.98%,3.64%,80.70,Ongoing
