,,,,,,,,,,,,,,,179.86,,,Annex-4-A,,,,
,CY 2010 ODA Portfolio Review,,,,,,,,,,,,,,,,,,,,,
,LIST OF GRANT-ASSISTED PROJECTS IMPLEMENTED/ MONITORED BY GOP,,,,,,,,,,,,,,,,,,,,,
CY 2009 LIST OF ODA GRANTS,,,,,,,,,,,,,,,,,,,,,,
(Figures in US$M),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Project_Title,Development_Partner,Funding_Institution,Category_of_IA/EA,Executing_Agency,Implementing_Agency,Grant_Amount_in_Donor's_Currency,Grant_Amount,Cumulative_Disbursement_in_Donor's_Currency,Utilization,Utilization_Rate,Grant_Amount-Utilization,Project_Start,Project_Closing_Date,Time_Elapsed,Time_Elapsed-Utilization_Rate,Sector,Region,Exact_Location,Province,Classification,DPs_Classifications
1,"26th Session of Asia and Pacific Plant Protection Comission (APPPC) – Mandatory contributions paid by a Contributing Contracting Government as per articles II, III, IV, XIV to the APPPC agreement    ",FAO,,GOP,Others,Others,0.34,0.34,,0.09,0.26,0.25,1-Jan-10,31-Dec-11,0.50,0.24,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TA,
2,ACT for Peace,UNDP,,GOP,MINDA,MINDA,,20.61,,19.97,0.97,0.64,1-Jan-05,31-Dec-10,1.00,0.03,Social Reform and Community Development,Multi-Regional,,,Others,
3,Action for Conflict Transformation (ACT) for Peace Programme – Caraga Region (Extension),New Zealand,,GOP,UNDP/MEDCO,UNDP/MEDCO,,1.10,,0.99,0.90,0.11,1-Jul-08,31-Dec-10,1.00,0.10,Social Reform and Community Development,Region-specific,Region XIII,,Others,
4,Adapting Climate Change Impacts through the Construction of Water Impounding Facilities and Grains Processing Complex in the Philippines,,KOICA,GOP,DA,DA,,19.13,,3.63,0.19,15.50,1-Jan-10,31-Dec-12,0.33,0.14,"Agriculture, Agrarian Reform and Natural Resources",Multi-Regional,,,Mixed,
5,Additional funding for the Rehabilitation and Strengthening of the Albay Public Safety and Emergency Management Office,Spain,,GOP,Provincial Government of Albay,Provincial Government of Albay,0.02,0.03,,0.01,0.34,0.02,1-Feb-10,1-Feb-11,0.92,0.57,Social Reform and Community Development,Region-specific,V,,Others,
6,Additional funding for the Rehabilitation of the Emergency School Shelter in Camalig,Spain,,GOP,Provincial Government of Albay,Provincial Government of Albay,0.36,0.48,,0.02,0.04,0.46,1-Feb-10,1-Feb-11,0.92,0.87,Social Reform and Community Development,Region-specific,V,,Others,
7,Additional funding for the Rehabilitation of the Emergency School Shelter in Guinobatan,Spain,,GOP,Provincial Government of Albay,Provincial Government of Albay,0.65,0.86,,0.00,0.00,0.86,1-Feb-10,1-Feb-11,0.92,0.92,Social Reform and Community Development,Region-specific,,,Others,
8,Advanced Bioindustry,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,11-May-10,16-Jul-10,3.54,2.54,"Industry, Trade and Tourism",Unspecified,,,TCP,
9,Advanced IT Human Resource Development Project,JICA,,GOP,,,,0.39,,0.39,1.00,0.00,1-Mar-10,28-Feb-11,0.84,-0.16,Infrastructure Development,Unspecified,,,TCP,
10,Advanced Maritime Education on Information Technology (Navigation),JICA,,GOP,,,,0.01,,0.01,1.00,0.00,25-May-10,3-Dec-10,1.15,0.15,Infrastructure Development,Unspecified,,,TCP,
11,Aggregated Strengthening of the Albay Health Emergency Management Program Phase 2,Spain,,GOP,Provincial Government of Albay,Provincial Government of Albay,0.42,0.56,,0.30,0.54,0.26,1-Jan-10,1-Jan-11,1.00,0.46,Social Reform and Community Development,Region-specific,V,,Others,
12,Agricultural Infrastructure Improvement in the Fields for Rural Development,JICA,,GOP,,,,0.02,,0.02,1.00,0.00,18-May-10,7-Aug-10,2.82,1.82,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
