operator,operator_address,date_established,families_served
Silangan Lias MPC,"Brgy. Silangan Lias, Barlig, Mountain Province",2/10/2010,-
Eastern Bontoc National Agricultural and Vocational High School (EBNAVHS) Teachers and Employees Consumers Cooperative ,"Brgy. Lingoy, Barlig, Mountain Province",2/10/2010,30
Saint Williams MPC,"Brgy. Butigue, Paracelis, Mountain Province",3/12/2012,-
Silangan Lias MPC,"Brgy. Silangan Lias, Barlig, Mountain Province",2/10/2010,350
BLGU/Bansa Balicog FarmersÍ Association,"Monamon Norte, Bauko, Mountain Province",9/21/2011,500
Bacdangan MPC,"Brgy. Sinto, Bauko, Mountain Province",4/17/2012,-
"Zumayngan Indigenous Farmers Association and Development, Inc.","Brgy. Talubin, Bontoc, Mountain Province",7/1/2011,450
Kapangan Central Consumers Cooperative ,"Central, Kapangan, Benguet",12/17/2009,337
Sagubo MPC,"Sitio Landing, Brgy. Sagubo, Kapangan, Benguet",12/17/2009,319
Gadang ARC MPC,"Keyang, Gadang, kapangan, Benguet",9/16/2008,312
San Ramon MPC,"Brgy. San Ramon West, Manabo, Abra",3/1/2009,3910
Green Gold RIC,"Twin Peaks, Tuba, Benguet",1/27/2010,1799
Pagala West WomenÍs Association,"Brgy. Pagala, Bucay, Abra",12/27/2011,350
Kayabang MPC,"Monglo, Bayabas, Sablan, Benguet",1/27/2010,135
MLGU,"Brgy. Cabaruan, Danglas, Abra",7/10/2008,200
Timpuyog Ti  Inna RIC,"Brgy. Salnec, Bucay, Abra",4/12/2012,-
Brgy. Banengbeng Bagsakan Consumers Cooperative,"Brgy. Banengbeng, Sablan, Benguet",1/1/2010,210
Luba WomenÍs Federation for Peace and Development,"Poblacion, Luba, Abra",6/9/2010,1196
LGU,"Brgy. Poblacion, Natonin, Mountain Province",2/19/2009,1316
Gusaran MPC,"Gusaran, Kabayan, Benguet",12/1/2010,288
BLGU,"Brgy. Alunogan, Natonin, Mountain Province",2/15/2012,425
LGU-Adaoay,"Kinejang, Adaoay, Kabayan, Benguet",12/2/2010,130
Tubo CLC-ARB MPC,"Brgy. Supo, Tubo, Abra",6/16/2010,4353
Dagopan MPC,"Brgy. Poblacion, Natonin, Mountain Province",5/1/2011,1316
BLGU,"Brgy. Caba, Lagawe, Ifugao",3/10/2009,465
Bashoy Farmers Association Consumers Cooperative,"Lebeng, Bashoy, Kabayan, Benguet",3/15/2012,963
"Balococ,  Cashet, Tabu, Langag MPC","Balococ, Dalupirip, Itogon, Benguet",6/17/2010,500
Municipality of Pilar Officials and Employees MPC,"Pilar Municipal Hall Annex, Pilar, Abra",7/9/2008,300
Itogon Government Employees MPC,"Poblacion, Itogon, Benguet",7/27/2010,255
MLGU,"Brgy. 3 Poblacion, Dolores, Eastern Samar",-,-
San Roque Farmers and Displaced Workers Multi-Purpose Cooperative,"Brgy. Forest Drive Village No.1, San Roque, Bislig City, Surigao del Sur ",7/25/2008,2754
"Sto. Nio, Pontod, Pong-onm Hornasan Multi-Purpose Cooperative","Brgy. Sto. Nino, San Agustin, Surigao del Sur",3/11/2010,200
Rizal  Multi-Purpose Cooperative (new operator),"Brgy. Rizal, San Francisco, Agusan del Sur",3/31/2010,130
Barobo Taboan VendorsÍ Association (BATAVA),"Poblacion, Barobo, Surigao del Sur",4/23/2008,1350
Municipal Agriculture Office,"Brgy. Bad-as, Placer, Surigao del Norte",4/8/2009,131
Balangayan Butuan Cooperative,"Brgy. Pagatpatan, Butuan City, Agusan del Norte",3/26/2008,958
Patin-ay Multi-Purpose Cooperative,"Brgy. Patin-ay, Prosperidad, Agusan del Sur",1/19/2010,2310
Aclan Coconut FarmersÍ Multi-Purpose Cooperative,"Brgy. Aclan, Nasipit, Agusan del Norte",2/9/2011,700
Municipal Agriculture Office,"Brgy. Poblacion, Malimono, Surigao del Norte",6/27/2011,110
Manila de Bugabos Multi-Purpose Cooperative,"Brgy. Sto. Cruz, Butuan City, Agusan del Norte",7/26/2011,80
Marcelina WomenÍs Cooperative,"Brgy. Marcelina, Bayugan City, Agusan del Sur",6/20/2008 (re-opened 12/4/2011),150
San Roque Rural Improvement Club,"Brgy. San Roque, Madrid, Surigao del Sur",12/15/2010,170
Brgy. Council,"Brgy. Mabuhay, Prosperidad, Agusan Del Sur",4/29/2010,450
Lusiama IrrigatorsÍ Association,"Brgy. Lucena, Prosperidad, Agusan del Sur",7/27/2011,187
Lumbocan HomeownersÍ Integrated Cooperative,"Brgy. Lumbocan, Butuan City, Agusan del Norte",10/18/2008 (re-opened 10/11/2011),100
Brgy. Council,"Brgy. Diatagon, Tago, Surigao del Sur",-,120
Kitcharao Agusan del Norte ProducersÍ Corporation,"Poblacion, Kitcharao, Agusan del Norte",4/20/2010,954
"Crossing Luna, Beawan, Esperanza Vegetable ProducersÍ  Multi-Purpose Cooperative","Brgy. Crossing Luna, Esperanza, Agusan del Sur",3/25/2010,4000
Malambu-on Multi-Purpose Cooperative,"Brgy. Del Monte, Talacogon, Agusan del Sur",11/11/2011,500
Dumalagan Multi-Purpose Cooperative,"BFT Poblacion, Socorro, Siargao Island, Surigao Del Norte",11/18/2011,500
Castillo Village Rural Improvement Club,"Brgy. Castillo Village, Bislig City, Surigao del Sur",4/29/2010,1150
Amag FarmersÍ Organization,"Brgy. Amag, Bayabas, Surigao del Sur",12/15/2010,300
Esperanza FarmersÍ Credit Cooperative,"Brgy. Rizal, Santa Monica, Siargao Island, Surigao del Norte",4/15/2010,300
Municipal Government of Del Carmen ,"Poblacion, Del Carmen, Siargao Island, Surigao del Norte",4/1/2011,-
