island_group,region,sugar_mills,rated_capacity_tc_d,metro_manila_address,metro_manila_contact_info,mill_site_address,mill_site_contact_info,president
Luzon,Region III,Sweet Crystals-SF  (formerly Basecom),"3,500","5/F National Life Insurance Bldg., 6762 Ayala Avenue, Makati City","Tel No. (02)812-7456, Fax No. (02)810-0554","Sto. Nino, City of San Fernando, Pampanga","Tel No. (045)963-6947, Fax No. (045)963-6947",Mr. Michael L. Escaler-President
Luzon ,Region IV-A,"Batangas Sugar Central, Inc.",5500 (CY 2010-2011),"9/F Fedman Bldg., Salcedo St., Legaspi Village, Makati City","Tel No. (02)818-6210, Fax No. (02) 894-4699","Brgy. Caloocan, Balayan, Batangas",Tel No. (043) 2118-601,"Mr. Federico M. Serrano-President, Mr. Rodolfo H. Salanguit-Resident Manager"
Luzon ,Region II,URC-Carsumco,"3,540","Suite 2201, Robinsons, Equitable Tower, no.4 ADB Ave., Corner Poveda St., Ortigas Center, Pasig City","Tel No. 637-5398, Tel No. 637-5021, Fax No. 395-2849","Sto. Domingo, Piat, Cagayan",Tel/Fax No. (078) 846-1702,"Mr. Renato P. Cabati-President, BU General Manager, Mr. Martin Michael Alviar-Operations Manager"
Luzon ,Region IV-A,"Central Azucarera Don Pedro, Inc.","13,000","6/F CG Bldg., 101 Aguirre St., Legaspi Vill., Makati City","Tel No. 810-8901 to 06, Tel No. 810-9251 to 57, Fax No. 817-1875/817-9247","Lumbangan, Nasugbu, Batangas","Tel No. (043)931-2302-04, Fax No. (043)931-2327","Mr. Renato C. Valencia-President, Mr. Dean L. Guevarra-Vice President, Resident Manager"
Luzon ,Region V,"Pensumil, Inc.","4,000","Tektite Tower, Rm. 1107 Ortigas Avenue, Pasig City",No Available Number,"Hima-ao, Pili, Camarines Sur",No Available Number,"Mr. William T. Enrile- President, Mr. Senen N. Goleta-Plant Manager"
Luzon ,Region III,Sweet Crystals Integrated Sugar Mill Corporation (PORAC),"2,500","5/F National Life Building, Ayala, Makati City","Tel No. (02) 651-5700, Fax No. (02) 893-7718","Barangay Planas, Porac, Pampanga","Tel No. (045)455-1821, Fax No. (045)455-1503",Mr. Michael L. Escaler-President
Luzon ,Region III,Central Azucarera de Tarlac,"7,200","JCS Building, 119 Dela Rosa St., Legaspi Vill., Makati City","Tel No. (02) 818-3911, Fax No. (632) 818-6270","San Miguel, 2301 Tarlac City","Tel No. (045)491-1056, Fax No. (45)491-1057","Mr. Jose S. Cojuangco, Jr.-President, Mr. Herman M. Gregorio-Resident Manager"
Negros,Region VII,"Central Azucarera de Bais, Inc.","8,500","5/F, Legaspi Towers, 200 Paseo de Roxas, Makati City","Tel No. 892-7471 to 75, Fax No. 818-1149","Bais Central, Bais City, Oriental Negros",Tel/Fax No. 541-5120,"Mr. Antonio Steven L. Chan-President, Filonila C. Zerna-Assistant Manager"
Negros,Region VI,Biscom Inc.,"14,000","6/F Legaspi Towers, 200 Paseo de Roxas, Makati City","Tel No. (02) 817-1551 to 55, Fax No. (02) 893-7455","Brgy. San Vicente, Binal-bagan, Negros Occidental","Tel No. (034)388-8221, Tel No. (034)388-8209, Fax No. (034)388-8538","Mr. Jose Mari L. Chan-President, Atty. Alfornso Chiu-General Manager"
Negros,Region VI,First Farmers  Holding Corporation,"4,800","Unit 406 City Land 10, Tower 11, H. V. Dela Costa St., Makati City","Tel No. (02) 894-2106, Fax No. (02) 892-0798","Dos Hermanas, Talisay City, Negros Occidental",Tel No. 476-3567,"Mr. Jose Ma. A. Villanueva-President, Mr. Trino S. Montinola III- Manager"
Negros,Region VI,Hawaiian-Philippine Company,"7,500","6/F Don Jacinto Bldg., 141 Salcedo St., 1229 Makati City","Tel No. (02) 818-7585, Fax No. (02) 844-8378",Silay-Hawaiian Central Negros Occidental,"Tel No. (034) 495-1495, Fax No. (034) 495-1118",Mr. Timothy T. Bennett-President
