type,title
Production Technology (Videos),Banana Production: Pests and Diseases Management
Production Technology (Videos),Corn Commodity Profile
Production Technology (Videos),Adlai a Promising Alternative Food Crop
Production Technology (Videos),Corn Production Technology
Production Technology (Videos),Coffee production Technology
Production Technology (Videos),Citrus Commodity Profile
Production Technology (Videos),Growing Ube with Vermi: The Ireneo Penticase Success Story
Production Technolgy Kit (Print),Corn Production Kit
Production Technolgy Kit (Print),Mango Production Kit
Production Technolgy Kit (Print),Banana Production Kits
Production Technolgy Kit (Print),Citrus
Production Technolgy Kit (Print),Durian
Production Technolgy Kit (Print),Lowland Vegetable Production
Success Stories (Videos),"Pagsusumikap at Pananampalataya sa Diyos: Susi sa Tagumpay ng Buhay, Kapitan Roger Salvador's Success Story (Corn)"
Success Stories (Videos),Kadong: A teacher-Turned extension Worker and Agri-Prenuer: A case of Adopting learnings for improved productivity and profitability in Rice Profitability in Rice Production (Rice)
Success Stories (Videos),"Rice Farming: A way to a better Life, A Success Story of Mr. Jomar Jarvinia"
Success Stories (Videos),Maura Ilagan' Success Story
Success Stories (Videos),From Draftsman to Farmer: Mang Dewey Albufera Success Story 
Success Stories (Videos),Rice Success Stories
Success Stories (Videos),Kabankalan: Mga Kwento ng tagumpay sa Masaganang Pasasaka ng Palay: Mga hakbang tungo sa magandang Kinabukasan
Success Stories (Videos),"A Little Paradise in Buac Gamay: Story of Benjamin ""Jun"" Gerona of Sogod, Southern, Leyte. Farming Innovation: Diversified farming and landscapped his farm to become and income generating eco-tourist destination"
Success Stories (Videos),Rice Unsung Heroes
Success Stories (Videos),Growing Ube with Vermi: The Ireneo Penticase Success Story
Success Stories (Videos),Success Story of Hon. Raymundo M. Alalong Sr.
Success Stories (Videos),The Teodoro Kub-ao Success Story
Success Stories (Videos),Malahutayong Pagpanguma Tuburan sa Mahayag nga Kaumaon
Success Stories (Videos),Vermicomposting: Turning Trash to Cash (Vermi1)
Success Stories (Videos),Ang Mga Natural na pataba sa likasaka (Foliar & Compost)
Success Stories (Videos),Rice Unsung Heroes
Success Stories (Videos),"Rice Farming: A way to a better Life, A Success Story of Mr. Jomar Jarvinia"
