particulars,region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Enollment,Enollment,624723,1240101,1318133,1220438,1683382,1736865,2142414,2013920,1984646,1568617,1572131,1804742
Enollment,NCR (National Capital Region),124483,130026,227660,210727,315819,296016,346096,394836,349620,305336,244668,327396
Enollment,CAR (Cordillera Administrative Region),16665,32971,32091,30175,38334,49512,70547,83300,59722,40954,49783,54044
Enollment,I (Ilocos Region),38027,71755,64876,52027,85974,90788,105633,168574,60375,67479,75343,93047
Enollment,II (Cagayan Valley),27667,59418,55161,74492,62440,84861,102922,83300,117201,74667,73955,74770
Enollment,III (Central Luzon),66006,166263,113191,120325,140650,179242,203892,168115,176011,123168,184213,181567
Enollment,Region IV,98017,200536,-,-,-,-,-,-,-,-,-,-
Enollment,IV-A (CALABARZON),-,-,144914,131500,161707,161717,184290,214262,253175,251000,190170,200398
Enollment,IV-B (MIMAROPA),-,-,48201,39780,61326,62081,67743,88126,83352,61330,72380,72968
Enollment,V (Bicol Region),39281,94802,109829,63782,105345,112392,135494,83300,37939,56418,50574,61724
Enollment,VI (Western Visayas),53546,101256,99962,93971,195035,144539,202872,83300,61920,67788,69208,85460
Enollment,VII (Central Visayas),21518,89988,106740,143523,94540,114063,157328,84317,220219,176603,204162,220509
Enollment,VIII (Eastern Visayas),25909,49718,62061,53178,67349,68606,91940,83918,92614,54086,40093,41524
Enollment,IX (Zamboanga Peninsula),21506,42061,46029,40719,63875,64666,88085,87866,108530,82742,74789,78395
Enollment,X (Northern Mindanao),24608,62134,65863,42162,91283,91083,117403,105914,109762,66091,79586,89258
Enollment,XI (Davao Region),31693,58587,61785,55471,104708,112079,125931,87966,39622,34964,42370,73984
Enollment,SOCCSKSARGEN,23929,39766,42556,38359,49371,53276,64840,83300,72571,64460,56461,59670
Enollment,CARAGA,11868,40820,37214,30247,45626,45854,68112,83300,122592,41531,64376,67692
Enollment,ARMM (Autonomous Region in Muslim Mindanao),-,-,-,-,-,6090,9286,30226,19421,-,-,22336
Graduates,Graduates,567930,1127363,1006561,839898,1154333,1340620,1702307,1812528,1903793,1344371,1332751,1600658
Graduates,NCR (National Capital Region),113166,118205,117480,127533,180744,172604,205785,349727,335376,232661,191223,286645
Graduates,CAR (Cordillera Administrative Region),15150,29974,31583,24718,29727,43337,63282,75727,57289,40780,48854,52636
Graduates,I (Ilocos Region),34570,65232,62183,35682,60937,75953,95316,153249,57915,62559,81022,89390
Graduates,II (Cagayan Valley),25152,54016,48617,64233,57515,77240,92245,75727,112426,69882,69583,67271
Graduates,III (Central Luzon),60005,151148,66175,66233,83915,126738,134590,152832,168841,131287,169943,167095
Graduates,Region IV,89106,182305,-,-,-,-,-,-,-,-,-,-
Graduates,IV-A (CALABARZON),-,-,94483,65167,89994,107217,138814,185693,242861,222242,136108,205183
Graduates,IV-B (MIMAROPA),-,-,41907,31743,50947,57389,67752,80114,79956,52736,63137,63368
Graduates,V (Bicol Region),35710,86184,107507,50930,77841,95999,117242,75727,36393,41669,44725,47211
Graduates,VI (Western Visayas),48678,92051,87248,84686,149773,124341,166512,75727,59397,50977,51269,66787
Graduates,VII (Central Visayas),19562,81807,97293,90729,87293,115264,157564,76652,211249,142498,166613,186964
Graduates,VIII (Eastern Visayas),23554,45198,54667,50881,50969,62033,80351,76289,88840,50835,35219,36713
Graduates,IX (Zamboanga Peninsula),19551,38237,44113,37449,41428,53025,75339,79878,104109,72330,64999,67898
Graduates,X (Northern Mindanao),22371,56485,54729,31414,68313,64432,97398,96285,105290,57990,71429,78983
Graduates,XI (Davao Region),28812,53261,38723,30427,62499,76302,98729,79969,38008,22330,33383,55365
Graduates,SOCCSKSARGEN,21754,36151,30451,24183,31008,42137,45390,75727,69615,54689,46097,48194
Graduates,CARAGA,10789,37109,29402,23890,31430,40605,56739,75727,117598,38906,59147,61929
Graduates,ARMM (Autonomous Region in Muslim Mindanao),-,-,-,-,-,6004,9259,27478,18630,-,-,19026
