year,gen_labor_standards_establishments_inspected,gen_labor_standards_establishments_found_with_violations,gen_labor_standards_establishments_with_violations_corrected_on_field,gen_labor_standards_workers_benefited_on_field,gen_labor_standards_amount_of_restitutions_(P 000),technical_safety_standards_establishments_Visited, technical_safety_standards_units_inspected,technical_safety_standards_units_found_with_violations,technical_safety_standards_units_with_violations_corrected,technical_safety_standards_workers_benefited_by_corrections
1976,11801,7730,a,53219,8719,9075,16379,2244,a,a
1977,14291,7188,a,75311,12579,9966,14879,2738,a,a
1978,11314,5238,a,37615,7631,8229,14508,2176,a,a
1979,10057,4626,a,39156,7419,9982,15567,2833,a,a
1980,504,433,a,2644,921,9080,14399,2117,a,a
1981,367,297,a,2178,997,7659,12861,1428,a,a
1982,1113,897,a,5848,9905,8404,13869,1775,a,a
1983,712,612,a,7537,7334,7554,12305,1452,a,a
1984,1034,767,a,7734,4917,6074,12353,1322,a,a
1985,1307,676,531,2122,228,5272,12244,894,a,a
1986,1441,754,535,4757,889,4735,10765,1152,276,a
1987,12044,5145,1533,34440,33421,6398,12111,1195,322,a
1988,12983,6590,1213,30234,33920,4875,10294,1580,577,15294
1989,27219,13901,3831,58318,52951,8438,16378,3434,1349,470959
1990,25043,15242,4240,72240,79748,8081,16886,3410,1374,569993
1991,25854,14968,3748,57638,37618,9226,17115,3669,1891,361636
1992,31773,16264,4873,71099,24285,10129,18862,3764,1505,350187
1993,37485,22482,6340,70651,30175,9653,18676,3395,1323,272961
1994,74966,46679,6722,80440,46613,9103,18019,2878,1130,228875
1995,77849,43380,5600,73301,32147,9908,18765,3443,1190,61814
1996,73851,35256,5155,84358,32464,9419,18076,3083,1088,59856
1997,60134,30770,4790,56881,26318,9402,17908,3466,1229,57216
1998,37080,21538,3661,46767,23029,8101,15126,2365,1235,33597
1999,50129,25588,3139,38267,25508,8538,17569,3116,1699,69033
2000,35011,17976,4191,32485,25484,7941,16191,1822,910,39733
2001,33914,17719,3560,24901,28394,8832,16413,3409,1406,36328
2002,32363,16313,3926,67747,42854,7452,15637,2668,1169,53005
2003,25331,10410,3039,64871,45687,7954,18346,2017,1263,42993
2004,16319,8985,1992,39411,23260,7660,17484,2293,1114,32096
2005,19539,10535,2393,69136,32965,7459,18479,2713,1172,42734
2006,19256,9777,2250,37829,23447,7206,16786,3128,584,21770
2007,24832,11087,1672,28306,38792,5350,13886,2389,740,32872
2008,26169,11672,1387,24045,29990,3180,7711,900,134,4440
2009,4670,2954,270,4768,19004,4368,9932,1185,261,7630
2010,35391,12813,1533,44491,21656,3521,10130,916,228,5699
2011,27597,7968,1529,16773,54542,3189,12115,767,37,3263
2012,27264,12978,2674,46292,42575,3296,17334,1672,275,8373
