Financial Performance of Active ODA Loans as of June 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan ID,Loan_Title,IA,Fund_Source_Major_Group,FI,Type,Sector,Subsector,Subsubsector,Major_Location_Class,Minor_Location_Class,Regions,Loan_Amount,Cumulative Cancellation,Net_Comm,Actual_Disb_1Q,Actual_Disb_2Q,Actual_Disb_3Q,Actual_Disb_4Q,Total Actual Disb,Target_Disb_1Q,Target_Disb_2Q,Target_Disb_3Q,Target_Disb_4Q,Total Target Disb,Dibs_Rate,Amt_Cancelled_1Q,Amt_Cancelled_2Q,Amt_Cancelled_3Q,Amt_Cancelled_4Q,Cum_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance_Year_Start,Dibs_Ratio,Actual_Avail,Sched_Avail,Avail_Rate,Avail_Backlog_Amount,Loan_Balance_To_Date,Signing_Date,Effectivity_Date,Original_Closing_Date,Rev_Closing_Date,Loan_Validity_In_Years,Age_In_Years,Delay_In_Years,TE,Util_Rate,TE-UR,Status,As of Date,,,,,,,,,,,,,,,,,,,,,,
PH-79120,ARMM Social Fund (Additional Financing),ARG,WB,WB,Project,Social Reform and Community Development,Social Welfare and Community Development,,MINDANAO,ARMM,ARMM,30,0,30,0.82,0.14,0.00,0.00,0.96,4.58,0.14,0.00,0.00,4.72,20.34%,0.00,0.00,0.00,0.00,0,3.63,3.631,26.44%,27.326,30,91.09%,2.674,2.674,5/25/2010,11/5/2010,5/31/2013,31-May-14,3.57,3.652,0.082,102.30%,91.09%,11.21%,Closed,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
767-PH,Rapid Food Production Enhancement Programme,DA,Others,IFAD,Program,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,MULTI-REGIONAL,Multi-Regional,"V,VI,VIII,X",15.9,0,15.9,0.00,0.00,0.00,0.00,0.18,0.05,0.05,0.00,0.00,0.1,178.0%,0.00,0.00,0.00,0.00,0,1.38,1.38,12.90%,14.7,15.32,95.95%,0.62,1.2,9/2/2009,11/9/2009,6/30/2017,30-Jun-17,7.644,4.641,-3.003,60.72%,92.45%,-31.73%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
749-PH,Second Cordillera Highland Agricultural Resource Management Project,DA,OTHERS,IFAD,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,LUZON,CAR,CAR,26.6,0,26.6,1.45,0.80,0.00,0.00,2.248,1.04,1.29,0.00,0.00,2.33,96.48%,0.00,0.00,0.00,0.00,0,20.91,20.91,10.75%,7.938,20.49,38.74%,12.552,18.662,6/4/2008,11/14/2008,6/30/2016,30-Jun-16,7.63,5.627,-2.003,73.75%,29.84%,43.91%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
1224P,Second Cordillera Highland Agricultural Resource Management Project,DA,OTHERS,OFID,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,LUZON,CAR,"Abra,Apayao,Benguet,Ifugao,Kalinga,Mt. Province",10,0,10,1.44,1.46,0.00,0.00,2.897,1.49,1.62,0.00,0.00,3.11,93.15%,0.00,0.00,0.00,0.00,0,8.79,8.79,32.96%,4.107,7.56,54.33%,3.453,5.893,12/17/2008,2/4/2009,7/31/2013,31-Jul-15,6.488,5.403,-1.085,83.28%,41.07%,42.21%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-7440,Mindanao Rural Development Project-Phase 2,DA,WB,WB,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Agrarian Reform,MINDANAO,Mindanao Wide,"IX, X, XI, XII, CARAGA, ARMM",83.752,0,83.752,4.70,2.92,0.00,0.00,7.62,4.50,4.50,0.00,0.00,9,84.67%,0.00,0.00,0.00,0.00,0,22.04,22.039,34.58%,69.334,83.752,82.78%,14.418,14.418,5/3/2007,7/3/2007,12/31/2012,31-Dec-14,7.501,6.997,-0.504,93.28%,82.78%,10.50%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
2465-PHI,Agrarian Reform Communities Project II,DAR,ADB,ADB,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,MULTI-REGIONAL,Multi-Regional,"IVB, V, VI, VIII, IX",70,0,70,0.00,0.81,0.00,0.00,0.814,4.46,7.38,0.00,0.00,11.843,6.87%,0.00,0.00,0.00,0.00,0,57.18,57.181,1.42%,13.633,58.935,23.13%,45.302,56.367,12/8/2008,3/4/2009,6/30/2015,30-Jun-15,6.326,5.326,-1,84.19%,19.48%,64.71%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
FRANCE-2,Tulay ng Pangulo Para sa Kaunlarang Pang-agraryo Project,DAR,OTHERS,FRANCE,Project,Infrastructure,Social Infrastructure,,NATIONWIDE,Nationwide,Nationwide,313.87,0,313.87,37.83,0.00,0.00,0.00,37.83,46.25,0.00,0.00,0.00,46.254,81.79%,0.00,0.00,0.00,0.00,0,51.16,51.156,73.95%,298.46,298.46,100.00%,0,15.41,12/24/2008,2/19/2009,2/19/2013,19-Feb-14,5.003,5.362,0.359,107.17%,95.09%,12.08%,Closed,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P251,Mindanao Sustainable Agrarian and Agriculture Development Project (MINSAAD),DAR,GOJ-JICA,GOJ-JICA,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,MULTI-REGIONAL,Multi-Regional,"X,XI,XII",59.22,0,59.22,10.60,0.00,0.00,0.00,10.604,4.44,5.37,0.00,0.00,9.81,108.09%,0.00,0.00,0.00,0.00,0,42.37,42.365,25.03%,16.7,11.25,148.44%,-5.45,42.52,3/30/2012,7/3/2012,7/3/2019,03-Jul-19,7.003,1.992,-5.011,28.44%,28.20%,0.24%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P242,Agrarian Reform Infrastructure Support Project III,DAR,GOJ-JICA,GOJ-JICA,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,NATIONWIDE,Nationwide,Nationwide except NCR,115.27,0,115.27,4.33,5.03,0.00,0.00,9.363,5.85,3.41,0.00,0.00,9.26,101.11%,0.00,0.00,0.00,0.00,0,26.61,26.614,35.18%,93.59,113.75,82.28%,20.16,21.68,12/18/2007,4/15/2008,4/15/2017,15-Apr-17,9.005,6.211,-2.795,68.97%,81.19%,-12.22%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
Italy-1,Italian Assistance to the Agrarian Reform Community Development Support Program (IARCDSP),DAR,Others,Italy,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,MINDANAO,Mindanao Wide,"XII, ARMM",34.207,0,34.207,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,34.21,34.207,0.00%,0,2.742,0.00%,2.742,34.207,11/4/2011,8/30/2013,4/11/2019,11-Apr-19,5.616,0.833,-4.784,14.83%,0.00%,14.83%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
1225P,Agrarian Reform Communities Project II,DAR,OTHERS,OFID,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Agrarian Reform,MINDANAO,ARMM,ARMM,30,0,30,0.14,1.42,0.00,0.00,1.555,1.00,7.38,0.00,0.00,8.383,18.55%,0.00,0.00,0.00,0.00,0,26.74,26.739,5.82%,2.928,28.8,10.17%,25.872,27.072,12/17/2008,3/4/2009,12/31/2013,31-Dec-14,5.83,5.326,-0.504,91.35%,9.76%,81.59%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
2515-PHI,Credit for Better Health Care Project,DBP,ADB,ADB,Project,Social Reform and Community Development,"Health, Population and Nutrition",,NATIONWIDE,Nationwide,Nationwide except NCR,34.08,0,34.08,3.09,2.63,0.00,0.00,5.717,1.64,1.66,0.00,0.00,3.2974,173.38%,0.00,0.00,0.00,0.00,0,21.78,21.784,26.24%,17.513,21.28134,82.29%,3.768,16.567,4/27/2009,8/19/2009,8/19/2015,19-Aug-15,6.003,4.866,-1.137,81.06%,51.39%,29.67%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P245,Logistics Infrastructure Development Project,DBP,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Social Infrastructure,,NATIONWIDE,Nationwide,Nationwide,296.71,0,296.71,0.01,0.02,0.00,0.00,0.031,0.05,0.05,0.00,0.00,0.099,31.31%,0.00,0.00,0.00,0.00,0,138.71,138.71,0.02%,157.54,250.1,62.99%,92.56,139.17,11/9/2009,12/24/2009,12/24/2016,24-Dec-16,7.005,4.518,-2.488,64.49%,53.10%,11.39%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P243,Environmental Development Project,DBP,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Urban Infrastructure,,NATIONWIDE,Nationwide,Nationwide,242.66,0,242.66,11.73,12.91,0.00,0.00,24.636,20.50,20.50,0.00,0.00,41.004,60.08%,0.00,0.00,0.00,0.00,0,137.08,137.082,17.97%,118.02,153.27,77.00%,35.25,124.64,9/30/2008,1/7/2009,1/7/2016,07-Jan-16,7.003,5.479,-1.523,78.25%,48.64%,29.61%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-8119,Regional Infrastructure for Growth Project,DBP,WB,WB,Project,Infrastructure,Social Infrastructure,,NATIONWIDE,Nationwide,Nationwide,50,0,50,0.00,0.00,0.00,0.00,0,119.14,0.00,0.00,0.00,119.141,0.00%,0.00,0.00,0.00,0.00,0,49.88,49.882,0.00%,0.118,30.625,0.39%,30.507,49.882,2/2/2012,10/11/2012,11/30/2016,30-Nov-16,4.14,1.718,-2.422,41.50%,0.24%,41.26%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
2311-PHI,Integrated Coastal Resources Management Project,DENR,ADB,ADB,Project,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,MULTI-REGIONAL,Multi-Regional,"II,III, V, VII, XI",33.8,0,33.8,1.33,0.59,0.00,0.00,1.92,2.48,0.78,0.00,0.00,3.26,58.90%,0.00,0.00,0.00,0.00,0,15.52,15.518,12.37%,20.202,33.8,59.77%,13.598,13.598,3/28/2007,6/29/2007,6/30/2013,30-Jun-14,7.008,7.008,0,100.00%,59.77%,40.23%,Closed,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
2957-PHI,Integrated Natural Resources and Environmental Management Project,DENR,ADB,ADB,Project,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,MULTI-REGIONAL,Multi-Regional,"CAR,VII,X,ARMM",100,0,100,0.08,0.00,0.00,0.00,0.078,0.00,0.67,0.00,0.00,0.67,11.64%,0.00,0.00,0.00,0.00,0,97.18,97.184,0.08%,2.894,12.033,24.05%,9.139,97.106,3/22/2013,8/9/2013,12/31/2020,31-Dec-20,7.4,0.89,-6.51,12.03%,2.89%,9.14%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
KfW-02,Community Based Forest and Mangrove Management Project,DENR,OTHERS,Germany,Project,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,MULTI-REGIONAL,Multi-Regional,"VI, VII",5.45,0,5.45,0.00,0.00,0.00,0.00,0,0.16,0.52,0.00,0.00,0.68,0.00%,0.00,0.00,0.00,0.00,0,1.16,1.16,0.00%,4.13,4.09,100.98%,-0.04,1.32,12/24/2008,1/12/2010,1/13/2016,13-Jan-16,6.005,4.466,-1.54,74.36%,75.78%,-1.42%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P248,Forestland Management Project,DENR,GOJ-JICA,GOJ-JICA,Project,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,MULTI-REGIONAL,Multi-Regional,"CAR, II, III, VI",90.28,0,90.28,0.59,0.14,0.00,0.00,0.727,4.26,2.31,0.00,0.00,6.57,11.07%,0.00,0.00,0.00,0.00,0,87.06,87.064,0.84%,3.06,9.03,33.89%,5.97,87.22,3/30/2012,7/3/2012,7/3/2022,03-Jul-22,10.005,1.992,-8.014,19.91%,3.39%,16.52%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
I-890-PH,Integrated Natural Resources and Environmental Management Project,DENR,Others,IFAD,Project,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,MULTI-REGIONAL,Multi-Regional,"CAR, VII, X, ARMM",20,0,20,0.62,0.00,0.00,0.00,0.616,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,20.00,20,3.08%,0.616,0.6,102.67%,-0.016,19.384,4/12/2013,8/9/2013,12/31/2020,31-Dec-20,7.4,0.89,-6.51,12.03%,3.08%,8.95%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-7298,Land Administration & Management Project Phase II,DENR,WB,WB,Project,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,Land,MULTI-REGIONAL,Multi-Regional,"VIII, VII",15.361,0,15.361,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,0.00,0,#Error,15.361,15.361,100.00%,0,0,6/30/2005,10/11/2005,3/31/2011,31-Mar-14,8.474,8.723,0.249,102.94%,100.00%,2.94%,Closed,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
8344-PH,"Learning, Equity, and Accountability Program Support (LEAPS)",DepEd,WB,WB,Program,Social Reform and Community Development,Education Infrastructure,,MULTI-REGIONAL,Multi-Regional,"V, VIII, IX, CAR, CARAGA",300,0,300,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,300.00,300,0.00%,0,0,#Error,0,300,4/10/2014,6/24/2014,8/31/2018,31-Aug-18,4.189,0.016,-4.173,0.39%,0.00%,0.39%,Newly Effective,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
Austria-7,Bureau of Fire Protection Capability Building Program for Selected Priority Cities Project,DILG,Others,Austria,Project,Governance and Institutions Development,Political Governance,Disaster Mitigation,NATIONWIDE,Nationwide,Nationwide,28.11,0,28.11,0.26,0.00,0.00,0.00,0.26,7.41,7.41,0.00,0.00,14.82,1.75%,0.00,0.00,0.00,0.00,0,5.36,5.362,4.85%,22.21,28.09,79.07%,5.88,5.9,1/12/2012,4/5/2012,4/5/2014,05-Apr-14,2,2.236,0.236,111.78%,79.01%,32.77%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
2507-PHI,Philippine Energy Efficiency Project,DOE,ADB,ADB,Project,Infrastructure,"Energy, Power and Electrification",,NATIONWIDE,Nationwide,Nationwide,31.1,6.559,24.541,0.00,1.20,0.00,0.00,1.196,0.00,5.93,0.00,0.00,5.93,20.17%,0.00,4.73,0.00,0.00,4.734,5.93,1.196,100.00%,24.541,24.541,100.00%,0,0,3/2/2009,5/28/2009,10/31/2011,08-May-14,4.948,5.093,0.145,102.93%,100.00%,2.93%,Closed,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
2964-PHI,Market Transformation Thru Introduction of Energy Efficient Electric Vehicles Project,DOE,ADB,ADB,Project,Infrastructure,"Energy, Power and Electrification",,MULTI-REGIONAL,Multi-Regional,"NCR, VI, IVB, III, XI",300,0,300,0.00,0.43,0.00,0.00,0.433,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,300.00,300,0.14%,0.433,35.964,1.20%,35.531,299.567,9/27/2013,12/13/2013,6/30/2018,30-Jun-18,4.548,0.545,-4.003,11.99%,0.14%,11.85%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
8261-PHI,Market Transformation Thru Introduction of Energy Efficient Electric Vehicles Project,DOE,ADB,ADB,Project,Infrastructure,"Energy, Power and Electrification",,MULTI-REGIONAL,Multi-Regional,"NCR, VI, IVB, III, XI",100,0,100,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,100.00,100,0.00%,0,6.51,0.00%,6.51,100,9/27/2013,12/13/2013,6/30/2018,30-Jun-18,4.548,0.545,-4.003,11.99%,0.00%,11.99%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
3111-PHI,Local Government Finance and Fiscal Decentralization Reform Program Subprogram 1,DOF,ADB,ADB,Program,Governance and Institutions Development,Political Governance,,NATIONWIDE,Nationwide,Nationwide,250,0,250,0.00,250.00,0.00,0.00,250,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,250.00,250,100.00%,250,248.9,100.44%,-1.1,0,2/14/2014,5/27/2014,12/31/2014,31-Dec-14,0.597,0.093,-0.504,15.60%,100.00%,-84.40%,Newly Effective,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
3080-PHI,Emergency Assistance for Relief and Recovery from Typhoon Yolanda,DOF,ADB,ADB,Program,Governance and Institutions Development,Public Safety and Disaster Management,,NATIONWIDE,Nationwide,Nationwide,500,0,500,200.00,100.00,0.00,0.00,300,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,500.00,500,60.00%,300,199.3464,150.49%,-100.654,200,12/23/2013,2/28/2014,12/31/2014,31-Dec-14,0.838,0.334,-0.504,39.87%,60.00%,-20.13%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-C24,Development Policy Support Program-Investment Climate,DOF,GOJ-JICA,GOJ-JICA,Program,"Industry, Trade and Tourism","Industry, Trade and Tourism",,NATIONWIDE,Nationwide,Nationwide,75.94,0,75.94,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,0.00,0,#Error,75.94,75.94,100.00%,0,0,10/10/2012,12/17/2012,12/17/2015,17-Dec-15,3,1.534,-1.466,51.14%,100.00%,-48.86%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-SB1,Post Disaster Stand-by Loan,DOF,GOJ-JICA,GOJ-JICA,Program,Governance and Institutions Development,Public Safety and Disaster Management,,NATIONWIDE,Nationwide,Nationwide,486.67,0,486.67,146.00,0.00,0.00,0.00,146,146.00,0.00,0.00,0.00,146,100.00%,0.00,0.00,0.00,0.00,0,486.67,486.67,30.00%,146.5,146.5,100.00%,0,340.17,3/19/2014,3/26/2014,3/26/2017,26-Mar-17,3.003,0.263,-2.74,8.76%,30.10%,-21.34%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
8238-PH,Second Development Policy Loan to Foster More Inclusive Growth,DOF,WB,WB,Program,Governance and Institutions Development,Economic Governance,,NATIONWIDE,Nationwide,Nationwide,300,0,300,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,0.00,0,#Error,300,300,100.00%,0,0,4/20/2013,7/5/2013,12/31/2014,31-Dec-14,1.49,0.986,-0.504,66.18%,100.00%,-33.82%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
8328-PH,Second Development Policy Loan to Foster More Inclusive Growth: Supplemental Financing for Post Typhoon Recovery,DOF,WB,WB,Program,Governance and Institutions Development,Public Safety and Disaster Management,,NATIONWIDE,Nationwide,Nationwide,500,0,500,1.25,101.25,0.00,0.00,102.5,125.00,125.00,0.00,0.00,250,41.00%,0.00,0.00,0.00,0.00,0,500.00,500,20.50%,102.5,250,41.00%,147.5,397.5,12/23/2013,3/11/2014,12/31/2014,31-Dec-14,0.808,0.304,-0.504,37.63%,20.50%,17.13%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
A-200665109,Health Sector Reform Project,DOH,OTHERS,Germany,Project,Social Reform and Community Development,"Health, Population and Nutrition",,NATIONWIDE,Multi-Regional,"II,V,VII,VIII,IX,X,XI,CAR",13.63,0,13.63,0.00,1.01,0.00,0.00,1.01,0.75,1.60,0.00,0.00,2.35,42.98%,0.00,0.00,0.00,0.00,0,4.16,4.16,24.28%,10.2,10.04,101.59%,-0.16,3.43,12/20/2007,6/27/2008,12/31/2011,31-Dec-14,6.515,6.011,-0.504,92.26%,74.83%,17.43%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
FRANCE-3,Greater Modular Access (GMA) RoRo Ports,DOTC,Others,France,Project,Infrastructure,Transportation,,NATIONWIDE,Nationwide,Nationwide,270.65,0,270.65,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,257.00,256.996,0.00%,90.68,90.68,100.00%,0,179.97,8/26/2009,11/1/2009,11/23/2012,23-Nov-12,3.063,4.663,1.6,152.24%,33.50%,118.74%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P257,Maritime Safety Capability Improvement Project for the Philippine Coast Guard,DOTC,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Transportation,Water,NATIONWIDE,Nationwide,Nationwide,182.95,0,182.95,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,182.95,182.95,0.00%,0,0,#Error,0,182.95,12/14/2013,4/9/2014,4/9/2022,09-Apr-22,8.005,0.225,-7.781,2.81%,0.00%,2.81%,Newly Effective,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P255,Capacity Enhancement of Mass Transit Systems in Metro Manila,DOTC,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Transportation,Rails,LUZON,NCR,NCR,422.43,0,422.43,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,420.99,420.986,0.00%,0,0,#Error,0,422.43,3/27/2013,11/22/2013,11/22/2020,22-Nov-20,7.005,0.603,-6.403,8.60%,0.00%,8.60%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P256,New Bohol Airport Construction and Sustainable Environment Protection Project,DOTC,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Transportation,Airport and Air Navigation,VISAYAS,VII,VII,105.3,0,105.3,0.00,0.00,0.00,0.00,0,1.86,16.14,0.00,0.00,17.997,0.00%,0.00,0.00,0.00,0.00,0,105.30,105.3,0.00%,0,1.05,0.00%,1.05,105.3,3/27/2013,7/24/2013,7/24/2020,24-Jul-20,7.005,0.934,-6.071,13.34%,0.00%,13.34%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P228,"New Communications, Navigation and Surveillance/Air Traffic Management Systems Dev't",DOTC,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Transportation,Airport and Airnavigation,NATIONWIDE,Nationwide,Nationwide,215.35,0,215.35,1.28,0.45,0.00,0.00,1.726,2.77,3.51,0.00,0.00,6.28,27.48%,0.00,0.00,0.00,0.00,0,177.39,177.392,0.97%,37.8,87.48,43.21%,49.68,177.55,3/28/2002,2/21/2003,2/21/2010,21-May-17,14.255,11.362,-2.893,79.70%,17.55%,62.15%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PHL-5,Laguindingan Airport Development Project,DOTC,OTHERS,Korea,Project,Infrastructure,Transportation,Airport and Airnavigation,MINDANAO,X,X,92.2,2.75,89.45,0.04,0.42,0.00,0.00,0.46,0.04,0.44,0.00,0.00,0.48,95.83%,0.00,0.00,0.00,0.00,0,4.73,4.732,9.72%,85.181,88.76,95.97%,3.579,4.269,2/24/1998,6/19/1998,6/19/2002,25-Oct-14,16.362,16.041,-0.321,98.04%,95.23%,2.81%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PHL-13,Laguindingan Airport Air-Navigation System and Support Facilities Supply Project,DOTC,Others,Korea,Project,Infrastructure,Transportation,,MINDANAO,X,X,13.29,0,13.29,1.02,0.95,0.00,0.00,1.97,1.02,0.85,0.00,0.00,1.87,105.35%,0.00,0.00,0.00,0.00,0,12.50,12.503,15.76%,2.762,3.24,85.25%,0.478,10.528,10/13/2011,2/10/2012,7/10/2014,10-Jan-16,3.918,2.386,-1.532,60.91%,20.78%,40.13%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PHL-11,Puerto Princesa Airport Development Project,DOTC,Others,Korea,Project,Infrastructure,Transportation,,LUZON,IVB,IVB,71.61,0,71.61,0.08,0.12,0.00,0.00,0.2,0.16,10.31,0.00,0.00,10.47,1.91%,0.00,0.00,0.00,0.00,0,70.48,70.482,0.28%,1.332,5.12,26.02%,3.788,70.278,8/23/2012,12/21/2012,6/21/2017,21-Jun-17,4.501,1.523,-2.978,33.84%,1.86%,31.98%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
2836-PHI,Road Improvement and Institution Development Project,DPWH,ADB,ADB,Project,Infrastructure,Transportation,,MULTI-REGIONAL,Multi-Regional,"I,III,IVA,IVB,V,XI,CARAGA",62,0,62,1.16,1.62,0.00,0.00,2.771,5.32,9.16,0.00,0.00,14.48,19.14%,0.00,0.00,0.00,0.00,0,60.11,60.107,4.61%,4.664,30.54823,15.27%,25.884,57.336,3/12/2012,7/20/2012,6/30/2016,30-Jun-16,3.948,1.945,-2.003,49.27%,7.52%,41.75%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P253,"Flood Risk Management Project in Cagayan River, Tagoloan River, and Imus River",DPWH,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Water Resources,Flood Control,MULTI-REGIONAL,Multi-Regional,"II, IV-A, X",73.7,0,73.7,0.52,0.00,0.00,0.00,0.521,0.42,0.81,0.00,0.00,1.229,42.39%,0.00,0.00,0.00,0.00,0,72.93,72.927,0.71%,0.52,11.05,4.71%,10.53,73.18,3/30/2012,7/3/2012,7/3/2020,03-Jul-20,8.005,1.992,-6.014,24.88%,0.71%,24.17%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
