destination_country,country_or_state,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total
USA,Alabama,41,54,29,48,70,73,52,62,39,53,60,79,68,61,52,58,53,40,41,105,50,82,75,173,132,272,180,153,141,137,124,142,2799
USA,Alaska,192,221,240,167,237,234,253,271,236,286,330,372,363,287,232,425,366,230,280,320,307,474,335,391,390,438,520,383,569,641,556,556,11102
USA,Arizona,151,172,173,202,207,265,268,208,246,262,259,290,274,282,225,277,250,183,261,284,307,326,322,439,413,633,680,481,572,551,564,580,10607
USA,Arkansas,51,73,45,65,68,78,86,73,91,76,53,61,58,62,68,51,46,30,27,43,31,59,53,92,90,127,121,105,127,117,109,117,2353
USA,California,19992,21799,16742,16340,19159,20156,20580,20646,19446,22254,21705,22206,20236,19514,16760,19041,17478,11402,10384,13924,13545,14215,12798,15684,15293,17118,18588,13578,16545,17315,15115,14683,554241
USA,Colorado,139,137,99,128,155,203,177,165,199,198,196,196,178,169,104,173,197,107,130,135,161,174,170,187,156,277,273,200,264,221,220,260,5748
USA,Connecticut,148,145,127,143,115,158,131,157,128,141,205,271,200,133,133,139,136,124,138,220,176,279,260,305,232,423,281,178,213,207,199,209,6054
USA,Delaware,37,29,31,17,37,34,37,31,45,40,49,41,32,23,45,39,48,17,22,35,35,54,22,40,56,56,77,64,44,57,60,67,1321
USA,Florida,562,626,581,639,765,827,868,882,814,966,1090,1123,1146,953,863,1002,871,583,647,1085,1067,1474,1348,1807,1844,2887,1960,1299,1558,1387,1482,1703,36709
USA,Georgia,126,118,93,149,176,140,203,177,151,192,208,226,254,183,153,193,187,104,159,202,170,264,244,323,354,414,444,308,332,286,272,357,7162
USA,Hawaii,5233,5797,4495,4320,4132,4084,3620,3219,3547,3902,4013,3926,4253,4122,3937,5202,4026,2895,2359,3237,2733,2882,2827,3941,3020,3237,3934,3104,4036,4782,3944,3438,122197
USA,Idaho,27,41,24,31,51,44,33,44,28,56,46,36,34,44,21,49,35,25,29,48,38,49,40,58,79,105,93,75,77,85,78,87,1610
USA,Illinois,1943,2351,1758,1739,1751,2288,2063,2402,1943,2238,2200,1951,2214,1953,1468,1638,1482,982,1006,1376,1708,1799,1642,1769,2007,2660,2128,1385,1493,1444,1466,1592,57839
USA,Indiana,142,147,133,127,143,112,112,149,167,165,157,169,123,149,116,122,143,89,123,125,164,177,137,217,296,325,248,224,245,236,224,245,5451
USA,Iowa,56,39,52,53,73,97,66,61,57,76,83,94,53,41,42,71,48,47,60,38,72,110,61,90,83,109,107,75,104,109,79,119,2325
USA,Kansas,89,57,53,89,76,60,115,109,94,84,105,83,86,102,60,84,86,58,57,84,99,95,79,75,69,126,167,119,158,152,123,124,3017
USA,Kentucky,47,50,35,44,71,70,76,62,52,59,65,90,79,50,50,56,60,30,55,70,38,113,92,207,149,244,208,128,136,105,139,115,2845
