country_of_destination,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
USA,40307,44438,34794,34682,38653,40650,40813,41378,39524,43781,43824,46691,44903,40515,34614,41312,37002,24886,24123,31324,31287,36557,33916,42350,40280,49522,46420,34201,40598,42007,38463,39124,1242939,64.07
Canada,5226,4898,3946,2463,2097,3206,5757,6602,8040,8400,7211,7454,11627,14302,11288,10050,8215,5651,6712,8245,9737,8795,9521,10108,13598,13230,14572,16443,19967,27302,26203,24354,335220,17.28
Japan,254,310,140,137,126,53,6,62,1271,3569,3946,4048,4527,4225,4883,4510,4171,3810,4219,6468,6021,5734,5929,5993,7062,9742,8806,7682,5278,3766,3965,4759,125472,6.47
Australia,2752,2931,2608,2915,3458,4374,8983,9319,5943,5847,5715,4104,3083,3224,2966,2002,2124,2189,2597,2298,1965,2603,2223,2647,3027,3735,3467,3657,3850,3062,3957,4259,117884,6.08
Italy,4,8,11,19,10,4,9,32,109,160,130,105,123,99,71,72,50,96,125,371,823,982,662,859,1250,954,1490,2405,2734,3319,3632,3818,24536,1.26
New Zealand,12,25,41,55,52,37,45,11,55,50,91,128,237,287,579,1005,405,253,186,261,284,624,382,131,394,1973,1639,1252,1725,1114,1185,1170,15688,0.81
Germany,45,263,282,346,213,88,58,83,135,334,522,593,780,784,661,542,566,560,550,552,507,518,445,393,367,457,424,489,518,510,590,553,13728,0.71
United Kingdom,88,682,346,364,276,658,436,256,248,291,286,205,159,174,151,150,195,193,225,174,176,271,225,309,478,556,654,552,646,817,749,881,11871,0.61
South Korea,14,7,2,6,6,-,-,1,4,4,14,14,25,18,31,237,277,256,422,110,62,55,77,289,480,281,576,1482,1458,1565,1618,1632,11023,0.57
Spain,8,35,18,57,34,11,28,56,120,94,57,77,108,86,68,40,25,39,345,336,411,451,586,579,685,898,933,907,970,693,871,808,10434,0.54
Others,157,356,293,507,344,257,215,220,296,619,668,735,818,817,930,993,1029,1076,1003,892,781,1130,1171,1266,1407,1619,1618,1730,1974,1920,2177,2282,31300,1.61
Total Country of Destination,48867,53953,42481,41551,45269,49338,56350,58020,55745,63149,62464,64154,66390,64531,56242,60913,54059,39009,40507,51031,52054,57720,55137,64924,69028,82967,80599,70800,79718,86075,83410,83640,1940095,100
Percentage Incereased or (Decreased),-,10.41,-21.26,-2.19,8.95,8.99,14.21,2.96,-3.92,13.28,-1.08,2.71,3.49,-2.8,-12.84,8.31,-11.25,-27.84,3.84,25.98,2,10.88,-4.48,17.75,6.32,20.19,-2.85,-12.16,12.6,7.97,-3.1,0.28,-,-
