educational_attainment,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percent_to_total
Not of Schooling Age,-,-,-,-,-,-,-,5514,4792,4999,4342,4729,4361,4330,4081,4204,3443,2457,2476,3175,3820,4191,4373,5541,5363,6374,5445,4842,5813,7061,6658,6174,118558,7.40
No Formal Education,-,-,-,-,-,-,-,459,1254,1208,1028,677,670,647,427,453,413,234,318,331,428,581,240,182,126,147,157,105,92,83,64,61,10385,0.65
Elementary Level,-,-,-,-,-,-,-,8847,7899,8370,8070,8766,9375,8727,7433,8265,7209,4730,4802,6308,6393,6938,6344,7659,8461,10278,10372,8907,9986,10969,10359,10089,205556,12.83
Elementary Graduate,-,-,-,-,-,-,-,3012,2721,3241,3572,3144,3304,3356,2579,2868,2614,1833,1835,1864,2136,2283,2107,2191,2212,2496,2698,2314,2395,2194,2152,2424,63545,3.97
High School Level,-,-,-,-,-,-,-,7291,6967,8198,8017,8650,8713,8447,7546,8546,7517,5231,5256,6475,6205,6731,6193,7225,7569,8905,9493,8216,9218,9428,9260,9303,194600,12.15
High School Graduate,-,-,-,-,-,-,-,5724,5625,6854,7525,7627,8139,8147,7302,7891,6873,5589,5634,6398,6065,6378,5986,6937,7438,9176,9361,8251,8702,8299,8401,8707,183029,11.42
Vocational Level,-,-,-,-,-,-,-,839,816,1115,1224,1196,1230,1122,1068,1054,914,663,689,854,744,845,817,1009,948,1101,1157,970,1273,1421,1363,1414,25846,1.61
Vocational Graduate,-,-,-,-,-,-,-,1415,1433,1858,2066,2662,2766,2498,2132,2263,1907,1556,1804,2300,2126,2383,2175,2560,2737,3370,3774,3368,4092,4534,4531,4308,66618,4.16
College Level,-,-,-,-,-,-,-,8451,8533,9848,9724,10037,10064,9841,8843,9996,8991,6607,6859,8069,7566,8181,8340,9817,10357,12489,13328,11852,13668,14365,13809,14169,253804,15.84
College Graduate,-,-,-,-,-,-,-,15614,14776,16396,15835,15690,16133,15810,13439,13877,12803,9212,9992,13619,14785,17424,16354,18936,20561,24911,21759,19264,21794,24834,24193,24183,432194,26.97
Post Graduate Level,-,-,-,-,-,-,-,527,544,647,595,482,841,795,708,757,734,483,463,1088,963,791,1090,1339,1354,1659,1215,1100,1071,1188,1010,1063,22507,1.40
Post Graduate,-,-,-,-,-,-,-,327,380,415,450,494,726,720,555,739,641,410,379,518,730,793,954,1294,1567,1747,1534,1564,1476,1586,1484,1644,23127,1.44
Non-Formal Education,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,56,153,143,198,293,303,297,31,46,17,13,4,1577,0.10
Not Reported or No Response,-,-,-,-,-,-,-,-,5,-,16,-,68,91,129,-,-,4,-,9,37,48,21,36,42,11,9,16,92,96,113,97,940,0.06
Total Educational Attainment,-,-,-,-,-,-,-,58020,55745,63149,62464,64154,66390,64531,56242,60913,54059,39009,40507,51031,52054,57720,55137,64924,69028,82967,80599,70800,79718,86075,83410,83640,1602286,100
