region,province,city_or_municipality,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
I (Ilocos Region),Ilocos Norte,Adams,-,-,-,-,1,-,-,-,-,1,-,-,2,4,8,1,1,5,16,8,8,17,29,15,17,133,
I (Ilocos Region),Ilocos Norte,Bacarra,185,204,276,285,248,286,226,282,281,229,203,181,261,239,207,217,266,242,234,308,204,304,399,324,286,6377,
I (Ilocos Region),Ilocos Norte,Badoc,58,79,67,96,100,68,87,84,108,107,59,39,82,70,44,42,71,100,110,75,129,71,144,141,106,2137,
I (Ilocos Region),Ilocos Norte,Bangui,49,52,79,40,61,35,65,55,55,49,45,22,55,40,62,50,53,59,56,80,57,71,101,102,58,1451,
I (Ilocos Region),Ilocos Norte,Banna (Espiritu),42,55,66,49,48,75,61,27,55,34,41,34,54,41,29,31,61,52,32,53,36,47,69,73,63,1228,
I (Ilocos Region),Ilocos Norte,Batac,102,75,129,97,120,135,125,151,165,137,76,86,161,90,130,91,166,97,138,163,180,174,218,178,200,3384,
I (Ilocos Region),Ilocos Norte,Burgos,15,31,26,22,10,24,26,25,26,31,7,12,15,16,23,51,28,24,22,37,16,38,35,21,33,614,
I (Ilocos Region),Ilocos Norte,Carasi,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,5,-,3,-,11,
I (Ilocos Region),Ilocos Norte,Currimao,11,10,9,9,13,8,12,18,35,8,12,12,4,19,15,21,19,17,16,7,7,18,26,18,18,362,
I (Ilocos Region),Ilocos Norte,Dingras,88,73,84,79,112,119,88,123,139,118,79,61,111,91,83,98,112,89,119,129,86,132,150,192,130,2685,
I (Ilocos Region),Ilocos Norte,Dumalneg,1,-,-,-,1,-,-,5,-,-,-,-,-,-,-,1,-,-,-,-,-,2,1,-,-,11,
I (Ilocos Region),Ilocos Norte,Laoag City (Capital),297,299,455,361,390,453,408,413,578,466,362,308,419,363,344,399,451,406,417,516,419,546,714,608,541,10933,
I (Ilocos Region),Ilocos Norte,Marcos,28,27,57,33,37,40,41,50,80,65,44,48,60,31,41,46,41,19,53,50,52,51,69,63,88,1214,
I (Ilocos Region),Ilocos Norte,Nueva Era,6,10,13,16,5,9,7,13,10,5,11,4,17,5,1,11,17,4,16,6,5,17,14,17,6,245,
I (Ilocos Region),Ilocos Norte,Pagudpud,7,11,9,17,12,35,26,11,18,9,9,10,12,13,16,21,22,22,32,42,40,20,35,41,35,525,
I (Ilocos Region),Ilocos Norte,Paoay,27,28,56,73,69,50,41,64,64,40,47,33,50,53,50,42,75,40,52,66,78,82,87,84,50,1401,
I (Ilocos Region),Ilocos Norte,Pasuquin,61,51,59,65,57,80,73,84,73,56,72,35,67,89,56,66,47,63,69,85,69,137,151,92,97,1854,
I (Ilocos Region),Ilocos Norte,Piddig,15,37,53,56,26,24,39,52,55,35,30,32,37,49,23,29,61,27,28,24,27,53,64,71,74,1021,
I (Ilocos Region),Ilocos Norte,Pinili,23,50,45,43,59,37,25,41,55,49,35,28,36,37,29,27,39,28,69,33,45,34,85,65,61,1078,
I (Ilocos Region),Ilocos Norte,San Nicolas,108,204,166,159,201,201,153,168,207,225,143,88,205,165,149,130,172,133,197,221,173,227,267,189,182,4433,
I (Ilocos Region),Ilocos Norte,Sarrat,99,123,111,148,140,119,137,120,134,174,67,103,114,78,112,108,118,96,121,128,161,132,232,164,169,3208,
