descipline_group,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Agriculture/Forestry/Fisheries/Veterinary Medicine,78201,70824,63913,59397,58168,63315,59692,63679,68133,81348
Architectural and Town Planning,22190,23225,19667,19015,19288,18004,20441,23103,26601,31296
Business Administration and Related,557555,516937,531017,572174,612481,649549,724215,785305,840192,911490
Education and Teacher Training,404078,366988,361774,331416,370441,325186,352046,400912,449904,536696
Engineering and Technology,336078,305120,301411,315412,311437,319775,344662,354218,372003,406965
Fine and Applied Arts,10360,12221,11282,12216,12931,13732,16682,18158,19071,21220
General,39768,34234,22518,20698,35257,13750,14198,11619,9781,10465
Home Economics,5545,5342,5562,5568,4952,4847,5149,5308,6224,7288
Humanities,28264,26962,25860,26558,29241,28287,28089,30407,31890,35572
Information Technology,248247,229321,242799,251661,280596,300882,348462,376046,390826,409544
Law and Jurisprudence,18532,19539,18840,16977,18159,19293,20144,21915,21305,22873
Maritime,79843,73250,74601,54870,69033,65443,88450,109256,117556,152922
Mass Communication and Documentation,27779,25299,23781,30020,28385,29132,30994,33991,36285,37028
Mathematics,12379,10857,10701,14553,12688,14636,12154,12611,13358,13860
Medical and Allied,319774,445729,549658,609659,547595,517319,440335,363147,281038,241976
Natural Science,26143,23458,22903,23149,25044,22641,24127,25425,27304,30071
Other Disciplines,105691,109859,104267,135455,107452,108450,117448,161527,168795,197817
Religion and Theology,7426,7892,7143,8568,7884,7804,6943,7323,8719,9504
Service Trades,17140,13878,13576,19740,23951,26814,36355,47530,50968,57839
Social and Behavioral Science,74496,66490,64092,67452,73512,72196,76546,83371,92309,100607
Trade Craft and Industry,1367,14890,7909,9891,5799,4330,3833,2996,1705,1149
Total,2420856,2402315,2483274,2604449,2654294,2625385,2770965,2937847,3033967,3317530
