region,private_hei,bacc,ms_or_ma,phd,total
I (Ilocos Region),The Adelphi College,12,7,7,26
I (Ilocos Region),Malasiqui Agno Valley College,17,12,2,31
I (Ilocos Region),Agoo Computer College Philippines,10,3,1,14
I (Ilocos Region),Asbury College,2,6,3,11
I (Ilocos Region),Asia Career College Foundation,7,7,1,15
I (Ilocos Region),Baccarra Medical Center School of Midwifery,9,1,0,10
I (Ilocos Region),CICOSAT Colleges,30,14,6,50
I (Ilocos Region),Colegio de Dagupan,40,65,13,118
I (Ilocos Region),Dagupan Colleges Foundation,0,14,2,16
I (Ilocos Region),Data Center College of the Philippines-Laoag City,44,8,4,56
I (Ilocos Region),Divine Word College of Laoag,59,45,6,110
I (Ilocos Region),Divine Word College of Urdaneta,11,7,2,20
I (Ilocos Region),Divine Word College of Vigan,19,22,6,47
I (Ilocos Region),Escuela De Nuestra Senora De La Salette,10,9,0,19
I (Ilocos Region),The Great Plebeian College,19,13,4,36
I (Ilocos Region),Lorma Colleges,93,67,9,169
I (Ilocos Region),Luna Colleges,14,4,3,21
I (Ilocos Region),University of Luzon,110,69,25,204
I (Ilocos Region),Lyceum Northern Luzon,48,8,6,62
I (Ilocos Region),Mary Help of Christians College Seminary,4,11,6,21
I (Ilocos Region),National College of Science and Technology-La Union,11,8,1,20
I (Ilocos Region),Northern Christian College,35,24,7,66
I (Ilocos Region),Northern Luzon Adventist College,14,28,7,49
I (Ilocos Region),"Northern Philippines College for Maritime, Science and Technology",55,26,6,87
I (Ilocos Region),Northwestern University,107,51,14,172
I (Ilocos Region),Osias Educational Foundation,8,2,4,14
I (Ilocos Region),Palaris College,11,11,7,29
I (Ilocos Region),Panpacific University North Philippines-Urdaneta City,134,42,18,194
I (Ilocos Region),Pangasinan Merchant Marine Academy,8,13,3,24
I (Ilocos Region),Perpetual Help College of Pangasinan,30,14,5,49
I (Ilocos Region),Polytechnic College of La union,17,29,8,54
I (Ilocos Region),Philippine College of Science and Technology,69,29,6,104
I (Ilocos Region),PIMSAT Colleges-Dagupan,22,8,2,32
I (Ilocos Region),St. Columban's College,10,5,3,18
I (Ilocos Region),St. Louis College-San Fernando City,82,77,17,176
I (Ilocos Region),"St. Mary's College-Sta. Maria, Ilocos Sur",2,3,4,9
I (Ilocos Region),St. Paul College of Ilocos Sur,26,18,3,47
I (Ilocos Region),San Carlos College,18,17,19,54
I (Ilocos Region),Sea and Sky College,26,5,3,34
I (Ilocos Region),Union Christian College,26,34,18,78
I (Ilocos Region),University of Pangasinan,101,71,24,196
I (Ilocos Region),NJ Valdez Colleges Foundation,10,6,3,19
I (Ilocos Region),Virgen Milagrosa University Foundation,169,83,23,275
I (Ilocos Region),Metro-Dagupan Colleges,20,12,3,35
I (Ilocos Region),Pass College,25,8,6,39
I (Ilocos Region),AMA Computer College-Dagupan City,10,1,0,11
I (Ilocos Region),AMA Computer College-Laoag City,14,2,0,16
I (Ilocos Region),Lyceum Northwestern University,93,78,20,191
I (Ilocos Region),Macro Colleges,7,1,2,10
I (Ilocos Region),Sta. Veronica College,5,7,0,12
I (Ilocos Region),"STI College-San Fernando City, La Union",8,10,0,18
I (Ilocos Region),STI College-Dagupan City,14,7,0,21
I (Ilocos Region),AMA Computer College-La Union,7,5,0,12
I (Ilocos Region),Golden West Colleges,10,15,6,31
I (Ilocos Region),Lyceum Northwestern University-Urdaneta Campus,12,19,6,37
I (Ilocos Region),Data Center College of the Philippines-Vigan City,9,2,0,11
I (Ilocos Region),Colegio San Jose De Alaminos,8,11,0,19
I (Ilocos Region),Our Lady of Manaoag College,15,7,3,25
I (Ilocos Region),South Ilocandia College of Arts and Technology,9,6,1,16
I (Ilocos Region),La Union College of Science and Technology,1,6,2,9
I (Ilocos Region),Luzon College of Science and Technology-Urdaneta,2,8,6,16
I (Ilocos Region),Mystical Rose College of Science and Technology,4,7,7,18
I (Ilocos Region),St. Therese College Foundation,2,5,1,8
I (Ilocos Region),ABE International College of Business and Accountancy,17,7,0,24
I (Ilocos Region),La Finn's Scholastica,12,11,3,26
I (Ilocos Region),"Philippine Central College of Arts, Science and Technology",0,12,2,14
I (Ilocos Region),Panpacific University North Philippines-Tayug,37,14,7,58
I (Ilocos Region),Kingfisher School of Business and Finance,12,11,4,27
I (Ilocos Region),Northern Ilocandia College of Science and Technology,12,4,3,19
I (Ilocos Region),AIE College,0,19,2,21
I (Ilocos Region),St. Camillus College of Manaoag Foundation,6,11,4,21
I (Ilocos Region),International College for Excellence,9,19,2,30
I (Ilocos Region),Philippine College of Northwestern Luzon,15,22,4,41
I (Ilocos Region),Philippine Darakbang Theological College,6,5,2,13
I (Ilocos Region),St. John Bosco College of Northern Luzon,11,11,0,22
I (Ilocos Region),Rosales-Wesleyan Bible College,1,7,3,11
I (Ilocos Region),La Union Christian Comprehensive College,4,1,0,5
I (Ilocos Region),Immaculate Conception School of Theology,0,11,4,15
I (Ilocos Region),Polytechnic Colleges of Region I,6,11,1,18
I (Ilocos Region),WCC Aeronautical and Technological College,4,4,0,8
I (Ilocos Region),PIMSAT Colleges-San Carlos City,4,4,3,11
II (Cagayan Valley),Aldersgate College,30,33,5,68
II (Cagayan Valley),University of Cagayan Valley,93,93,40,226
II (Cagayan Valley),Eveland Christian College,7,3,0,10
II (Cagayan Valley),Fuzeko Polytechnic College,3,2,0,5
II (Cagayan Valley),Isabela Colleges,14,7,3,24
II (Cagayan Valley),University of La Salette,62,146,12,220
II (Cagayan Valley),Lyceum of Aparri,35,22,9,66
II (Cagayan Valley),Lyceum of Tuao,14,12,5,31
