region ,treatment_hub,address,contact_number,hact_chair
CAR,Baguio General Hospital and Medical Center,"Gov. Pack Rd., Baguio City",(074) 442-4216 loc 381/915-5816-480,Dr. Maria Lorena L. Santos 
I,Ilocos Training and Regional Medical Center,"San Fernando City, La Union",(072) 6076413 loc 124,Dr. Jimmy Mynardo Mendigo
II,Cagayan Valley Medical Center,"Carig, Tuguegarao, Cagayan",(078) 304-1410,Dr. Karina Domingo
III,Jose B. Lingad Medical Center,"Brgy. San Dolores, San Fernando, Pampanga",(045) 961-3989 (Medicine Department),Dr. Edwin Pasumbal
NCR,San Lazaro Hospital,"Quiricada St., Sta. Cruz, Manila",732-3125 732-3125/723-3776 to 79/732-3106 loc 218 (H4 OPD)/loc 212 (H4 ward),Dr. Rosario Jessica Tactacan-Abrenica
NCR,Philippine General Hospital,"Taft Ave., Manila",554-8400 loc 3249/0920-5031-104,Dr. Jodor Lim
NCR,Research Institute for Tropical Medicine,"Filinvest Corporate City, Alabang, Muntinlupa City",807-2628 loc 332,Dr. Manolito Chua
NCR,Makati Medical Center,"2 Amorsolo St., Legaspi Village, Makati City",888-8999 loc 2336,Dr. Ma. Tarcela Gler
NCR,The Medical City,"Ortigas Ave., Pasig City",-,-
V,Bicol Regional Training and Teaching Hospital,"Rizal St., Legazpi City",(052) 4830017,Dr. Anna Lynda Bellen
VI,Western Visayas Medical Center,"Q. Abeto St., Mandurriao, Iloilo City",(033) 3212841,Dr. Ray Celis
VI,Corazon Locsin Montelibano Memorial Regional Hospital,"Department of Internal Medicine, 3rd Flr. OPD Bldg., CLMMRH, Lacson St., Bacolod City",(034) 709-0244/0922-2903-710/0922-8608-756,Dr. Joann Cerrada
VII,Vicente Sotto Memorial Medical Center,"B. Rodriguez, Sambag II, Cebu City",(032) 2539891 - 96,Dr. Abelardo Alera
VII,Gov. Celestino Gallares Memorial Hospital ,"M. Parras St., Tagbilaran City",(038) 4114868,Dr. Wilnilia Causing
IX,Zamboanga City Medical Center,"Ligaya Center for Healing, Zamboanga City Medical Center, Sta. Catalina, Zamboanga City",(062) 991-2934,Dr. Maribel O. Felisario
XI,Southern Philippines Medical Center,"J. P. Laurel St., Bajada, Davao City",(082) 2272731 loc 4205 ,Dr. Alicia Layug
