description_of_project,function_or_program_or_project_1,function_or_program_or_project_2,location,appropriations,obligations
Social Development,-,-,-,70903392.46,38675508.46
Social Development,Construction or rehabilitation of local government-owned potable water supply sytem,Delivery of materials for water system,"Kaytitinga 1, Alfonso",185700,185700
Social Development,Construction or rehabilitation of local government-owned potable water supply sytem,Delivery of pipes for the repair or rehabilitation of water system,"St. Theresa, Alfonso",85000,85000
Social Development,Construction or rehabilitation of local government-owned potable water supply sytem,Construction of water system,"Tulay B, Sitio Bodega, Maragondon",1744036.82,1744036.82
Social Development,Construction or rehabilitation of local government-owned potable water supply sytem,Construction of 2 units shallow well handpump,Barangay II Ternate,54328.63,54328.63
Social Development,Construction or rehabilitation of local government-owned potable water supply sytem,Construction of 4 units deep well handpump,Poblacion I-A Ternate,159009.59,159009.59
Social Development,Construction or rehabilitation of local government-owned potable water supply sytem,Construction of 2 units shallow well handpump,Sapang I Ternate,46605.44,46605.44
Social Development,Construction or rehabilitation of local government-owned potable water supply sytem,Delivery of materials for the improvement of water sytem,Maitim I Amadeo,65000,-
Social Development,Establihment or rehabilitation of man power development centers,Improvement of school clasroom (Grade V-Rosaal),Alfonso Central School,73000,73000
Social Development,Establihment or rehabilitation of man power development centers,Consstruction of multi-purpose building for day care workers,Magallanes,800000,800000
Social Development,Establihment or rehabilitation of man power development centers,Completion of day care center,"Kaybagal Central, Tagaytay City",375700,375700
Social Development,Establihment or rehabilitation of man power development centers,Completion of pre-school building,Mahabang Kahoy Cerca Indang,200000,-
Social Development,Establihment or rehabilitation of man power development centers,"Construction of 2 units, 2 storey, 8 classsroom modular school building",Naic Elementary Shool ,7583400,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Delivery of playground facilities,Habay I Bacoor,50000,50000
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of second floor of senior citizen building,"Fatima II, Dasmarinas City",631800,631800
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Delivery of materials for the construction of senior citizen building ,"San Francisco II, Dasmarinas City",97500,97500
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of multi-purpose hall,"Pasong Kawayan I, General Trias",1359600,1359600
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of two storey multi-purpose hall,Bagong Silang Imus,2837000,2837000
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Extension of school stage,Banaba Cerca Elementary School,356000,356000
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of public toilet,"Relocation Site, Toclong Kawit",695000,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Contruction of roofing of stage,"Bucal Elementary School, Maragondon",338300,338300
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Completion of 2nd floor of the multi-purpose hall ,Palangue 2-3 Naic,1000000,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of multi-purpose hall,Wawa II Rosario,1790000,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Completion of multi-purpose hall,De Ocampo Trese Martires,2074000,2074000
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Improvement of multi-purpose hall,Osorio Trese Martires,1500000,1500000
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court canopy,"Amuyong Elementary School, Alfonso",150000,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (18m x 30m),"Salawag, Dasmarinas City",3426000,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (15m x 26m) with stage and bleachers,Anabu II-C Imus,3465200,3465200
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of arc roof covered court (20m x 30m)with bleacher ,Bayan Luma 6 Trelane III Imus,3850200,3850200
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (18m x 30m) with bleacher,Bucandala 3 Imus,5572500,5572500
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court(18m x 30m),Maharlika Imus,3931400,3931400
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Improvement of covered court,Malagasang I-C Imus,158000,158000
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (15m x 18m),Malagasang I Elementary School Imus,1846200,1846200
