description_of_project_1,description_of_project_2,description_of_project_3,location,total_cost,date_started,target_completion_date,project_status_%_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if any,remarks
Social Development,"Construction or Rehabilitation of health centers, rural health units or hospitals and purchases of medical equipment",Repair or Improvement of health center,"Tulay A, Maragondon",146366.1,-,-,-,-,-,-
Social Development,"Construction or Rehabilitation of health centers, rural health units or hospitals and purchases of medical equipment",Improvement of barangay health center and day care center,"Buna Lejos, Indang",1657776.11,-,-,-,-,-,For Implementation
Social Development,Construction or rehabilitation of local government-owned potable water supply system,Construction of water system,"Panthan 2, Maragondon",2000000,10/14/2014,11/27/2014,20%,-,-,On Going
Social Development,Construction or rehabilitation of local government-owned potable water supply system,Construction of one (1) unit deepwell,"Smpaloc 3, City of Dasmariñas",47351.04,-,-,-,-,-,For Implementation
Social Development,Construction or rehabilitation of local government-owned potable water supply system,Delivery of materials for improvement of water supply system,"Alulod, Indang",172194,-,-,-,-,-,For Implementation
Social Development,Construction or rehabilitation of local government-owned potable water supply system,"Construction of 20,000 gallons elevated steel tank","Sicat, Alfonso",1324267.65,-,-,-,-,-,For Implementation
Social Development,Construction or rehabilitation of local government-owned potable water supply system,Construction of 1 unit deepwell with handpump,"Osorio, Purok IV, Trece Martires City",43563.52,-,-,-,-,-,For Implementation
Social Development,Establishment or rehabilitation of manpower development centers,Construction of day care center with fence,"Medina, Sitio Kay-apas, Magallanes",1074830,-,-,-,-,-,For Implementation
Social Development,Establishment or rehabilitation of manpower development centers,Concreting of road,"Kaytitinga NHS-Annex, Kaytitinga I, Alfonso","498,841.40",-,-,-,-,-,For Implementation
Social Development,Establishment or rehabilitation of manpower development centers,Concreting of road,"Kaytitinga I, Alfonso",-,-,-,-,-,-,-
Social Development,Establishment or rehabilitation of manpower development centers,Concreting of road,"PUP, Mangas, Alfonso",1393200,-,-,-,-,-,For Implementation
Social Development,"Construction or rehabilitation of multipurpose facilities(out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (11m x 30m) and canal steel cover,"Carasuchi, Indang",3146664.81,-,-,-,-,-,For Implementation
Social Development,"Construction or rehabilitation of multipurpose facilities(out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court and evacuation center,"Ligtong III, Rosario",9709963.16,-,-,-,-,-,For Implementation
Social Development,"Construction or rehabilitation of multipurpose facilities(out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of 2-storey multipurpose hall,"Barangay 25-Capricorn, Cavite City",2752137,-,-,-,-,-,For Implementation
Social Development,"Construction or rehabilitation of multipurpose facilities(out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of 15m x 30m arc roof covered court,"Sahud-Utan, Tanza",2643275.51,-,-,-,-,-,For Implementation
