programs_or_projects,approved_annual_appropriation,earmark_and_obligation_as_of_march_2012,utilization_ rate_in_percent
Government Buildings and Parks Improvement Program,4000000,1216255.8,30.41
Barangay Roads Development Program,8600000,1520092.5,17.68
Kauban sa Reporma Kalayaan Resettlement Center,1000000,-,0
Bohol District Jail Development Program (Completion of Primary Perimeter Fence),1000000,-,0
Environmental and Sanitation Program (Purchase of Garbage Compactor),1500000,1485000,99
Barangay Electrification Program,2500000,-,0
Barangay Waterworks Program,5000000,1795980,35.92
Provincial Roads Development and Rehabilitation of Roads and Bridges Program,125670827.6,12064849.21,9.6
Provincial Roads Management Facility (PRMF) PGBH Counterpart for Roads Program,12000000,-,0
Provincial Motorpool Support Program,14000000,5277236.48,37.69
Loan Amortization for the Procurement of Heavy Equipment,25894177,6292616.85,24.3
Sanitation Program or  Latrine Construction,1000000,-,0
Total,202165004.6,29652030.84,14.67
