function_or_program_or_project_1,function_or_program_or_project_2,appropriation,allotment,obligations,allotment_balance,appropriation_balance
Capital Outlay,Drainage - Bato to Sabang North,15000000,15000000,15000000,-,-
Capital Outlay,FMR and Road Openings,15000000,15000000,15000000,-,-
Capital Outlay,Heavy Equipment - Garbage or Dump Trucks,19500000,19500000,19500000,-,-
Capital Outlay,Landfill Acquisition and Development,-,-,-,-,-
Capital Outlay,Slaughterhouse - Construction or Lot Acquisition,500000,-,-,-,5000000
Capital Outlay,Road Widening - Post Office Area,5000000,5000000,4866110.35,133889.65,133889.65
Capital Outlay,Renovation or Improvement of Public Market,4000000,4000000,3609459,390541,390541
Capital Outlay,Transformer or Generator,1500000,1500000,1468500,-,31500
Capital Outlay,Development of Old Market Site,2000000,-,-,-,2000000
Capital Outlay,Generator,49335,-,-,-,49335
Capital Outlay,Construction of Seawall (Baywalk),9500000,9500000,6825022.9,2674977.1,2674977.1
Capital Outlay,Construction of Barangay Bridges,500000,500000,-,-,500000
Capital Outlay,Total,72549335,70000000,66269092.25,3199407.75,6280242.75
