particulars_1,particulars_2,amount
Maintenace and Other Operating Expenses,Travelling Expenses,10771.36
Maintenace and Other Operating Expenses,Office Supplies Expenses,44900
Maintenace and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",24000
Maintenace and Other Operating Expenses,Other Supplies Expenses,166000
Maintenace and Other Operating Expenses,Water Expenses,28749.47
Maintenace and Other Operating Expenses,Rent Expenses,1800
Maintenace and Other Operating Expenses,Representation Expenses,257200
Maintenace and Other Operating Expenses,Janitorial Expenses,37708.44
Maintenace and Other Operating Expenses,Security Expenses,508101
Maintenace and Other Operating Expenses,Repair Maintenance - Land and Improvements,87406
Maintenace and Other Operating Expenses,Repair Maintenance - Other PPE,50380
Maintenace and Other Operating Expenses,"Repair Maintenance - Roads, Highways and Bridges",566045
Maintenace and Other Operating Expenses,"Repair Maintenance - Artesian Wells, Reservoirs, Pumping Stations",21016.5
Maintenace and Other Operating Expenses,Subsidies and Donations,2692632.13
Other Maintenance and Other Operating Expenses,Firefighting Equipment and Accessories,215000
Other Maintenance and Other Operating Expenses,"Other Property, Plant and Equipment",-
Other Maintenance and Other Operating Expenses,Construction in Progress - Agencey Assets,501953.03
Other Maintenance and Other Operating Expenses,Construction in Progress - Public Infrastructures or Reforestation projects,-
Total,Total,5223382.93
