particulars_1,particulars_2,particulars_3,particulars_4,particulars_5,2012,2011
Tax Revenue,Local Taxes,Amusement Tax,Amusement Tax,Amusement Tax,0,-
Tax Revenue,Local Taxes,Business Tax,Business Tax,Business Tax,0,-
Tax Revenue,Local Taxes,Community Tax,Community Tax,Community Tax,0,-
Tax Revenue,Local Taxes,Franchise Tax,Franchise Tax,Franchise Tax,0,-
Tax Revenue,Local Taxes,Occupation Tax,Occupation Tax,Occupation Tax,0,-
Tax Revenue,Local Taxes,Printing and Publication Tax,Printing and Publication Tax,Printing and Publication Tax,0,-
Tax Revenue,Local Taxes,Property Transfer Tax,Property Transfer Tax,Property Transfer Tax,0,-
Tax Revenue,Local Taxes,Real Property Tax,Real Property Tax,Real Property Tax,0,-
Tax Revenue,Local Taxes,Real Property Tax,Less: Discount on Real Property Tax,Less: Discount on Real Property Tax,0,-
Tax Revenue,Local Taxes,Real Property Tax on Idle Lands,Real Property Tax on Idle Lands,Real Property Tax on Idle Lands,0,-
Tax Revenue,Local Taxes,Special Assessment Tax,Special Assessment Tax,Special Assessment Tax,0,-
Tax Revenue,Local Taxes,Special Education Tax,Special Education Tax,Special Education Tax,0,-
Tax Revenue,Local Taxes,Special Education Tax,Less: Discount on Special Education Tax,Less: Discount on Special Education Tax,0,-
Tax Revenue,Local Taxes,Tax on Delivery Trucks and Vans,Tax on Delivery Trucks and Vans,Tax on Delivery Trucks and Vans,0,-
Tax Revenue,Local Taxes,"Tax on Sand, Gravel and Other Quarry Products","Tax on Sand, Gravel and Other Quarry Products","Tax on Sand, Gravel and Other Quarry Products",0,-
Tax Revenue,Local Taxes,Other Local Taxes,Other Local Taxes,Other Local Taxes,0,-
Tax Revenue,Local Taxes,Fines and Penalties- Local Taxes,Fines and Penalties- Local Taxes,Fines and Penalties- Local Taxes,0,-
General Income Accounts,Internal Revenue Allotment,Internal Revenue Allotment,Internal Revenue Allotment,Internal Revenue Allotment,162343089.4,-
General Income Accounts,Permits and Licenses,Fees on Weights and Measures,Fees on Weights and Measures,Fees on Weights and Measures,0,-
General Income Accounts,Permits and Licenses,Fishery Rental Fees,Fishery Rental Fees,Fishery Rental Fees,0,-
General Income Accounts,Permits and Licenses,Franchising and Licensing Fees,Franchising and Licensing Fees,Franchising and Licensing Fees,0,-
General Income Accounts,Permits and Licenses,Motor Vehicles Users Charge,Motor Vehicles Users Charge,Motor Vehicles Users Charge,0,-
General Income Accounts,Permits and Licenses,Permit Fees,Permit Fees,Permit Fees,0,-
General Income Accounts,Permits and Licenses,Registration Fees,Registration Fees,Registration Fees,0,-
General Income Accounts,Permits and Licenses,Other Permits and Licenses,Other Permits and Licenses,Other Permits and Licenses,0,-
General Income Accounts,Permits and Licenses,Fines and Penalties-  Permits and Licenses,Fines and Penalties-  Permits and Licenses,Fines and Penalties-  Permits and Licenses,0,-
General Income Accounts,Service Income,Affiliation Fees,Affiliation Fees,Affiliation Fees,0,-
General Income Accounts,Service Income,Athletic and Cultural Fees,Athletic and Cultural Fees,Athletic and Cultural Fees,0,-
General Income Accounts,Service Income,Clearance and Certification Fees,Clearance and Certification Fees,Clearance and Certification Fees,0,-
General Income Accounts,Service Income,Comprehensive Examination Fees,Comprehensive Examination Fees,Comprehensive Examination Fees,0,-
General Income Accounts,Service Income,Diploma and Graduation Fees,Diploma and Graduation Fees,Diploma and Graduation Fees,0,-
General Income Accounts,Service Income,Garbage Fees,Garbage Fees,Garbage Fees,0,-
General Income Accounts,Service Income,Inspection Fees,Inspection Fees,Inspection Fees,0,-
General Income Accounts,Service Income,Library Fees,Library Fees,Library Fees,0,-
General Income Accounts,Service Income,"Medical, Dental and Laboratory Fees","Medical, Dental and Laboratory Fees","Medical, Dental and Laboratory Fees",0,-
General Income Accounts,Service Income,Processing Fees,Processing Fees,Processing Fees,0,-
General Income Accounts,Service Income,Seminar Fees,Seminar Fees,Seminar Fees,0,-
General Income Accounts,Service Income,Toll and Terminal Fees,Toll and Terminal Fees,Toll and Terminal Fees,0,-
General Income Accounts,Service Income,Transcript of Records Fees,Transcript of Records Fees,Transcript of Records Fees,0,-
General Income Accounts,Service Income,Other Services Income,Other Services Income,Other Services Income,0,-
General Income Accounts,Service Income,Fines and Penalties - Service Income,Fines and Penalties - Service Income,Fines and Penalties - Service Income,0,-
General Income Accounts,Business Income,Hospital Fees,Hospital Fees,Hospital Fees,0,-
General Income Accounts,Business Income,Income from Canteen Operations,Income from Canteen Operations,Income from Canteen Operations,0,-
General Income Accounts,Business Income,Income from Cemetery Operations,Income from Cemetery Operations,Income from Cemetery Operations,0,-
General Income Accounts,Business Income,Income from Communication Facilities,Income from Communication Facilities,Income from Communication Facilities,0,-
General Income Accounts,Business Income,Income from Dormitory Operations,Income from Dormitory Operations,Income from Dormitory Operations,0,-
General Income Accounts,Business Income,Landing and Parking Fees,Landing and Parking Fees,Landing and Parking Fees,0,-
General Income Accounts,Business Income,Income from Markets,Income from Markets,Income from Markets,0,-
General Income Accounts,Business Income,Income from Slaughterhouse,Income from Slaughterhouse,Income from Slaughterhouse,0,-
General Income Accounts,Business Income,Income from Transportation System,Income from Transportation System,Income from Transportation System,0,-
General Income Accounts,Business Income,Income from Waterworks System,Income from Waterworks System,Income from Waterworks System,0,-
General Income Accounts,Business Income,Printing and Publication Income,Printing and Publication Income,Printing and Publication Income,0,-
General Income Accounts,Business Income,Rent Income,Rent Income,Rent Income,0,-
General Income Accounts,Business Income,Sales Revenue,Sales Revenue,Sales Revenue,0,-
General Income Accounts,Business Income,Sales Revenue,Cost of Goods Sold,Cost of Goods Sold,0,-
General Income Accounts,Business Income,Net Sales Revenue,Net Sales Revenue,Net Sales Revenue,0,-
General Income Accounts,Business Income,Tuition Fees,Tuition Fees,Tuition Fees,0,-
General Income Accounts,Business Income,Other Business Income,Other Business Income,Other Business Income,0,-
General Income Accounts,Business Income,Fines and Penalties - Business Income,Fines and Penalties - Business Income,Fines and Penalties - Business Income,0,-
General Income Accounts,Other Income,Dividend Income,Dividend Income,Dividend Income,0,-
General Income Accounts,Other Income,Income from Grants and Donations,Income from Grants and Donations,Income from Grants and Donations,0,-
General Income Accounts,Other Income,Insurance Income,Insurance Income,Insurance Income,0,-
General Income Accounts,Other Income,Interest Income,Interest Income,Interest Income,0,-
General Income Accounts,Other Income,Sale of Confiscated/Abandoned/Seized Goods and Properties,Sale of Confiscated/Abandoned/Seized Goods and Properties,Sale of Confiscated/Abandoned/Seized Goods and Properties,0,-
General Income Accounts,Other Income,Share from Economic Zones,Share from Economic Zones,Share from Economic Zones,0,-
General Income Accounts,Other Income,Share from Expanded Value Added Tax,Share from Expanded Value Added Tax,Share from Expanded Value Added Tax,0,-
General Income Accounts,Other Income,Share from National Wealth,Share from National Wealth,Share from National Wealth,10108.06,-
General Income Accounts,Other Income,Share from PAGCOR/PCSO,Share from PAGCOR/PCSO,Share from PAGCOR/PCSO,0,-
General Income Accounts,Other Income,Share from Tobaco Excise Tax,Share from Tobaco Excise Tax,Share from Tobaco Excise Tax,0,-
General Income Accounts,Other Income,Miscellaneous Income,Miscellaneous Income,Miscellaneous Income,0,-
General Income Accounts,Other Income,Other Fines and Penalties,Other Fines and Penalties,Other Fines and Penalties,0,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Regular,Salaries and Wages - Regular,0,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Military/Uniformed ,Salaries and Wages - Military/Uniformed ,0,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Part-time,Salaries and Wages - Part-time,0,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Substitute,Salaries and Wages - Substitute,0,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Casual ,Salaries and Wages - Casual ,0,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Contractual ,Salaries and Wages - Contractual ,0,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Emergency ,Salaries and Wages - Emergency ,0,-
Expenses,Personal Services,Other Compensation,Personnel Economic Relief Allowance (PERA),Personnel Economic Relief Allowance (PERA),0,-
Expenses,Personal Services,Other Compensation,Additional Compensation (ADCOM),Additional Compensation (ADCOM),0,-
Expenses,Personal Services,Other Compensation,Representation Allowance (RA),Representation Allowance (RA),0,-
Expenses,Personal Services,Other Compensation,Transportation Allowance (TA),Transportation Allowance (TA),0,-
Expenses,Personal Services,Other Compensation,Clothing/Uniform Allowance,Clothing/Uniform Allowance,0,-
Expenses,Personal Services,Other Compensation,"Subsistence, Laundry and Quarter Allowance","Subsistence, Laundry and Quarter Allowance",0,-
Expenses,Personal Services,Other Compensation,Productivity Incentive Allowance,Productivity Incentive Allowance,0,-
Expenses,Personal Services,Other Compensation,Other Bonuses and Allowances,Other Bonuses and Allowances,0,-
Expenses,Personal Services,Other Compensation,Honoraria,Honoraria,0,-
Expenses,Personal Services,Other Compensation,Hazard Pay,Hazard Pay,0,-
Expenses,Personal Services,Other Compensation,Longevity Pay,Longevity Pay,0,-
Expenses,Personal Services,Other Compensation,Overtime and Night Pay,Overtime and Night Pay,0,-
Expenses,Personal Services,Other Compensation,Cash Gift,Cash Gift,0,-
Expenses,Personal Services,Other Compensation,Year End Bonus,Year End Bonus,0,-
Expenses,Personal Services,Personnel Benefits Contributions,Life and Retirement Insurance Contributions,Life and Retirement Insurance Contributions,0,-
Expenses,Personal Services,Personnel Benefits Contributions,PAG-IBIG Contributions,PAG-IBIG Contributions,0,-
Expenses,Personal Services,Personnel Benefits Contributions,PHILHEALTH Contributions,PHILHEALTH Contributions,0,-
Expenses,Personal Services,Personnel Benefits Contributions,ECC Contributions,ECC Contributions,0,-
Expenses,Personal Services,Other Personnel Benefits,Pension Benefits - Civilian,Pension Benefits - Civilian,0,-
Expenses,Personal Services,Other Personnel Benefits,Retirement Benefits - Civilian,Retirement Benefits - Civilian,0,-
Expenses,Personal Services,Other Personnel Benefits,Terminal Leave Benefits,Terminal Leave Benefits,0,-
Expenses,Personal Services,Other Personnel Benefits,Health Workers Benefits,Health Workers Benefits,0,-
Expenses,Personal Services,Other Personnel Benefits,Other Personnel Benefits,Other Personnel Benefits,0,-
Expenses,Maintenance and Other Operating Expenses,Travelling Expenses,Travelling Expenses - Local,Travelling Expenses - Local,0,-
Expenses,Maintenance and Other Operating Expenses,Travelling Expenses,Travelling Expenses - Foreign ,Travelling Expenses - Foreign ,0,-
Expenses,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,Training Expenses,Training Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,Scholarship Expenses,Scholarship Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Office Supplies Expense,Office Supplies Expense,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Accountable Forms Expenses,Accountable Forms Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Animal/Zoological Supplies Expenses,Animal/Zoological Supplies Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Food Supplies Expenses,Food Supplies Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Drugs and Medicines Expenses,Drugs and Medicines Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,"Medical, Dental and Laboratory Supplies Expenses","Medical, Dental and Laboratory Supplies Expenses",0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,"Gasoline, Oil and Lubrication Expenses","Gasoline, Oil and Lubrication Expenses",0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Agricultural Supplies Expenses,Agricultural Supplies Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Textbooks and Instructional Materials Expenses,Textbooks and Instructional Materials Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Military and Police Supplies Expenses,Military and Police Supplies Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Other Supplies Expenses,Other Supplies Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Utility Expenses,Water Expenses,Water Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Utility Expenses,Electricity Expenses,Electricity Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Utility Expenses,Cooking Gas Expenses,Cooking Gas Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Communication Expenses,Postage and Deliveries,Postage and Deliveries,0,-
Expenses,Maintenance and Other Operating Expenses,Communication Expenses,Telephone Expenses - Landline,Telephone Expenses - Landline,0,-
Expenses,Maintenance and Other Operating Expenses,Communication Expenses,Telephone Expenses - Mobile,Telephone Expenses - Mobile,0,-
Expenses,Maintenance and Other Operating Expenses,Communication Expenses,Internet Expenses,Internet Expenses,0,-
