project_title_1,project_title_2,location,amount,remarks
Infrastructure,Repair/Improvement of Lagucan Provincial Road,"Maria, Siquijor",2895000,Completed
Infrastructure,Improvement of Lambojon Provincial Road,"Siquijor, Siquijor",925000,Completed
Infrastructure,Repair/Rehab/Improvement of Pulangyuta – San Antonio-Cang-asa Provincial Road,"Siquijor, Siquijor",1425500,Completed
Infrastructure,Repair/Rehab of Banban-Pili Road,"Siquijor, Siquijor",984000,Completed
Infrastructure,Improvement. Cangmatnog Manpower Center,"Siquijor, Siquijor",395000,Completed
Infrastructure,Installation of Lights at Basac Tennis Court,"Larena, Siquijor",150594.84,Completed
Infrastructure,"Energization at Nagerong, Lazi","Lazi, Siquijor",285400,Completed
Infrastructure,"Energization at Poblacion, En. Villanueva","En. Villanueva, Siquijor",477500,Completed
Infrastructure,"Energization Project at Candaping A, Maria","Maria, Siquijor",195000,Completed
Infrastructure,"Energization Project at Bonga, Maria","Maria, Siquijor",196500,Completed
Infrastructure,"Energization Project at Liloan, Maria","Maria, Siquijor",195500,Completed
Non-Infrastructures,Purchase of PE Pipes,Provincewide,1000000,Completed
Non-Infrastructures,Construction of 12 units insemination chutes,Provincewide,150000,Completed
Non-Infrastructures,Rehab of Goat Production Center,"Helen, Larena",75000,Completed
Non-Infrastructures,"Procurement of Dewormer, Liquids Nitrogen in Support to livelihood and Livestock Industry Development",-,50000,Completed
