function_program_project_activity,authorized_appropriation,total_allotment,obligation,unobligated_balance
Loan Amortization,51070104.31,12767526.08,4691030.58,8076495.5
Coastal Fisheries Resources Management Program(CFRM),3500000,875000,48000,827000
Fisheries Production and Dev't.,1500000,375000,34830,340170
Forest Management,570000,142500,-,142500
"Pollution Control and Waste Management Res. 031, Ord. '12-03",1217441.63,767441.63,-,767441.63
Organization and Capacity Dev't. of E-code or IRR Implemenors,100000,-,-,0
Climate Change Advocacy,100000,-,-,0
Small Scale Mining and Regulation,160000,160000,-,160000
Food Security Programs,18250000,5000000,257813.04,4742186.96
Livestock Dispersal,2345000,586250,-,586250
Tourism Development and Promotion,1900000,1180000,976290,203710
PDPFP or PDIP Reproduction,150000,35000,31490,3510
Water Supply Projects,4000000,1000000,97878.39,902121.61
Health Care and Indigency Program - Blood Assistance,1000000,250000,112500,137500
Health Care and Indigency Program - Philhealth Counterpart,4000000000,-,-,0
Health Care and Indigency Program - Health and Nutrition,1500000,-,-,0
Provincial Counterpart to ILHZs - Maasin ILHZs,243346.01,-,-,0
Provincial Counterpart to ILHZs - Sogod ILHZs,243346.01,-,-,0
Provincial Counterpart to ILHZs - Pacific ILHZs,243346.01,-,-,0
Provincial Counterpart to ILHZs - Panaon ILHZs,486692.02,-,-,0
Infrastructure Support Projects,5426570.44,1356642.61,-,1356642.61
Total 20% Economic Development Fund(2012),98005846.43,24495360.32,6249832.01,18245528.31
