accounts_title_1,accounts_title_2,account_code,appropriation,allotment,appropriation_balance,obligations_incurred,unobligated_balance
Social Services Sector,"Rehabilitation of OR or DR Complex and OB ward of DRSTMH Kalibo, Aklan - Lump Sum",-,1000000,-,1000000,-,-
Social Services Sector,"Rehabilitation of main hospital building of Godofredo P. Ramos Hospital, Altavas, Aklan - Lump Sum",-,900000,-,900000,-,-
Social Services Sector,"Rehabilitation and Improvement of main building of DLNDMH, Madalag, Aklan - Lump Sum",-,600000,-,600000,-,-
Social Services Sector,"Rehabilitation of main building of Malay Municipal Hospital, Malay, Aklan - Lump Sum",-,1200000,1200000,-,1200000,-
Social Services Sector,Rehabilitation of main hospital building of Don Ciriaco Municipal Hospital - Lump Sum,-,2600000,-,2600000,-,-
Social Services Sector,Constructionof Building for Protection of Children(Aklan Youth Center) - Lump Sum,-,4614227.3,-,4614227.3,-,-
Social Services Sector,Construction or Rehabilitation of building and facilities for disabled persons - Lump Sum,-,2057113.65,-,2057113.65,-,-
Social Services Sector,Construction of Buuilding for Senior Citizens - Lump Sum,-,2057113.65,-,2057113.65,-,-
Social Services Sector,Improvement of Electrification Program or Project Provincewide - Lump Sum - Aklan Decorative St. Lighting(Pook-Andagao Sec Ph2),-,1500000,1500000,-,1462457.01,37542.99
Social Services Sector,"Construction or Rehabilitation of various Irrigation, Water Supply System - Lump Sum",-,1500000,-,1500000,-,-
Economic Services,"Livelihood Program(Kabuhayan, Pagsukob sa Kapubrehan) - PGO",878,1742330.5,1742330.5,-,1141192.5,601138
Economic Services,"Livelihood Program(Kabuhayan, Pagsukob sa Kapubrehan) - OPA",878,250000,250000,-,-,250000
Economic Services,Pook Economic and Tourism Developmet Project - Lump Sum,-,2500000,-,2500000,-,-
Economic Services,Construction or Rehabilitation of Local Roads and Bridges - Lump Sum,-,11747000,-,6247000,-,-
Economic Services,Construction or Rehabilitation of Local Roads and Bridges - Concreting of Caano-Nalook Road,-,-,500000,-,419957.22,80042.78
Economic Services,Construction or Rehabilitation of Local Roads and Bridges - Opening of road for the proposed pook eco-tourism,-,-,5000000,-,-,5000000
Economic Services,Purchase of Engineering Equipments - Heavy Equipment,-,1600000,1600000,-,1600000,-
Economic Services,Loan Amortization-Principal - Principal - Lump Sum,-,52974194.7,52974194.7,-,37406987.16,15567207.54
Environmental Management,Palayamanan-Kabuhayan Program - Agricultural Supllies,762,72500,58000,14500,-,58000
Environmental Management,Palayamanan-Kabuhayan Program - Training and Seminar,753,27500,22000,5500,-,22000
Environmental Management,Corn Production Program - Technical Briefing,-,40000,32000,8000,4973,27027
Environmental Management,Corn Production Program - Hybrid or OPV Corn seeds,-,65000,-,65000,-,-
Environmental Management,Corn Production Program - Techno Demo,-,25000,-,25000,-,-
Environmental Management,Corn Production Program - Labor or Maintenance,-,60000,27800,32200,-,27800
Environmental Management,"Corn Production Program - Fuel, Oil and Lubricants",-,10000,8000,2000,-,8000
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Training Workshop - Food and Accomodation,753,100000,80000,20000,12750,67250
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Training Workshop - Trainning Supplies,-,50000,40000,10000,-,40000
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Quarterly Meeting - Snacks,-,50000,40000,10000,-,40000
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Underwater Assesment AR,782,300000,240000,60000,-,240000
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Underwater Assesment of E proposed fish sanctuary,782,278075,222460,55615,-,222460
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Fuel and Oil for Pump Boat,761,50000,40000,10000,-,40000
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Diving Gears or Equipment and Accessories Proc of 2 Scuba Diving,227,527125,527125,-,525898.29,1226.71
Environmental Management,Integrated Coastal Zone Management Program(IZCMP) - Proc of 1 underwater camera,227,70000,70000,-,70000,-
Environmental Management,Rubber Tree Plantation Program - Labor,795,347250,277800,69450,-,277800
Environmental Management,Rubber Tree Plantation Program - Maintenance and Other Operating Expense,969,300000,240000,60000,50000,190000
Environmental Management,Rubber Tree Plantation Program - Supplies and Materials,765,502750,201100,301650,-,201100
Environmental Management,"Rubber Tree Plantation Program - Fuel, Oil and Lubricants",761,150000,40000,110000,-,40000
Environmental Management,Vegetable Production - Agricultural Exenses (seeds),762,100000,80000,20000,80040.75,-40.75
Environmental Management,Vegetable Production - Trainning Expenses,753,50000,18000,32000,11425,6575
Environmental Management,Vegetable Production - Labor,795,50000,-,50000,-,-
Environmental Management,Establishment of Demo Farm on Location Specific Development - Production Inputs,762,60000,48000,12000,32317,15683
Environmental Management,Establishment of Demo Farm on Location Specific Development - Training and Seminars,753,230000,46000,184000,37179,8821
Environmental Management,Establishment of Demo Farm on Location Specific Development - Laborer,795,100000,20000,80000,-,20000
Environmental Management,Establishment of Demo Farm on Location Specific Development - Other Expenses,969,10000,2000,8000,-,2000
Environmental Management,Integrated Pest Management - Proc. of Supplies,762,122000,97600,24400,60952,36648
Environmental Management,Integrated Pest Management - Conduct of Pest Surveillance,753,23000,18400,4600,17048,"1,352"
Environmental Management,Integrated Pest Management - Fuel,761,5000,4000,1000,-,4000
