particulars_1,particulars_2,particulars_3,contractor,status,date,appropriation,obr_number,allotment,payment,checked_number,date,balance
"Provincial, Municipal Roads and Bridges","Provincial, Municipal, Roads and Bridges","Provincial, Municipal, Roads and Bridges",Herban Builders,Completed,4/14/2011,1325000,2011-04-0732,1325000,1319960.75,11360,11/28/2011,5039.43
"Provincial, Municipal Roads and Bridges","Improvement of Roads, Sidewalks at Various Barangays",Completion 3rd Floor Bacoor Computer Intel,-,-,-,-,-,-,-,-,-,-
"Provincial, Municipal Roads and Bridges",Construction/Improvement of Pathways-Various Barangays,Construction/Improvement of Pathways-Various Barangays,-,-,-,-,-,-,-,-,-,-
Water and Sewage,Construction of Canals/Drilling of Deepwells,"Installation of Water Systems, Schools Building-Villa Maria",Almakar Builders,Completed,4/15/2011,2011-04-0752,600000,595319.22,25023,25073,6/21/2011,4680.75
Water and Sewage,Construction of Canals/Drilling of Deepwells,Upgrading Wed. St. Construction Drainage Canal St. Joseph Subdivision,N. Lim Dy Construction,Completed,5/2/2011,5300000,2011-05-0872,5300000,5297429.21,27044,10/20/2011,2570.79
Water and Sewage,Construction of Canals/Drilling of Deepwells,"Upgrading road, Construction Drainage Canal, St. Micheal",Almakar Builders,Completed,4/14/2011,2300000,2011-04-0753,2300000,2295595.46,27121,12/22/2011,4403.54
Water and Sewage,Construction of Canals/Drilling of Deepwells,Installation Deepwells,Amko Construction,Completed,8/17/2011,2340000,2011-08-1914,2340000,2337968.79,11560,12/22/2011,2031.21
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Covered Court,N.Lim Dy Construction,Partial,5/2/2011,4900000,2011-06-0874,4900000,2723670.39,27148,11/8/2011,-
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,-,N.Lim Dy Construction,Completed,5/2/2012,2176429.61,2011-06-0874,2176760.02,2169760.02,437597,3/15/2012,6649.59
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Covered Court and Stage at Q.Row E/S,-,-,-,5200000,-,5200000,-,-,-,5200000
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Cosntruction Daycare Ct. w/ playground and library,Almakar Builders,Completed,4/14/2011,6500000,-,6500000,-,-,-,6500000
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Covered Court,R2A Construction,Completed,4/14/2011,5400000,2011-04-731,5393761.76,5393761.78,11382,11/28/2011,6238.24
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Baketball Court (Half Court),CBS Construction,Completed,8/17/2011,320000,2011-08-1915,320000,317746.04,27026,6/29/2011,2253.96
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Covered Court (Half Court),-,-,-,2600000,-,2600000,-,-,-,2600000
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Completion of PNP Building 4,R2A Construction,Partial,4/14/2011,5120000,2011-04-0734,5120000,2146671.12,26894,9/22/2011,-
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,-,-,Completed,4/14/2011,2966679.97,2011-04-0734,2966679.97,2966679.97,11445,12/12/2011,5648.91
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Repair and Improvement Police Community Percint,Almakar Builders,Completed,4/14/2011,650000,2011-04-0733,650000,647058.18,26690,12/15/2011,2943.62
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Rehabilitation Aniban Park,-,-,-,700000,-,700000,-,-,-,700000
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Improvement Covered Basketball Court at JSVille,Almakar Builders,Completed,5/2/2011,900000,2011-05-0873,900000,895519.55,11484,12/15/2011,4480.45
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Waiting Shed Fronting Ligas E/S,Almakar Builders,Completed,4/14/2011,150000,2011-04-0727,150000,147987.38,26900,12/15/2011,2012.62
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Completion Covered Court (Half Court),Almakar Builders,Completed,4/14/2011,1500000,2011-04-0726,1500000,1495081.32,26906,9/22/2011,4918.68
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Improvement Revilla-Type Barangay Hall,FPN Construction,Completed,8/17/2011,900000,2011-05-1917,900000,895931.19,226740,9/22/2011,4068.61
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Improvement Halfway House,Arellano General Contractor,Completed,8/17/2011,850000,2011-05-0876,850000,845756.51,11579,11/23/2011,4243.49
