date_implemented,function,program,project,obligation_incurred _annual_appropriation,obligation_incurred_2nd_quarter_balance,obligation_incurred_project_cost,obligation_incurred_3rd_quarter_balance
-,Annual Investment Plan 2012 - Other Services (Environment),Reforestation and Urban Greening,-,4000000,1644000,-,-
July,Annual Investment Plan 2012 - Other Services  (Environment),Reforestation and Urban Greening,Establishment and Maintenance of Binhi- Tree for the Future Project,-,-,250000,-
July,Annual Investment Plan 2012 - Other Services (Environment),Reforestation and Urban Greening,Financial Assistance- Brgy. Poblacion (Establishment of Nursery),-,-,200000,-
-,Total Project Cost,-,-,-,1644000,450000,1194000
August,Annual Investment Plan 2012 - Other Services (Environment),"Construction or Rehabilitation of Sanitary Landfill, Materials Recovery Facility and Purchase of Garbage Truck and Related Equipment",-,3000000,2912916,-,-
August,Annual Investment Plan 2012 - Other Services (Environment),"Construction or Rehabilitation of Sanitary Landfill, Materials Recovery Facility and Purchase of Garbage Truck and Related Equipment",Purchase of Bush Cutter,-,-,18600,-
August,Annual Investment Plan 2012 - Other Services (Environment),"Construction or Rehabilitation of Sanitary Landfill, Materials Recovery Facility and Purchase of Garbage Truck and Related Equipment",Purchasse of Industrial Engine for Plastic shredder,-,-,15000,-
September,Annual Investment Plan 2012 - Other Services (Environment),"Construction or Rehabilitation of Sanitary Landfill, Materials Recovery Facility and Purchase of Garbage Truck and Related Equipment",Purchase of various supplies for SWMP,969,-,42875,-
-,Total Project Cost,-,-,-,2912916,76475,2836441
-,Annual Investment Plan 2012 - Other Services (Environment),"Implementation of Flood and Erosion Control Projects such as but not Limited to Rehabilitation or Construction of Drainage System, De Sitting of River Declogging of Canal",-,3000000,2150000,-,-
July,Annual Investment Plan 2012 - Other Services (Environment),"Implementation of Flood and Erosion Control Projects such as but not Limited to Rehabilitation or Construction of Drainage System, De Sitting of River Declogging of Canal","Clearing or Cleaning of Waterways and Drainage outlets at Puroks Esmeralda, Ilangllang, Bulak sang Bulak, and Lapus-Lapus Creek, Brgy. Poblacion",-,-,350000,-
July,Annual Investment Plan 2012 - Other Services (Environment),"Implementation of Flood and Erosion Control Projects such as but not Limited to Rehabilitation or Construction of Drainage System, De Sitting of River Declogging of Canal",Construction of Drainage System along Gen Luna St. (from KM 22 to PLDT Compound),-,-,475000,-
September,Annual Investment Plan 2012 - Other Services (Environment),"Implementation of Flood and Erosion Control Projects such as but not Limited to Rehabilitation or Construction of Drainage System, De Sitting of River Declogging of Canal",Repair of Drainage at Dahug Brgy. Tabunan,-,-,202000,-
-,Total Project Cost,-,-,-,2150000,1027000,1123000
,Annual Investment Plan 2012 - Other Services (Environment),"Other Environment Management Projects that Promote Air and Water Quality, as well as Productivity of the Coastal or Freshwater Habitat, Agricultural Land and Forest Land",-,4000000,2300000,-,-
,Total Project Cost,-,-,-,2300000,-,2300000
,,,-,,,,
