pariculars_1,pariculars_2,appropriation,released_appropriation,unreleased_appropriation,obligation,balance
Maintenance and Other Operating Expenses,Social Development,0,0,0,0,0
Maintenance and Other Operating Expenses,Economic Development,1670000,1670000,0,0,1670000
Maintenance and Other Operating Expenses,Environment and Natural Resources,3750000,3750000,0,0,3750000
Maintenance and Other Operating Expenses,Infrastructure Development,0,0,0,0,0
Maintenance and Other Operating Expenses,Sub-Total,5420000,5420000,0,0,5420000
Capital Outlay,Capital Outlay,0,0,0,0,0
Capital Outlay,Social Development,32802000,32802000,0,0,32802000
Capital Outlay,Economic Development,11205000,11205000,0,0,11205000
Capital Outlay,Environment and Natural Resources,1200000,1200000,0,0,1200000
Capital Outlay,Infrastructure Development,77640124.2,77640124.2,0,54492651.09,23147473.11
Capital Outlay,Sub-Total,122847124.2,122847124.2,0,54492651.09,68354473.11
Totals,Totals,128267124.2,128267124.2,0,54492651.09,73774473.11
