particulars_1,particulars_2,particulars_3,particulars_4,particulars_5,amount_a,amount_b,amount_c,amount_d
Income,General Income Accounts,Other Income,Other Income,Other Income,-,-,-,17098413.33
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Land and Improvements,Land and Improvements,-,154334,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Machineries and Equipment,Machineries and Equipment,-,154188,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Public Infrastructures,Public Infrastructures,-,2409445.3,2717967.3,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Subsidies and Donations,Subsidies and Donations,Subsidies and Donations,-,-,1510692.8,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Land Improvements,35486.34,-,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Buildings,1945404.66,-,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Office Equipments-Furniture and Fixtures,53361.87,-,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,2000467.42,-,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Transportation Equipment,35136.3,-,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,"Other Property, Plant and Equiment",1009996.48,-,5079853.07,9308513.17
Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,-,-,-,9308513.17
Net Income (Loss),Net Income (Loss),Net Income (Loss),Net Income (Loss),Net Income (Loss),-,-,-,7789900.16
