project_1,project_2,amount,date_utilization,amount_paid,balance
Current Projects,"Construction of One Classroom VSR Type School Bldgs. at Barangay Pob A, Rosario, Batangas",1997796.83,9/28/2012,1997796.83,-
Current Projects,Construction of Facilities of Martin Marasigan Mem Hosp Phase 1,24000000,-,-,24000000
Current Projects,Construction of Roadway at Eastern Portion and Installation of RC Pipes at the Southern Portion of San Juan Dist Hosp Cmpd,500000,-,-,500000
Current Projects,"Concreting at Barangay Coral na Munti, Agoncillo Batangas",1286239.13,-,-,1286239.13
Current Projects,"Concreting at Agoncillo-Pansipit Via Panhulan Rd, Agoncillo, Batangas",27349201.32,"6/20/2012, 9/25/2012","4102380.2, 12045279.89",11201541.23
Current Projects,"Concreting of Provincial Road at Barangay Salong, Calaca, Batangas",317205.66,9/6/2012,317205.66,-
Current Projects,"Concreting of Provincial Road at Barangay Madalunot, Calaca",3247930.45,9/6/2012,3247930.45,-
Current Projects,"Concreting of Provincial Road at Barangay Tanagan and Bagong Silang, Calatagan, Batangas",12831470.82,-,-,12831470.82
Current Projects,"Rehab and Improvement of Provincial Road Along Barangay Bungahan and Emmanuel, Cuenca Batangas",7416984.15,6/20/2012,1111492.17,6305491.98
Current Projects,"Concreting of Road and Construction of Slope Protection at San Vicente Ecological Park, Barangay San Vicente,Sto Tomas, Batangas",3000000,-,-,3000000
Current Projects,"Concreting of Provincial Road and Construction of Canal (Boulders) and Slope Protection (Riprap) at Barangay Tulong, Tuy",26879840.83,9/3/2012,4029569.49,22850271.34
Current Projects,"Concreting of Provincial Road along Barangay Bukal, San Isidro and Pinagbayanan, Taysan",11801265.37,"6/11/2012, 9/6/2012","1770189.81, 10031075.56",0
Current Projects,"Concreting of Provincial Road along Barangay Bilaran, Reparo and Munting Indang, Nasugbu, Batangas",5562928,9/12/2012,5562928,-
Current Projects,"Concreting of Provincial Road at Barangay Bucana, Nasugbu, Batangas",1401728.31,-,-,1401728.31
Current Projects,"Concreting of Provincial Road and Construction of Slope Protection along Barangay Dalima and  Barangay Bagong pook of Tuy and Lian, Batangas",4789273.55,7/25/2012,4789273.55,-
Current Projects,"Concreting of Provincial Road at Barangay Pag-Asa, Taysan, Batangas",4484966.77,9/28/2012,4484966.77,-
Current Projects,"Concreting of Provincial Road at Barangay Lucsuhin and Sambongan, Calatagan, Batangas",3744295.05,8/1/2012,3744295.05, -   
Current Projects,"Concreting of Provincial Road along Barangay Pinagbayanan and San Juan Marcelino, Sto Nino Junction Rd, Taysan",12509939.87,9/6/2012,7761915.41,4748024.46
Current Projects,"Concreting of Provincial Road along Barangay Mabayabas, Bukal and Tilambo,Taysan",22906480.29,"6/25/2012, 9/25/2012","3435972.04, 19470508.25, ",-
Current Projects,"Concreting of Provincial Road at Barangay Panghayaan, Taysan",3850593.88,-,-,3850593.88
Current Projects,"Concreting of Provincial Road at Barangay Sto Nino. Taysan, Batangas",5724299.76,6/13/2012,857809.49,4866490.27
Current Projects,"Concreting of Provincial Road at Barangay Luya, San Luis, Batangas",1035817.85,9/12/2012,1035817.85,-
Current Projects,"Concreting of Provincial Road along Barangay Bagong Tubig and Bonliw, San Luis, Batangas",10165708.23,9/6/2012,10165708.23,-
Current Projects,"Concreting of Provincial Road at Barangay Janao, San Juan, Batangas",1359554.56,-,-,1359554.56
Current Projects,"Concreting of Provincial Road at Barangay Natu, Rosario, Batangas",1632859.51,9/17/2012,1632859.51,-
Current Projects,"Concreting of Provincial Road at Barangay Tilambo, Taysan, Batangas",2966443.28,-,-,2966443.28
Current Projects,"Concreting of Provincial Road at Barangay Maugat East, Padre Garcia, Batangas",415995.49,9/25/2012,415995.49,-
Current Projects,"Construction of Provincial Community Park at Barangay Kumintang Ibaba, Batangas City",49958888,9/3/2012,7493833.2,42465054.8
Current Projects,"Construction of Drainage System at Barangay Bihis, Sta Teresita, Batangas",2000000,-,-,2000000
Current Projects,"Construction of Day Care Center at Barangay Pantalan, Nasugbo, Batangas",2044331.72,"6/11/2012, 8/3/2012","306649.76, 1737681.6",-
Current Projects,"Construction of Day Care Center at Barangay San Roque, Bauan, Batangas",2063285.08,-,-,2063285.08
Current Projects,"Construction of Day Care Center at Barangay Banga, Talisay",2099555.81,-,-,2099555.81
Current Projects,"Construction of Perimeter Fence at Eco Waste and Sanitary Landfill at Barangay San Juan, Alitagtag, Batangas",1933778.19,9/28/2012,1933778.19,-
Current Projects,"Construction of Day Care Center at Barangay Pob, San Juan",2054401.75,9/25/2012,2054401.75,-
Current Projects,"Construction of Covered Gymnasium at Barangay Kumintang Ibaba, Batangas City",4694690.66,-,-,4694690.66
Current Projects,"Improvement/Installation of Roofing of Basketball Court and Stage at Barangay Talon San Luis, Batangas",4410745.74,-,-,4410745.74
Current Projects,"Construction of Covered Gymnasium at Barangay Sta Clara, Batangas City",5130434.95,6/20/2012,768782.81,4361652.14
Current Projects,"Installation of Streetlights at Barangay Boot, Tanauan City",1000000,-,-,1000000
Current Projects,"Construction of Day Care Center at Barangay Caloocan, Balayan, Batangas",996972.85,8/12/4629,996972.85,-
Current Projects,Total Current Projects,281565903.7,-,-,164262833.5
Continuing Projects,"Replacement of San Andres Bridge at Barangay San Andres, Bauan, Batangas",32000000,6/20/2012,4795277.35,27204722.65
Continuing Projects,"Replacement of Bagong Pook Bridge at Barangay Pob, Malvar, Batangas",8590190,8/23/2012,1288528.5,7301661.5
Continuing Projects,"Replacement of Kapitan Maria Bridge at Barangay San Pioquinto, Malvar, Batangas",11550000,-,-,11550000
Continuing Projects,"Rehabilitation of Seawall at Barangay Baclaran,Balayan, Batangas",3218907.95,-,-,3218907.95
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) at San Mariano Bridge at Barangay San Mariano, San Pascual Batangas",2496320.77,-,-,2496320.77
Continuing Projects,"Rehabilitation of Slope Protection (Gabion Wall) of Alas-as Bridge, Barangay Poblacion 5, Laurel, Batangas",5839718.56,-,-,5839718.56
