name_of_project,amount ,date_utilized,amount_paid , balance 
"Rehabilitation or Improvement of Provincial Road at Barangay San Pedro, Barangay San Francisco and Barangay San Luis, Sto. Tomas, Batangas",4277330.8,-, - ,4277330.8
"Rehabilitation or Improvement of Provincial Road at Barangay Sta. Clara and Barangay San Fernando, Sto. Tomas, Batangas",2958090.88,-, - ,2958090.88
"Rehabilitation or Improvement of Provincial Road at Barangay Quilo-quilo North and Barangay Quilo-quilo South, Padre Garcia, Batangas",5024281.79,-, - ,5024281.79
"Rehabilitation or Improvement of Provincial Road at Poblacion I Cuence, Cuenca-Natunuan, San Jose Road (Batangas City Boundary)",22512657.84,-, - ,22512657.84
"Rehabilitation or Improvement of Provincial Road at Barangay Itlugan-Maalas-as-Mabayabas, Rosario ",2992810.41,-, - ,2992810.41
"Rehabilitation or Improvement of Provincial Road at Barangay Buhay na Sapa and Barangay Sampiro, San Juan, Batangas",8057125.41,-, - ,8057125.41
"Rehabilitation or Improvement of Provincial Road at Barangay Bagong Pook, Lian, Batangas",3600000,-, - ,3600000
"Rehabilitation or Improvement of Coral na Munti-Pamiga Provincial Road, Agoncillo, Batangas",5000000,-, - ,5000000
"Rehabilitation or Improvement of Provincial Road at Barangay Bulihan and Lumbangan, Rosario, Batangas",1667425.04,-, - ,1667425.04
"Rehabilitation or Improvement of Provincial Road at Barangay San Isidro and Barangay Pinagbayanan, Taysan Batangas",18792735.49,-, - ,18792735.49
"Rehabilitation or Improvement of Provincial Road at Barangay Tuong, Tuy, Batangas",4904651.43,-, - ,4904651.43
"Rehabilitation or Improvement of Capitol Circumferential Road at Barangay Kumintang Ibaba, Batangas City",7703689.71,-, - ,7703689.71
"Concreting of Barangay Road at Barangay Langgangan Balayan, Batangas",660000,-, - ,660000
"Rehabilitation or Improvement of Provincial Road at Barangay Santiago and San Andres, Malvar, Batangas",2020290.11,-, - ,2020290.11
"Concreting of Barangay Road at Barangay Sucol, Balayan, Batangas",1000000,-, - ,1000000
"Concreting of Barangay Road at Barangay Sambat, Balayan, Batangas",1000000,-, - ,1000000
"Concreting of Barangay Road at Barangay Cayponse, Balayan, Batangas",1000000,-, - ,1000000
"Rehabilitation or Improvement of Provincial Road at Poblacion-Plaza, Alitagtag, Batangas",1943575.35,-, - ,1943575.35
"Concreting of Barangay Road at Barangay Ermita Calzada, Balayan, Batangas",683942.19,-, - ,683942.19
"Concreting of Barangay Road at Barangay Magabe, Balayan, Batangas",1000000,-, - ,1000000
