name_of_project, amount ,date_utilized, amount_paid , balance 
"Rehabilitation or Improvement of Provincial Road at Barangay San Pedro, Barangay San Francisco and Barangay San Luis, Sto. Tomas, Batangas",4273071.25,9/18/2014,4273071.25, -   
"Rehabilitation or Improvement of Provincial Road at Barangay Sta Clara and Barangay San Fernando, Sto. Tomas, Batangas",2954719.77,8/6/2014,2954719.77, -   
"Rehabilitation or Improvement of Provincial Road at Barangay Quilo-quilo North and Barangay Quilo-quilo South, Padre Garcia, Batangas",5018939.46,4/29/2014,752840.92,-
"Rehabilitation or Improvement of Provincial Road at Barangay Quilo-quilo North and Barangay Quilo-quilo South, Padre Garcia, Batangas",-,8/26/2014,4266098.54, -   
"Rehabilitation or Improvement of Provincial Road at Poblacion I Cuence, Cuenca-Natunuan, San Jose Road (Batangas City Boundary)",22489455,4/29/2014,3373418.25,19116036.75
"Rehabilitation or Improvement of Provincial Road at Barangay Itlugan-Maalas-as-Mabayabas, Rosario",2992810.41,-,-,2992810.41
"Rehabilitation or Improvement of Provincial Road at Barangay Buhay na Sapa and Barangay Sampiro, San Juan,Batangas",8051103.44,4/28/2014,1207665.52,6843437.92
"Rehabilitation or Improvement of Provincial Road at Barangay Bagong Pook, Lian, Batangas",3595696.35,8/4/2014,3595696.35, -   
"Rehabilitation or Improvement of Coral na Munti-Pamiga Provincial Road, Agoncillo, Batangas",4994980,8/28/2014,4994980,4994980
"Rehabilitation or Improvement of Provincial Road at Barangay Bulihan and Lumbangan, Rosario, Batangas",1667425.04,-,-,1667425.04
"Rehabilitation or Improvement of Provincial Road at Barangay San Isidro and Barangay Pinagbayanan, Taysan Batangas",18783878,4/28/2014,2817581.7,15966296.3
"Rehabilitation or Improvement of Provincial Road at Barangay Tuong, Tuy, Batangas",4899911,8/20/2014,4899911, -   
"Rehabilitation or Improvement of Capitol Circumferential Road at Barangay Kumintang Ibaba, Batangas City",7697009,4/28/2014,1154551.35,6542457.65
"Concreting of Barangay Road at Barangay Langgangan Balayan, Batangas",658360,9/18/2014,658360, -   
"Rehabilitation or Improvement of Provincial Road at Barangay Santiago and San Andres, Malvar, Batangas",2017799.01,3/9/2014,2017799.01, -   
"Concreting of Barangay Road at Barangay Sucol, Balayan, Batangas",998010,9/5/2014,998010, -   
"Concreting of Barangay Road at Barangay Sambat,Balayan, Batangas",1000000,-,-,1000000
"Concreting of Barangay Road at Barangay Cayponse,Balayan, Batangas",997980,9/5/2014,997980, -   
"Rehabilitation or Improvement of Provincial Road at Poblacion-Plaza, Alitagtag, Batangas",1943575.35,-,-,1943575.35
"Concreting of Barangay Road at Barangay Ermita Calzada, Balayan, Batangas",682996.18,8/11/2014,682996.18, -   
"Concreting of Barangay Road at Barangay Magabe, Balayan, Batangas",998441.85,8/11/2014,998441.85, -   
"Rehabilitation or Improvement of Provincial Road at Barangay II-A-Bubuyan Road, Mataas na Kahoy,Batangas",2102660,8/26/2014,2102660, -   
"Rehabilitation or Improvement of Provincial Road at Barangay Bucana, Nasugbu, Batangas",1730266.48,7/3/2014,1730266.48, -   
"Concreting of Barangay Road at Barangay Lanatan,Balayan, Batangas",998459.55,8/11/2014,998459.55, -   
"Rehabilitation or Improvement of Provincial Road at Barangay Pantalan, Nasugbu, Batangas",1627501.38,7/3/2014,1627501.38, -   
"Concreting of Barangay Road at Barangay Talon, Tuy, Batangas",2062596.04,7/9/2014,2062596.04, -   
"Concreting of Barangay Road at Barangay Catandala, Batangas City",997207.98,9/2/2014,997207.98, -   
"Rehabilitation or Improvement of Provincial Road at Barangay Payapa-Maugat East (Papaya-Bukal Section) Padre Garcia, Batangas",2982716.93,5/6/2014,447407.54,-
"Rehabilitation or Improvement of Provincial Road at Barangay Payapa-Maugat East (Papaya-Bukal Section) Padre Garcia, Batangas",-,9/16/2014,2535309.39, -   
"Concreting of Barangay Road at Barangay San Carlos, Rosario, Batangas",997949.3,9/16/2014,997949.3, -   
"Rehabilitation or Improvement of Provincial Road at Barangay Poblacion, Malvar, Batangas",1480129.11,-,-,1480129.11
"Concreting of Barangay Road at Barangay  Malapad na Parang, Lobo, Batangas",998898.77,7/30/2014,998898.77, -   
"Rehabilitation or Improvement of Lawaye Provincial Bridge at Barangay Puting Kahoy, Rosario, Batangas",3849018.64,-,-,3849018.64
"Concreting of Barangay Road at Barangay Danglayan, San Pascual, Batangas",998768.88,9/2/2014,998768.88, -   
"Concreting of Barangay Road at Barangay Kaingin,San Pascual, Batangas",998577.11,9/16/2014,998577.11, -   
"Rehabilitation or Improvement of Calbang I Provincial Bridge at Barangay Mabayabas, Taysan, Batangas",5058289.78,-,-,5058289.78
"Concreting of Barangay Road at Barangay San Gregorio, Laurel, Batangas",1000000,-,-,1000000
"Concreting of Barangay Road at Barangay San Gabriel, Laurel, Batangas",998432.22,9/30/2014,998432.22, -   
"Rehabilitation or Improvement of Malas-as Centro Provincial Bridge at Barangay Malas-as, Rosario, Batangas",4482277.18,-,-,4482277.18
"Concreting of Barangay Road at Barangay Gulod,Laurel, Batangas",998432.22,9/26/2014,998432.22, -   
"Construction of Bulihan Provincial Bridge (PSC Gider) at Barangay Bulihan, Nasugbu, Batangas",20486581.3,4/28/2014,3072987.2,17413594.1
"Concreting of Barangay Road at Barangay Buso-buso, Laurel, Batangas",1000000,-,-,1000000
"Concreting of Barangay Roadk at Barangay Tambo, Purok 9-Phase V, Lipa City, Batangas",998493.06,9/4/2014,998493.06, -   
"Construction of Dayap Provincial Bridge (PSC Gider) at Barangay Putat, Nasugbu, Batangas",20485081.3,4/28/2014,3072762.2,17412319.1
"Rehabilitation of Submersible Pump at Barangay Tulos, Rosario, Batangas",1880235.82,-,-,1880235.82
"Drilling of Production Well, Installation of Submersible Pump and Construction of Elevated Water Tank (5,500 gals) at Alupay ES, Barangay Alupay, Rosario, Batangas",3142560.48,4/29/2014,471384.07,2671176.41
"Construction of Drainage System (Covered Canal) at Barangay Lucky, Lemery, Batangas",825107.89,9/9/2014,825107.89, -   
"Construction of Drainage System (Covered Canal) at Barangay Pob 6, Nasugbu, Batangas",1197775.72,9/4/2014,1197775.72, -   
"Construction of Drainage System (Covered Canal) at Barangay Pob 4, Nasugbu, Batangas",1000000,-,-,1000000
"Construction of Drainage System at Barangay Del Pilar, San Pascual, Batangas",425735.85,-,-,425735.85
"Construction of Drainage System at Barangay Janopol Oriental, Tanauan City, Batangas",610395.45,-,-,610395.45
"Construction of Spillway (Reinforcement Concrete Pipe) at Barangay Dalig, Balayan, Batangas",933535.95,8/26/2014,933535.95, -   
"Construction of Daycare Center at Poblacion East Alitagtag, Batangas",2523155.92,-,-,2523155.92
"Construction of Slope Protection (Grouted Riprap) at Barangay San Juan, Tingloy, Batangas",2500000,-,-,2500000
"Construction of Multi-Purpose Bldg at Barangay Fernando, Lipa City",2119973.67,-,-,2119973.67
"Construction of Day Care Center at Poblacion, Agoncillo, Batangas",2065624.27,-,-,2065624.27
"Construction of Streetlights at Barangay Cupang, Bauan, Batangas",498935.93,9/11/2014,498935.93, -   
"Construction of Day Care Center at Poblacion 3, Balayan, Batangas",2021147.94,-,-,2021147.94
"Installation of Roofing Stage at Barangay Aplaya, Bauan, Batangas",498653.05,9/9/2014,498653.05, -   
"Construction of Day Care Center at Poblacion West, Taysan, Batangas",2052424.85,-,-,2052424.85
"Construction of Buho Provincial Bridge (PSC Girder) at Barangay Buho, Rosario, Batangas",40477148.61,7/22/2014,6071572.29,34405576.32
"Construction of Drainage System with Steel Grating (CHB or RCCP) at Sta. Anastacia NH or S Crossing Sun Rise Subdivision at Barangay Sta. Anastacia, Sto. Tomas, Batangas",2125627.46,9/17/2014,2125627.46, -   
Total,240946537.2,-,-,167038093.8
