program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Bricks laying fronting ADSPILS and BNCHS ,Brgy. Poblacion ,5000000,5/2/2014,9/28/2014,25%,1248639.03,-,On going 
Social Development,Core Shelter Development ,Brgy. Noli ,5000000,7/9/2014,12/5/2014,24.57%,1227189.87,-,On going 
Social Development,Construction of 2 storey School Building BNCHS ,Brgy. Poblacion ,2000000,6/23/2014,12/9/2014,15% mobilization ,299666.18,-,On going 
Social Development,"Construction of 2 storey School Building , ADSPILS Ph. II ",Brgy. Poblacion ,2000000,5/23/2014,8/30/2014,62.90%,1252911.68,-,On going 
Social Development,Box Culvert ,Brgy. Sagmone,1000000,-,-,-,1000000,-,implemented 
Social Development,Multi- purpose Hall ,Brgy. Poblacion ,5000000,-,-,-,5000000,-,implemented 
Social Development,Installation of water system ,Brgy. Mabuhay,200000,-,-,-,200000,-,implemented 
Social Development,Installation of water System ,Brgy. Claro Cortez ,200000,-,-,-,200000,-,implemented 
Social Development,Construction of Multi -purpose Hall Ph. II ,Brgy. Sta. Teresita ,400000,-,-,-,400000,-,implemented 
Social Development,Construction of OSCA Building ,Brgy. Sta. Teresita ,100000,-,-,-,100000,-,implemented 
Social Development,Construction of Hanging Bridge ,Brgy. Mt. Ararat ,475000,-,-,-,475000,-,implemented 
Social Development,Construction of Multi- purpose hall,Brgy. Mt. Olive ,1300000,-,-,-,1300000,-,implemented 
Social Development,Installation of WATER System ,Brgy. Mahayag ,500000,-,-,-,500000,-,implemented 
Social Development,Construction of Multi- purpose Hall ,Brgy. Panaytay ,600000,-,-,-,600000,-,implemented 
Social Development,Construction of Multi- Purpose hall ,Brgy. Panaytay ,1000000,-,-,-,1000000,-,implemented 
Social Development,Construction of Multi- purpose hall ,Brgy. Hamogaway ,500000,-,-,-,500000,-,implemented 
Social Development,Construction of 2 Storey School Building at Grace Estate Ph. III,Grace Estate ,2000000,6/23/2014,10/30/2014,15% mobilization ,299738.37,-,On going 
Economic Development,Construction of Multi- purpose Center - DA ,Brgy. Poblacion ,10000000,2/17/2014,10/14/2014,41.60%,4159467.84,-,on going 
Economic Development,Concreting of Sambulawan - Cabonegro Rd. Section 805 m ,Brgy. Poblacion ,15295000,4/2/2014,12/22/2014,15.70%,2399031.18,-,on going 
Economic Development,Construction of Molave St. 255.03 m Ph. II,Brgy. Poblacion ,4845570,4/7/2014,8/14/2014,21.63%,1047007.85,-,on going 
Economic Development,Construction of Solar Drier ( Livelihood),Brgy. Sta. Teresita ,150000,-,-,-,150000,-,implemented 
Economic Development,Construction of Bailey Bridge ,Brgy. Sta. Teresita ,150000,-,-,-,150000,-,implemented 
Economic Development,Carabao Dispersal ,Brgy. Sta. Teresita ,200000,-,-,-,200000,-,implemented 
Economic Development,Hog Dispersal ,Brgy. Sta. Teresita ,150000,-,-,-,150000,-,implemented 
Economic Development,Livelihood - 2 units Motor Boat w/ engine ,Brgy. Saguma ,100000,-,-,-,100000,-,implemented 
Economic Development,Livelihood - 1 unit Thresher w/ engine & Trailer ,Brgy. Saguma ,100000,-,-,-,100000,-,implemented 
Economic Development,Livelihood - Purchase of Farm Equipment ,Brgy. Mabuhay ,100000,-,-,-,100000,-,implemented 
Economic Development,Livelihood - Solar Drier ,Brgy. Mabuhay ,100000,-,-,-,100000,-,implemented 
Economic Development,Livelihood - Cow Dispersal ,Brgy. Grace Estate ,500000,-,-,-,500000,-,implemented 
Economic Development,Livelihood - Cattle Dispersal ,Brgy. Pinagalaan ,200000,-,-,-,200000,-,implemented 
Grand Total,Grand Total,-,59165570, - , - , - ,24958652, - ,-
