program_project_1,program_project_2,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extenions_if_any,remarks
Social Development,Mobility Support  Services (Loan Equity),Bislig City,2000000,1/1/2014,-,-,-,-,-
Social Development,Const. of Mezzanine Floor and Steel Rack - GSO,-,450000,-,-,-,-,-,-
Social Development,Const. of Covered  Court Bldg. (Phase III),-,2500000,-,-,-,-,-,-
Social Development,Const. of  GuardHouse,-,500000,-,-,-,-,-,-
Social Development,Const. of G Bongaitan Road (Phase III) Mgy.,-,1000000,-,-,-,-,-,-
Social Development,Conc. Of Montero St. Sidewalk wi cover,-,1000000,-,-,-,-,-,-
Social Development,"Declogging of Canal (Pob., Mgy., Tabon)",-,385000,-,-,-,-,-,-
Social Development,-,-,1000000,-,-,-,-,-,-
Social Development,Purchase of Buoys and Markers,-,200000,1/1/2014,-,-,-,-,-
Social Development,Const. of Livestock or Auction Center (Pk II),-,1500000,-,-,-,-,-,-
Social Development,Completion of Farmers Training Center,-,1000000,-,-,-,-,-,-
Social Development,Comp. of Perimeter fence Slaughterhouse,-,750000,-,-,-,-,-,-
Social Development,Riprapping of Riverbank (Tinuy-an),-,500000,-,-,-,-,-,-
Social Development,LGU - Equity,-,6000000,-,-,-,-,-,-
Social Development,Barangays Infra Projects,-,12000000,-,-,-,-,-,-
Social Development,Post Harvest Facilities,-,1000000,-,-,-,-,-,-
Social Development,Installation of Bio Digester,-,100000,-,-,-,-,-,-
Social Development,Installation of Piggery,-,200000,-,-,-,-,-,-
Social Development,Goat Shed Improvement,-,200000,-,-,-,-,-,-
Solid Waste Management,Solid Waste Management,-,740000,-,-,-,-,-,-
Economic Development,Loan Amortization for Housing or Road Bldg.,-,17900000,1/1/2014,-,-,7992643.02,-,-
Economic Development,Repairs and Maintenance - Road Highway,-,6000000,-,-,-,40810,-,-
Economic Development,Repairs and Maintenance - Irrigation canal,-,1000000,-,-,-,-,-,-
Economic Development,Vegetable and Root Crops Production,-,300000,-,-,-,-,-,-
Economic Development,Rice Seed Production,-,1000000,-,-,-,-,-,-
Economic Development,Corn Production,-,300000,-,-,-,8610,-,-
Economic Development,Livestock and Poultry Production,-,500000,-,-,-,21626.24,-,-
Economic Development,High Value Crops Production,-,1500000,-,-,-,-,-,-
Economic Development,Organiz Feed and Natutal Concoction Prod.,-,1500000,-,-,-,-,-,-
Economic Development,Tilapia and Pangasius Prod with Hatchery,-,435232.5,-,-,-,-,-,-
Economic Development,Swine Breeding,-,500000,-,-,-,49540,-,-
Economic Development,Goat Re-stocking,-,500000,-,-,-,-,-,-
Economic Development,Aqua Marine Development Program,-,2000000,-,-,-,-,-,-
Economic Development,Zonification fo Bislig Water ,-,1000000,-,-,-,-,-,-
Economic Development,"Deworming, vita, Supppl and Vaccination",-,470000,-,-,-,-,-,-
Economic Development,Upgrading of Farm Animals,-,400000,-,-,-,-,-,-
Economic Development,Implementation of Animal Welfare Act,-,270000,-,-,-,12000,-,-
Economic Development,Tourism Master Plan Formulation,-,1000000,-,-,-,-,-,-
Economic Development,Drainage Master Plan Formulation,-,500000,-,-,-,-,-,-
Economic Development,Unified.Integ. LGU Computerization Prog.,-,2000000,-,-,-,-,-,-
Enviromental Management,Forest Protection Program,-,1000000,1/1/2014,-,-,88440,-,-
Enviromental Management,Mangrove Rehab and Protection (Upland),-,500000,-,-,-,45100,-,-
Enviromental Management,Reforestation,-,500000,-,-,-,33420,-,-
Enviromental Management,Seedling Dispersal,-,500000,-,-,-,27060,-,-
Enviromental Management,Solid Waste Mgt. Pgram,-,5260000,-,-,-,716370,-,-
Enviromental Management,Comp. Dev't. Plans and Land Uses Plan Form,-,500000,-,-,-,-,-,-
Enviromental Management,Comp. Agri. Dev't. Plan Formulation,-,500000,-,-,-,-,-,-
