particulars,account_name,appropriation,expenditures,balance
MOOE 1919-200,"Loan Amortization for Heavy Road, Building or Equipment",25700000,24650438.19,1049561.81
MOOE 1919-200,Streetlighting along Center Island,1500000,-,1500000
MOOE 1919-200,"Repairs and Maintenance-Roads, highway",6000000,3596695.8,2403304.2
MOOE 1919-200,"Repairs and Maintenance-Irrigation, Canal",1300000,594110,705890
MOOE 1919-200,Repair of Mone Irrigation Dam,400000,58350,341650
MOOE 1919-200,Barangay Infastructure Program,3600000,-,3600000
MOOE 1919-200,Kanami Philhealth,1123400,-,1123400
MOOE 1919-200,"Equity- Mandakit, Sta. Cruz FMR",2036200,-,2036200
MOOE 1919-200,Comprehensive Agricultural Development Plan,200000,-,200000
MOOE 1919-200,Crafting of City Tourism Master Plan,200000,-,200000
MOOE 1919-200,Philhealth for 2000 Indigent,1000000,1000000,-
MOOE 1919-200,Vegetable and Rootcrops Production,1000000,488258,511742
MOOE 1919-200,Rice Seed Production,1000000,465216,534784
MOOE 1919-200,Corn Production,500000,219755,280245
MOOE 1919-200,Tilapia and Pangasius Production,500000,239727.29,260272.71
MOOE 1919-200,RIC Livelihood Program ,100000,-,100000
MOOE 1919-200,Veterinary Disease Treatment or Prevention,200000,69980,130020
MOOE 1919-200,Upgrading of Farm Animals,100000,-,100000
MOOE 1919-200,Forest Protection Programs,1500000,919580,580420
MOOE 1919-200,Forest Mangrove Nursery Program,500000,251362.25,248637.75
MOOE 1919-200,Reforestation Program,500000,258962,241038
MOOE 1919-200,Solid Waste Management Program,6000000,3584206.35,2415793.65
MOOE 1919-200,Katarungang Pambarangay,200000,-,200000
MOOE 1919-200,Total MOOE,55159600,36396640.88,18762959.12
Capital Outlay 1918-300,Marketsite and Bongaitan Development Program Phase II,2000342,-,2000342
Capital Outlay 1918-300,Relocation of BJMO,300000,-,300000
Capital Outlay 1918-300,Site Development of Fish and Vegetable Dropping Zone,2083240.91,-,2083240.91
Capital Outlay 1918-300,Completion of Covered Court of Poblacion (Bleacher),2000000,-,2000000
Capital Outlay 1918-300,Establishment of Feed Mill (Equity),500000,-,500000
Capital Outlay 1918-300,Core Project Development,2785000,25446,2759554
Capital Outlay 1918-300,Construction of OPD Building - BDH,500000,-,500000
Capital Outlay 1918-300,Replacement of Roofing- City Hall Building,500000,-,500000
Capital Outlay 1918-300,Improvement of Multi-Purpose Hall,250000,-,250000
Capital Outlay 1918-300,Equity-Day Care Center Construction,150000,-,150000
Capital Outlay 1918-300,Improvement of Kamayo Hall,2000000,-,2000000
Capital Outlay 1918-300,Construction of Multi-Purpose Building,700000,-,700000
Capital Outlay 1918-300,Construction of Center Island Poblacion and San Fernando,3687000,-,3687000
Capital Outlay 1918-300,Concreting of GK Bongaitan Road Phase II,1000000,-,1000000
Capital Outlay 1918-300,Concreting of Road - Post 12 to PICOP Comp. Phase II,2000000,-,2000000
Capital Outlay 1918-300,Construction of Poblacion San Isidro Road,200000,-,200000
Capital Outlay 1918-300,Backfilling of Fishermen Village,300000,-,300000
Capital Outlay 1918-300,Backfilling of Marketsite Development,100000,-,100000
Capital Outlay 1918-300,Construction of Access Road Core to BCNHS,200000,-,200000
Capital Outlay 1918-300,Equity-MRDO or PRDP,715000,-,715000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - P2 Riverside,200000,-,200000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Bosco Road,1500000,-,1500000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Requina Extension JB,400000,-,400000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Laurente Street Poblacion,1000000,-,1000000
Capital Outlay 1918-300,Barangay Infastructure Programs,12000000,3700000,8300000
Capital Outlay 1918-300,Total Capital Outlay,37070582.91,3725446,33345136.91
