program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks 
Social Development,Financial Assistance to Municipality or Barangays,-,288373355.8,-,-,-,100455000,-,Financial Assistance
Social Development,LGU's For Development  Projects ,-,50000000,7/15/2014,12/31/2014,39.62,24484071.09,-,On going
Social Development,Rehabilitation of Existing Hospital Buildings,-,30000000,7/15/2014,12/31/2014,48,3742073.81,-,On going
Social Development,Construction  of  Hospital Support Facilities,-,10000000,-,-,-,-,-,Not Yet Started
Social Development,Purchase of Hospital Equipment,-,9812000,-,-, ,-,-,Not Yet Started
Social Development,Rehabilitation of Multi-Purpose  Building,Malaybalay,7420000,7/12/2014,11/9/2014,10.81,4335178.69,-,On going
Social Development,Construction of Multi-Purpose  Building,Malaybalay,-,-,-,-,-,-,-
Social Development,Rehabilitation of Cultural Heritage Site at Kaamulan Park,-,27558313,6/4/2014,10/2/2014,3.54,24372440.48,-,On going
Social Development,"Including Roads, Slope Protection, MPB and Facilities",Malaybalay, ,-,-, , ,-,-
Social Development,Rehabilitation of Existing Provincial Pump House and Construction of,-,80636,-,-,-,-,-,Not Yet Started
Social Development,Perimeter Fence for the Water Supply Pump House,Malaybalay,7420000,-,-,-,-,-,Not Yet Started
Social Development,Housing Projects,San Fernando,17441395.8,-,-,-,-,-,-
Social Development,Medical Equipments,-,-,-,-,-,-,-,-
Economic Development,Economic Development,-,100000000,-,-,-,30266454.2,-,Amortization
Economic Development,Amortization,-,-,-,-,-,-,-,-
Economic Development,"On Farm and Post Harvest Mechanization, Infrastructure of the",-,75000,-,-,-,-,-,Not Yet Started
Economic Development,Agri-Pinoy Rice Program (PLGU - Counterpart),Malaybalay,7775500,-,-,-,-,-,Not Yet Started
Economic Development,Rehabilitation of Talakag Provincial Roads,Talakag,-,-,-,-,-,-,-
Environmental Management,Construction of Environmental Sanitation Building,-,200000,-,-,-,-,-,Not Yet Started
Environmental Management,"Lorega, Quarantine, Kitaotao",Kitaotao,-,-,-,-,-,-,-
