programs_or_projects_or_activities_a,programs_or_projects_or_activities_b,programs_or_projects_or_activities_c,programs_or_projects_or_activities_d,appropriation,total_expenditures,balance_of_appropriation
Economic Services,Provincial  Cooperative and Economic Development Office,MOOE,Cooperative development,4000000,2500000,1500000
Economic Services,Provincial  Cooperative and Economic Development Office,MOOE,Enterprise development,5800000,725000,5075000
Economic Services,Provincial  Cooperative and Economic Development Office,MOOE,Investment promotion,400000,-,400000
Economic Services,Provincial  Cooperative and Economic Development Office,Capital Outlay,Enterprise development,4000000,2092843.48,1907156.52
Economic Services,Provincial Agriculture Office,MOOE,Crops,9500000,6162560,3337440
Economic Services,Provincial Agriculture Office,MOOE,Agricultural engineering projects,5000000,4927100,72900
Economic Services,Provincial Agriculture Office,MOOE,Aquaculture production-Fishery development,3000000,2006363,993637
Economic Services,Provincial Agriculture Office,MOOE,Program mangement/ technical excahnege program,1500500,-,1500500
Economic Services,Provincial Agriculture Office,Capital Outlay,Crops Development,500000,-,500000
Economic Services,Provincial Veterinary Office,MOOE,Goat Loan program,1000000,-,1000000
Economic Services,Provincial Environment and Natural Resources Office,MOOE,Solid Waste Management,3000000,60000,2940000
Economic Services,Provincial Environment and Natural Resources Office,MOOE,Agro-Forestry/Forest Development Project,500000,-,500000
Economic Services,Provincial Environment and Natural Resources Office,MOOE,Operation of Waste Water Testing Laboratory,1000000,-,1000000
Economic Services,Provincial Environment and Natural Resources Office,MOOE,Inventory/Canvassing Strategic Mineral,350000,-,350000
Economic Services,Provincial Engineering's Office,MOOE,Dredging of rivers and creeks,5000000,1013675,3986325
Economic Services,Provincial Engineering's Office,MOOE,"Reproduction and maintenance of Provincial, Munacipal and Barangay  roads and bridges",55209069.6,52754490,2454579.6
Economic Services,Provincial Engineering's Office,MOOE,Community Development Projects,15600000,4534722,11065278
Economic Services,Provincial Engineering's Office,Capital outlay,"Construction of Improvement of Public buildings, grounds and other government facilities",50000000,49700312.33,299687.67
Economic Services,Provincial Engineering's Office,Capital outlay,Construction and Improvement of Provincial  roads and bridges,92000000,91679157.79,320842.21
Economic Services,Provincial Engineering's Office,Capital outlay,"Construction of irrigation,canal,creeks, and checkgate",15000000,14729107.2,270892.8
Economic Services,"Provincial Youth, Sport, Employment, Arts and Culture Office",Capital outlay,Tourism Development,2000000,-,2000000
Economic Services,"Provincial Youth, Sport, Employment, Arts and Culture Office",Capital outlay,Museum and Gallery Development,300000,-,300000
Economic Services,"Provincial Youth, Sport, Employment, Arts and Culture Office",Capital outlay,Library Development,200000,-,200000
Internal Services,Provincial General Services,Capital outlay,Medical Equipment,10000000,9469700,530300
Internal Services,Loan Amortization,Loan Amortization,Loan Amortization,124500000,60053112.15,64446887.85
Economic Services,Grand Total,Grand Total,Grand Total,409359569.6,302408143,106951426.7
