programs_projects,programs_projects,appropriation,obligation_4th_quarter,total_obligation,balance_appropriation
General Public Services,,27900000,18669341.64,27561110.56,338889.44
General Public Services,Debt Services,27900000,18669341.64,27561110.56,338889.44
Social Services,Social Services,2500000,54712.2,2489984.48,10015.52
Social Services,Construction of 4P's Processing and Training Center,2500000,54712.2,2489984.48,10015.52
Economic Services-Miscellaneous and other Structure,Economic Services-Miscellaneous and other Structure,115012383,17596468.73,46949009.84,68063373.16
Economic Services-Miscellaneous and other Structure,Matching Fund,2997695.67,1497695.67,2997695.67,-
Economic Services-Miscellaneous and other Structure,Rural water Works Supply System Program,1012383,133902,670597.74,341785.26
Economic Services-Miscellaneous and other Structure,Sanitary Landfill,12000000,-,2997425,9002575
Economic Services-Miscellaneous and other Structure,Purchase of Land,5000000,1988000,4542000,458000
Economic Services-Miscellaneous and other Structure,Livelihood Projects-Support to rice Productions,1200000,-,1200000,-
Economic Services-Miscellaneous and other Structure,Improvement and Development of Income Generating Centers,730151,-,-,730151
Economic Services-Miscellaneous and other Structure,Millenial Butuan Tribute Mission to China Memorial Project,3600000,-,3600000,-
Economic Services-Miscellaneous and other Structure,Construction of Workboard and Ball Park- DOP Regional Government Center,42000000,-,-,42000000
Economic Services-Miscellaneous and other Structure,Rehabilitation or Construction of Butuan City Rizal Park Phase II,5500000,4051858.83,4051858.83,1448141.17
Economic Services-Miscellaneous and other Structure,Site Development of ORA-Baan Km.3 B9 Resettlement Site,4200000,1039409.7,4200000,-
Economic Services-Miscellaneous and other Structure,Rehabilitation of Road along Bonbon-Nongnong Road,2000000,199336.63,1992816.83,7183.17
Economic Services-Miscellaneous and other Structure,Construction of Covered Court (Completion) Bancasi,1500000,-,1427107,72893
Economic Services-Miscellaneous and other Structure,Construction of Multi Purpose Building - Lumbocan,2000000,1018333.67,1467579.35,532420.65
Economic Services-Miscellaneous and other Structure,Completion of Multi-Purpose Hall - Barangay San Mateo,1695000,-,-,1695000
Economic Services-Miscellaneous and other Structure,Completion of Multi-Purpose Hall - Barangay Sikatuna,480000,-,-,480000
Economic Services-Miscellaneous and other Structure,Construction of Multi-Purpose Hall with Stage - Barangay Florida,1300000,-,-,1300000
Economic Services-Miscellaneous and other Structure,Rehabilitation/Construction/Improvement of Multi-Purpose Hall- Taligaman,300000,-,-,300000
Economic Services-Miscellaneous and other Structure,Flooring of Multi-Purpose Covered Court P-4 Barangay De oro,258000,-,253980,4020
Economic Services-Miscellaneous and other Structure,Construction of SCAA Headquarters- Phase I,450000,438840.99,438840.99,11159.01
Economic Services-Miscellaneous and other Structure,Construction of 2 Storey School Buildings - Barangay Pigdaulan,500000,435500,435500,64500
Economic Services-Miscellaneous and other Structure,Rehabilitation of Overhead Tank - Slaughterhouse,700000,-,-,700000
Economic Services-Miscellaneous and other Structure,Rehabilitation of Health Center for Senior Citizen- Barangay Babag,135000,93731,93731,41269
Economic Services-Miscellaneous and other Structure,Construction of Barangay Stage- Barangay Pianing,500000,119659,484818,15182
Economic Services-Miscellaneous and other Structure,Construction of Barangay Stage- Barangay Dulag,500000,103664,468822,31178
Economic Services-Miscellaneous and other Structure,Reforestration & Urban Greening,85423.33,-,-,85423.33
Economic Services-Miscellaneous and other Structure,Concreting of Amamaylan Road-Baan km3,2000000,1510684.75,1510684.75,489315.25
Economic Services-Miscellaneous and other Structure,Concreting of Road-Barangay Sto. Nino NRJ to Quarry,1000000,-,-,1000000
Economic Services-Miscellaneous and other Structure,Concreting of Road-Barangay Taguibo Purok 3,1000000,-,-,1000000
Economic Services-Miscellaneous and other Structure,Concreting of Road-Barangay Alviola Village-NRJ Inward,2000000,756530.88,1996548.25,3451.75
Economic Services-Miscellaneous and other Structure,Concreting of Road-Barangay Imadejas,2400000,-,-,2400000
Economic Services-Miscellaneous and other Structure,Concreting of Road-Barangay Pinamanculan,4000000,-,4000000,-
Economic Services-Miscellaneous and other Structure,Concreting of Road-Barangay Banz Road - Completion,500000,-,500000,-
Economic Services-Miscellaneous and other Structure,Concreting of Road- Del Carmen St. Sintos Subdivision,1000000,-,987019.11,12980.89
Economic Services-Miscellaneous and other Structure,Concreting of Road-NRJ ambago Road to Ram Ariola Subdivision,2500000,1309306.73,1309306.73,1190693.27
Economic Services-Miscellaneous and other Structure,Concreting of Road-Pareja Main Road,570000,61230.75,556516.1,13483.9
Economic Services-Miscellaneous and other Structure,Concreting of Road-Barangay Buhangin,1000000,896237.37,896237.37,103762.63
Economic Services-Miscellaneous and other Structure,Concreting of Road-Along Toralba St. with drainage,920000,-,-,920000
Economic Services-Miscellaneous and other Structure,"Concreting of Road-Villa Paraiso, Barangay Ampayon",2000000,1593837.8,1593837.8,406162.2
Economic Services-Miscellaneous and other Structure,"Concreting of Road-Bario Site, Barangay Ampayon",217730,-,-,217730
Economic Services- Drainage System,Completion of Drainage System- Bayani Sreet (1 side only),520000,170493.96,499512.96,20847.04
Economic Services- Drainage System,"Drainage Canal along 9th Street, Baranagay J.P Rizal",815000,122835,673280,141720
Economic Services- Drainage System,"Rehabilitation of Drainage Canal-Rizal Street, Barangay J.P Rizal",343000,-,-,343000
Economic Services- Drainage System,CHB Canal both sides-Barangay Obrero-138 li.m.,368000,-,-,-
Economic Services-Rehabilitation or Repair of Farm to Market Road,Rhabilitation or Gravelling of Barangay Roads,950000,52800,930096,19904
Economic Services-Construction of Bridges,Footbridge-Barangay Ampayon,175000,2580,173198.36,1801.64
Economic Services-Rural Waterworks Supply Projects,Water System-Barangay Maguinda,90000,-,-,90000
Total,Total,145412383,36320522.57,77000104.88,68412278.12
