particulars,date,pbo_obr_number,acctg_obr_number,payee,purpose,obligated_amount,balance
-,-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012),-,1000000
-,-,-,-,-,Total Expenditures,-,-
-,-,-,-,-,Unobligated Balance,-,1000000
Production Support Infrastructure(Counterpart to DA Projects) 8919(30),-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012),-,2000000
Production Support Infrastructure(Counterpart to DA Projects) 8919(30),-,-,-,-,Total Expenditures,-,-
Production Support Infrastructure(Counterpart to DA Projects) 8919(30),-,-,-,-,Unobligated Balance,-,2000000
Irrigation Development Projects (Counterpart or Equity to NIA Projects) - 8919(30),-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012),-,"9,600,000.00"
Irrigation Development Projects (Counterpart or Equity to NIA Projects) - 8919(30),-,-,-,-,Less: Realigment(SP Res#097-2013/AO#03-2013) ,-,"-3,326,700.00"
Irrigation Development Projects (Counterpart or Equity to NIA Projects) - 8919(30),-,-,-,-,Add: SB#1 (SP Res#097-2013/AO#03-2013,-,"3,326,700.00"
Irrigation Development Projects (Counterpart or Equity to NIA Projects) - 8919(30),-,-,-,-,Total Expenditures ,-,-
Irrigation Development Projects (Counterpart or Equity to NIA Projects) - 8919(30),-,-,-,-,Unobligated Balance ,-,"9,600,000.00"
Binhian sa Lalawigan Cum Seed Dispersal Proejects - 8911(29),-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012),-,500000
Binhian sa Lalawigan Cum Seed Dispersal Proejects - 8911(29),6/4/2013,1305-4487 ,6,Daet Supershell Service Station,PO#13050960-fuel," 9 ,999.78",-
Binhian sa Lalawigan Cum Seed Dispersal Proejects - 8911(29),-,-,-,-,Total Expenditures ,-,"9,999.78"
Binhian sa Lalawigan Cum Seed Dispersal Proejects - 8911(29),-,-,-,-,Unobligated Balance,-,"490,000.22"
Provincial Dairy Development - 8919(37),-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012),-,"369,500.00"
Provincial Dairy Development - 8919(37),4/4/2013,1302-1990 ,11, Daet Supershell Service Station ,PO#13020516-fuel ,"2 0,784.72",-
Provincial Dairy Development - 8919(37),-,1304-3463,13,Carlos Rom and Co. ,W/P Mar. 16-31 ,"6 ,000.00",-
Provincial Dairy Development - 8919(37),4/16/2013,1302-1987 ,89,Faraon Poultry Supply ,PO#13020513-feeds ,"6 4,000.00",-
Provincial Dairy Development - 8919(37),-,1302-1988 ,90,Bindly Store and Gen. Mdse. ,PO#13020513-supplies ,"9 ,500.00",-
Provincial Dairy Development - 8919(37),4/30/2013,1302-1989 ,120,Bindly Store and Gen. Mdse. 9,PO#13020514-supplies ,"2 2,200.00",-
Provincial Dairy Development - 8919(37),4/30/2013,1304-4322 ,124,Carlos Rom and Co. ,W/P Apr. 1-15 ,"6 ,000.00",-
Provincial Dairy Development - 8919(37),5/7/2013,1305-4539 ,8,Carlos Rom and Co. ,W/P Apr. 16-30 ,"6 ,250.00",-
Provincial Dairy Development - 8919(37),5/28/2013,1305-5247 ,121,Carlos Rom and Co. ,W/P May 1-15," 6 ,250.00",-
Provincial Dairy Development - 8919(37),6/6/2013,1306-5577 ,21,Carlos Rom and Co. ,W/P May 16-31 ,"6 ,500.00",-
Provincial Dairy Development - 8919(37),6/21/2013, 1306-6064 ,92,Carlos Rom and Co., W/P June 1-15 ,"6 ,500.00",-
Provincial Dairy Development - 8919(37),-,-,-,-,Total Expenditures ,-,"153,984.72"
Provincial Dairy Development - 8919(37),-,-,-,-,Unobligated Balance ,-,"215,515.28"
Sow Weaner Production -8919(41),-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012) ,-,"300,000.00"
Sow Weaner Production -8919(41),4/15/2013,1302-1992,84,Bindly Store and Gen. Mdse. ,PO#13020503-supplies ,"4 ,945.00",-
Sow Weaner Production -8919(41),5/16/2013,1303-2922 ,84,Faraon Poultry and Agro Chemical Supply ,PO#13020502-feeds," 6 3,750.00",-
Sow Weaner Production -8919(41),5/24/2013, 1304-3784 ,120, Faraon Poultry and Agro Chemical Supply ,PO#13040876-Feeds," 6 3,750.00",-
Sow Weaner Production -8919(41),-,-,-,-,Total Expenditures ,-,"132,445.00"
Sow Weaner Production -8919(41),-,-,-,-,Unobligated Balance ,-,"167,555.00"
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012) ,-,"14,021,654.24"
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/1/2013,1302-1006 ,1,NBB Trading and Contractual Services ,PO13010132-materials (Labo-Fundado-Bakal Road)," 9 71,880.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/3/2013,1304-3351 ,3,Ricky Sernicula ,W/P Mar. 1-31 (Rehab of Daet-SLR Road)," 6 ,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3379 ,4, Ruben Figueroa and Co. ,W/P Feb. 1-28 (Angas-Manguisoc Road) ,"2 1,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3371,5,Aldrin Ramirez and Co. ,W/P Mar. 1-31 (Talisay-San Jose Road) ,"2 9,000.00",-
