particulars,date,pbo_obr_number,acctg_obr_number,payee ,purpose,obligated amount,balance
Rural Waterworks Program-1919(36) ,-,-,-,-,Balance last Quarter,-,1000000
Rural Waterworks Program-1919(36) ,-,-,-,-,Total Expenditures,-,-
Rural Waterworks Program-1919(36) ,-,-,-,-,Unobligated Balance,-,1000000
Agri-Machineries or Farm to Market Roads Dev't Program- 8919(1),-,-,-,-,SB Number 3 Appropriation (SP Res Number 217-2013/AO Number 13-2013),-,12415000
Agri-Machineries or Farm to Market Roads Dev't Program- 8919(1),10/2/2013,1308-7363,3,AJC Builders,"F/P-Rehabilitation of Palanas FMR Brgy. Palanas, Paracale",993100,-
Agri-Machineries or Farm to Market Roads Dev't Program- 8919(1),10/11/2013,1308-7367,7,AJC Builders,"F/P-Rehabilitation of Malaguit FMR Brgy. Malaguit, Paracale",1993150,-
Agri-Machineries or Farm to Market Roads Dev't Program- 8919(1),10/30/2013,1308-7809,16,B2K Lumber Construction Supplies and Services,"F/P-Rehabilitation of Dalas FMR P1 Brgy. Dalas, Labo",791276,-
Agri-Machineries or Farm to Market Roads Dev't Program- 8919(1),12/13/2013,1308-3362,45,EUS Constuction,F/P-Rehabilitation of Gumaus FMR,2787977.78,-
Agri-Machineries or Farm to Market Roads Dev't Program- 8919(1),-,-,-,-,Total Expenditures,-,6565503.78
Agri-Machineries or Farm to Market Roads Dev't Program- 8919(1),-,-,-,-,Unobligated Balance,-,5849496.22
-,-,-,-,-,Balance Last Quarter,-,475000.34
Binhian sa Lalawigan Cum Seed Dispersal Projects- 8911(29),10/1/2013,1308-7961,1,BGWMPC,PO Number 13087961-Catering Services,2500,-
Binhian sa Lalawigan Cum Seed Dispersal Projects- 8911(29),11/19/2013,1309-8789,66,BGWMPC,PO Number 13091616-meals,2500,-
Binhian sa Lalawigan Cum Seed Dispersal Projects- 8911(29),12/5/2013,1309-8788,33,Stargas Corporation,PO Number 13091616-fuel,4999.91,-
Binhian sa Lalawigan Cum Seed Dispersal Projects- 8911(29),-,-,-,-,Total Expenditures,-,9999.91
